Demographic,Country,code,L1,L2,L3,Value,Date,Source
Total Population,LK,18,Uva,Moneragala,Badalkumbura,39880,2012-03-20,Census
Total Population,LK,3,Uva,Moneragala,Bibila,40132,2012-03-20,Census
Total Population,LK,24,Uva,Moneragala,Buttala,52476,2012-03-20,Census
Total Population,LK,27,Uva,Moneragala,Katharagama,18148,2012-03-20,Census
Total Population,LK,6,Uva,Moneragala,Madulla,31188,2012-03-20,Census
Total Population,LK,9,Uva,Moneragala,Medagama,35611,2012-03-20,Census
Total Population,LK,15,Uva,Moneragala,Moneragala,49631,2012-03-20,Census
Total Population,LK,33,Uva,Moneragala,Sewanagala,41639,2012-03-20,Census
Total Population,LK,12,Uva,Moneragala,Siyambalanduwa,53059,2012-03-20,Census
Total Population,LK,30,Uva,Moneragala,Thanamalwila,26608,2012-03-20,Census
Total Population,LK,21,Uva,Moneragala,Wellawaya,59770,2012-03-20,Census
Total Population,LK,9,Sabaragamuwa,,,1482031,1981-03-17,Census
Total Population,LK,9,Sabaragamuwa,,,1918880,2012-03-20,Census
Total Population,LK,91,Sabaragamuwa,Ratnapura,,797087,1981-03-17,Census
Total Population,LK,91,Sabaragamuwa,Ratnapura,,1082277,2012-03-20,Census
Total Population,LK,30,Sabaragamuwa,Ratnapura,Ayagama,30584,2012-03-20,Census
Total Population,LK,18,Sabaragamuwa,Ratnapura,Balangoda,81105,2012-03-20,Census
Total Population,LK,3,Sabaragamuwa,Ratnapura,Eheliyagoda,70713,2012-03-20,Census
Total Population,LK,27,Sabaragamuwa,Ratnapura,Elapatha,37606,2012-03-20,Census
Total Population,LK,48,Sabaragamuwa,Ratnapura,Embilipitiya,133600,2012-03-20,Census
Total Population,LK,42,Sabaragamuwa,Ratnapura,Godakawela,75885,2012-03-20,Census
Total Population,LK,15,Sabaragamuwa,Ratnapura,Imbulpe,59283,2012-03-20,Census
Total Population,LK,39,Sabaragamuwa,Ratnapura,Kahawaththa,43026,2012-03-20,Census
Total Population,LK,33,Sabaragamuwa,Ratnapura,Kalawana,50968,2012-03-20,Census
Total Population,LK,9,Sabaragamuwa,Ratnapura,Kiriella,32457,2012-03-20,Census
Total Population,LK,51,Sabaragamuwa,Ratnapura,Kolonna,45709,2012-03-20,Census
Total Population,LK,6,Sabaragamuwa,Ratnapura,Kuruwita,95280,2012-03-20,Census
Total Population,LK,36,Sabaragamuwa,Ratnapura,Nivithigala,59973,2012-03-20,Census
Total Population,LK,21,Sabaragamuwa,Ratnapura,Opanayaka,26531,2012-03-20,Census
Total Population,LK,24,Sabaragamuwa,Ratnapura,Pelmadulla,89411,2012-03-20,Census
Total Population,LK,12,Sabaragamuwa,Ratnapura,Ratnapura,119368,2012-03-20,Census
Total Population,LK,45,Sabaragamuwa,Ratnapura,Weligepola,30778,2012-03-20,Census
Total Population,LK,92,Sabaragamuwa,Kegalle,,684944,1981-03-17,Census
Total Population,LK,92,Sabaragamuwa,Kegalle,,836603,2012-03-20,Census
Total Population,LK,9,Sabaragamuwa,Kegalle,Aranayaka,68147,2012-03-20,Census
Total Population,LK,24,Sabaragamuwa,Kegalle,Bulathkohupitiya,46813,2012-03-20,Census
Total Population,LK,30,Sabaragamuwa,Kegalle,Dehiovita,81441,2012-03-20,Census
Total Population,LK,33,Sabaragamuwa,Kegalle,Deraniyagala,45479,2012-03-20,Census
Total Population,LK,15,Sabaragamuwa,Kegalle,Galigamuwa,73942,2012-03-20,Census
Total Population,LK,12,Sabaragamuwa,Kegalle,Kegalle,90494,2012-03-20,Census
Total Population,LK,6,Sabaragamuwa,Kegalle,Mawanella,111307,2012-03-20,Census
Total Population,LK,3,Sabaragamuwa,Kegalle,Rambukkana,82373,2012-03-20,Census
Total Population,LK,21,Sabaragamuwa,Kegalle,Ruwanwella,63313,2012-03-20,Census
Total Population,LK,18,Sabaragamuwa,Kegalle,Warakapola,112583,2012-03-20,Census
Total Population,LK,27,Sabaragamuwa,Kegalle,Yatiyanthota,60711,2012-03-20,Census
Total Population,LK,1,Western,,,5381197,2001-07-17,Census
Total Population,LK,11,Western,Colombo,,2251274,2001-07-17,Census
Total Population,LK,3,Western,Colombo,Colombo,380946,2001-07-17,Census
Total Population,LK,30,Western,Colombo,Dehiwala-Mt.Lavinia,101830,2001-07-17,Census
Total Population,LK,15,Western,Colombo,Hanwella,94001,2001-07-17,Census
Total Population,LK,12,Western,Colombo,Homogama,186050,2001-07-17,Census
Total Population,LK,11,Western,Colombo,Kaduwela,209251,2001-07-17,Census
Total Population,LK,36,Western,Colombo,Kesbewa,209619,2001-07-17,Census
Total Population,LK,6,Western,Colombo,Kolonnawa,161247,2001-07-17,Census
Total Population,LK,21,Western,Colombo,Maharagama,185193,2001-07-17,Census
Total Population,LK,33,Western,Colombo,Moratuwa,177563,2001-07-17,Census
Total Population,LK,18,Western,Colombo,Padukka,54338,2001-07-17,Census
Total Population,LK,31,Western,Colombo,Rathmalana,108716,2001-07-17,Census
Total Population,LK,24,Western,Colombo,Sri Jayawardanapura Kotte,116366,2001-07-17,Census
Total Population,LK,27,Western,Colombo,Thimbirigasyaya,266154,2001-07-17,Census
Total Population,LK,12,Western,Gampaha,,2063684,2001-07-17,Census
Total Population,LK,27,Western,Gampaha,Attanagalla,154967,2001-07-17,Census
Total Population,LK,39,Western,Gampaha,Biyagama,161300,2001-07-17,Census
Total Population,LK,9,Western,Gampaha,Divulapitiya,128048,2001-07-17,Census
Total Population,LK,30,Western,Gampaha,Dompe,130021,2001-07-17,Census
Total Population,LK,24,Western,Gampaha,Gampaha,171040,2001-07-17,Census
Total Population,LK,21,Western,Gampaha,Ja-Ela,184666,2001-07-17,Census
Total Population,LK,6,Western,Gampaha,Katana,222683,2001-07-17,Census
Total Population,LK,36,Western,Gampaha,Kelaniya,134364,2001-07-17,Census
Total Population,LK,33,Western,Gampaha,Mahara/Kadawatha,176870,2001-07-17,Census
Total Population,LK,15,Western,Gampaha,Minuwangoda,151661,2001-07-17,Census
Total Population,LK,12,Western,Gampaha,Mirigama,143663,2001-07-17,Census
Total Population,LK,3,Western,Gampaha,Negombo,144274,2001-07-17,Census
Total Population,LK,18,Western,Gampaha,Wattala,160127,2001-07-17,Census
Total Population,LK,13,Western,Kalutara,,1066239,2001-07-17,Census
Total Population,LK,33,Western,Kalutara,Agalawatta,33962,2001-07-17,Census
Total Population,LK,6,Western,Kalutara,Bandaragama,86886,2001-07-17,Census
Total Population,LK,24,Western,Kalutara,Beruwala,144733,2001-07-17,Census
Total Population,LK,12,Western,Kalutara,Bulathsinhala,59787,2001-07-17,Census
Total Population,LK,27,Western,Kalutara,Dodamgoda,55052,2001-07-17,Census
Total Population,LK,9,Western,Kalutara,Horana,90690,2001-07-17,Census
Total Population,LK,10,Western,Kalutara,Ingiriya,45726,2001-07-17,Census
Total Population,LK,21,Western,Kalutara,Kalutara,141829,2001-07-17,Census
Total Population,LK,15,Western,Kalutara,Madurawala,29750,2001-07-17,Census
Total Population,LK,30,Western,Kalutara,Mathugama,73269,2001-07-17,Census
Total Population,LK,18,Western,Kalutara,Millaniya,44476,2001-07-17,Census
Total Population,LK,36,Western,Kalutara,Palindanuwara (Baduraliya),45911,2001-07-17,Census
Total Population,LK,3,Western,Kalutara,Panadura,163492,2001-07-17,Census
Total Population,LK,39,Western,Kalutara,Walallavita,50676,2001-07-17,Census
Total Population,LK,2,Central,,,2423966,2001-07-17,Census
Total Population,LK,21,Central,Kandy,,1279028,2001-07-17,Census
Total Population,LK,9,Central,Kandy,Akurana,55744,2001-07-17,Census
Total Population,LK,48,Central,Kandy,Delthota,29917,2001-07-17,Census
Total Population,LK,42,Central,Kandy,Doluwa,45270,2001-07-17,Census
Total Population,LK,54,Central,Kandy,Ganga Ihala Korale,51130,2001-07-17,Census
Total Population,LK,33,Central,Kandy,Harispattuwa,78880,2001-07-17,Census
Total Population,LK,34,Central,Kandy,Hatharaliyadda,29107,2001-07-17,Census
Total Population,LK,30,Central,Kandy,Gangawata Korale,160630,2001-07-17,Census
Total Population,LK,27,Central,Kandy,Kundasale,107180,2001-07-17,Census
Total Population,LK,24,Central,Kandy,Medadumbara,58721,2001-07-17,Census
Total Population,LK,21,Central,Kandy,Minipe,48338,2001-07-17,Census
Total Population,LK,15,Central,Kandy,Panwila,26680,2001-07-17,Census
Total Population,LK,57,Central,Kandy,Pasbage Korale,57365,2001-07-17,Census
Total Population,LK,12,Central,Kandy,Pathadumbara,80558,2001-07-17,Census
Total Population,LK,45,Central,Kandy,Pathahewaheta,53843,2001-07-17,Census
Total Population,LK,6,Central,Kandy,Poojapitiya,54172,2001-07-17,Census
Total Population,LK,3,Central,Kandy,Thumpane,35447,2001-07-17,Census
Total Population,LK,18,Central,Kandy,Udadumbara,22831,2001-07-17,Census
Total Population,LK,51,Central,Kandy,Udapalatha,86145,2001-07-17,Census
Total Population,LK,39,Central,Kandy,Udunuwara,99235,2001-07-17,Census
Total Population,LK,36,Central,Kandy,Yatinuwara,97835,2001-07-17,Census
Total Population,LK,22,Central,Matale,,441328,2001-07-17,Census
Total Population,LK,21,Central,Matale,Ambaganga Koralaya,15515,2001-07-17,Census
Total Population,LK,6,Central,Matale,Dambulla,60976,2001-07-17,Census
Total Population,LK,3,Central,Matale,Galewela,61842,2001-07-17,Census
Total Population,LK,24,Central,Matale,Laggala-Pallegama,12399,2001-07-17,Census
Total Population,LK,18,Central,Matale,Matale,68451,2001-07-17,Census
Total Population,LK,9,Central,Matale,Naula,28157,2001-07-17,Census
Total Population,LK,12,Central,Matale,Pallepola,27520,2001-07-17,Census
Total Population,LK,30,Central,Matale,Rattota,49382,2001-07-17,Census
Total Population,LK,33,Central,Matale,Ukuwela,61568,2001-07-17,Census
Total Population,LK,27,Central,Matale,Wilgamuwa,26870,2001-07-17,Census
Total Population,LK,15,Central,Matale,Yatawatta,28648,2001-07-17,Census
Total Population,LK,23,Central,Nuwara Eliya,,703610,2001-07-17,Census
Total Population,LK,15,Central,Nuwara Eliya,Ambagamuwa,203717,2001-07-17,Census
Total Population,LK,6,Central,Nuwara Eliya,Hanguranketha,87760,2001-07-17,Census
Total Population,LK,3,Central,Nuwara Eliya,Kotmale,97509,2001-07-17,Census
Total Population,LK,12,Central,Nuwara Eliya,Nuwara Eliya,208190,2001-07-17,Census
Total Population,LK,9,Central,Nuwara Eliya,Walapane,106434,2001-07-17,Census
Total Population,LK,3,Southern,,,2278271,2001-07-17,Census
Total Population,LK,31,Southern,Galle,,990487,2001-07-17,Census
Total Population,LK,45,Southern,Galle,Akmeemana,63881,2001-07-17,Census
Total Population,LK,33,Southern,Galle,Ambalangoda,71047,2001-07-17,Census
Total Population,LK,27,Southern,Galle,Baddegama,68634,2001-07-17,Census
Total Population,LK,6,Southern,Galle,Balapitiya,65346,2001-07-17,Census
Total Population,LK,3,Southern,Galle,Bentota,46442,2001-07-17,Census
Total Population,LK,42,Southern,Galle,Bope-Poddala,41612,2001-07-17,Census
Total Population,LK,12,Southern,Galle,Elpitiya,60292,2001-07-17,Census
Total Population,LK,39,Southern,Galle,Galle Four Gravets,103246,2001-07-17,Census
Total Population,LK,54,Southern,Galle,Habaraduwa,59041,2001-07-17,Census
Total Population,LK,36,Southern,Galle,Hikkaduwa,98589,2001-07-17,Census
Total Population,LK,51,Southern,Galle,Imaduwa,39944,2001-07-17,Census
Total Population,LK,9,Southern,Galle,Karandeniya,56128,2001-07-17,Census
Total Population,LK,24,Southern,Galle,Nagoda,52414,2001-07-17,Census
Total Population,LK,21,Southern,Galle,Neluwa,27501,2001-07-17,Census
Total Population,LK,15,Southern,Galle,Niyagama,34330,2001-07-17,Census
Total Population,LK,18,Southern,Galle,Thawalama,31803,2001-07-17,Census
Total Population,LK,30,Southern,Galle,Welivitiya-Divithura,26599,2001-07-17,Census
Total Population,LK,48,Southern,Galle,Yakkalamulla,43638,2001-07-17,Census
Total Population,LK,32,Southern,Matara,,761370,2001-07-17,Census
Total Population,LK,18,Southern,Matara,Akuressa,49806,2001-07-17,Census
Total Population,LK,15,Southern,Matara,Athuraliya,30179,2001-07-17,Census
Total Population,LK,45,Southern,Matara,Devinuwara,44199,2001-07-17,Census
Total Population,LK,48,Southern,Matara,Dickwella,51314,2001-07-17,Census
Total Population,LK,30,Southern,Matara,Hakmana,30201,2001-07-17,Census
Total Population,LK,27,Southern,Matara,Kamburupitiya,37347,2001-07-17,Census
Total Population,LK,33,Southern,Matara,Kirinda-Puhulwella,19483,2001-07-17,Census
Total Population,LK,6,Southern,Matara,Kotapola,64012,2001-07-17,Census
Total Population,LK,32,Southern,Matara,Malimbada,31524,2001-07-17,Census
Total Population,LK,42,Southern,Matara,Matara Four Gravets,108238,2001-07-17,Census
Total Population,LK,12,Southern,Matara,Mulatiyana,46066,2001-07-17,Census
Total Population,LK,9,Southern,Matara,Pasgoda,56142,2001-07-17,Census
Total Population,LK,3,Southern,Matara,Pitabeddara,49320,2001-07-17,Census
Total Population,LK,36,Southern,Matara,Thihagoda,30909,2001-07-17,Census
Total Population,LK,39,Southern,Matara,Weligama,66459,2001-07-17,Census
Total Population,LK,21,Southern,Matara,Welipitiya,46171,2001-07-17,Census
Total Population,LK,33,Southern,Hambantota,,526414,2001-07-17,Census
Total Population,LK,15,Southern,Hambantota,Ambalanthota,64361,2001-07-17,Census
Total Population,LK,18,Southern,Hambantota,Angunakolapelessa,42426,2001-07-17,Census
Total Population,LK,30,Southern,Hambantota,Beliatta,52283,2001-07-17,Census
Total Population,LK,12,Southern,Hambantota,Hambantota,46757,2001-07-17,Census
Total Population,LK,24,Southern,Hambantota,Katuwana,62344,2001-07-17,Census
Total Population,LK,6,Southern,Hambantota,Lunugamvehera,25226,2001-07-17,Census
Total Population,LK,27,Southern,Hambantota,Okewela,18247,2001-07-17,Census
Total Population,LK,3,Southern,Hambantota,Sooriyawewa,35529,2001-07-17,Census
Total Population,LK,33,Southern,Hambantota,Tangalle,62800,2001-07-17,Census
Total Population,LK,9,Southern,Hambantota,Thissamaharama,60982,2001-07-17,Census
Total Population,LK,21,Southern,Hambantota,Weeraketiya,55459,2001-07-17,Census
Total Population,LK,4,Northern,,,1040963,2001-07-17,Census
Total Population,LK,41,Northern,Jaffna,,490621,2001-07-17,Census
Total Population,LK,42,Northern,Mannar,,151577,2001-07-17,Census
Total Population,LK,43,Northern,Vavuniya,,149835,2001-07-17,Census
Total Population,LK,44,Northern,Mullaitivu,,121667,2001-07-17,Census
Total Population,LK,45,Northern,Kilinochchi,,127263,2001-07-17,Census
Total Population,LK,5,Eastern,,,1419602,2001-07-17,Census
Total Population,LK,51,Eastern,Batticaloa,,486447,2001-07-17,Census
Total Population,LK,12,Eastern,Batticaloa,Eravur Pattu,55458,2001-07-17,Census
Total Population,LK,15,Eastern,Batticaloa,Eravur Town,22133,2001-07-17,Census
Total Population,LK,24,Eastern,Batticaloa,Kattankudy,35088,2001-07-17,Census
Total Population,LK,9,Eastern,Batticaloa,Koralai Pattu,32792,2001-07-17,Census
Total Population,LK,3,Eastern,Batticaloa,Koralai Pattu North,2140,2001-07-17,Census
Total Population,LK,6,Eastern,Batticaloa,Koralai Pattu West,21659,2001-07-17,Census
Total Population,LK,18,Eastern,Batticaloa,Manmunai North,80313,2001-07-17,Census
Total Population,LK,27,Eastern,Batticaloa,Manmunai Pattu,25908,2001-07-17,Census
Total Population,LK,36,Eastern,Batticaloa,Manmunai South & Eruvil Pattu,53896,2001-07-17,Census
Total Population,LK,30,Eastern,Batticaloa,Manmunai South West,162,2001-07-17,Census
Total Population,LK,21,Eastern,Batticaloa,Manmunai West,95,2001-07-17,Census
Total Population,LK,33,Eastern,Batticaloa,Porativu Pattu,340,2001-07-17,Census
Total Population,LK,52,Eastern,Ampara,,592997,2001-07-17,Census
Total Population,LK,33,Eastern,Ampara,Addalachchenai,36020,2001-07-17,Census
Total Population,LK,36,Eastern,Ampara,Akkaraipattu,34939,2001-07-17,Census
Total Population,LK,39,Eastern,Ampara,Alayadiwembu,22627,2001-07-17,Census
Total Population,LK,15,Eastern,Ampara,Ampara,38166,2001-07-17,Census
Total Population,LK,42,Eastern,Ampara,Damana,35343,2001-07-17,Census
Total Population,LK,3,Eastern,Ampara,Dehiattakandiya,63908,2001-07-17,Census
Total Population,LK,34,Eastern,Ampara,Eragama,11344,2001-07-17,Census
Total Population,LK,24,Eastern,Ampara,Kalmunai,70465,2001-07-17,Census
Total Population,LK,27,Eastern,Ampara,Karativu,16365,2001-07-17,Census
Total Population,LK,51,Eastern,Ampara,Lahugala,7623,2001-07-17,Census
Total Population,LK,9,Eastern,Ampara,Mahaoya,18123,2001-07-17,Census
Total Population,LK,16,Eastern,Ampara,Navithanveli,17065,2001-07-17,Census
Total Population,LK,30,Eastern,Ampara,Ninthavur,24625,2001-07-17,Census
Total Population,LK,6,Eastern,Ampara,Padiyathalawa,15971,2001-07-17,Census
Total Population,LK,48,Eastern,Ampara,Pothuvil,28480,2001-07-17,Census
Total Population,LK,25,Eastern,Ampara,Sainthamarathu,24114,2001-07-17,Census
Total Population,LK,18,Eastern,Ampara,Samanthurai,51510,2001-07-17,Census
Total Population,LK,45,Eastern,Ampara,Thirukkovil,23700,2001-07-17,Census
Total Population,LK,12,Eastern,Ampara,Uhana,52609,2001-07-17,Census
Total Population,LK,53,Eastern,Trincomalee,,340158,2001-07-17,Census
Total Population,LK,9,Eastern,Trincomalee,Gomarankadawela,5174,2001-07-17,Census
Total Population,LK,21,Eastern,Trincomalee,Kantalai,41139,2001-07-17,Census
Total Population,LK,24,Eastern,Trincomalee,Kinniya,55468,2001-07-17,Census
Total Population,LK,6,Eastern,Trincomalee,Kuchaveli,21590,2001-07-17,Census
Total Population,LK,12,Eastern,Trincomalee,Morawewa,4877,2001-07-17,Census
Total Population,LK,3,Eastern,Trincomalee,Padavi Sri Pura,10996,2001-07-17,Census
Total Population,LK,30,Eastern,Trincomalee,Seruvila,10259,2001-07-17,Census
Total Population,LK,18,Eastern,Trincomalee,Thampalakamam,25538,2001-07-17,Census
Total Population,LK,15,Eastern,Trincomalee,Trincomalee Town & Gravets,25637,2001-07-17,Census
Total Population,LK,6,North Western,,,2169892,2001-07-17,Census
Total Population,LK,61,North Western,Kurunegala,,1460215,2001-07-17,Census
Total Population,LK,84,North Western,Kurunegala,Alawwa,59082,2001-07-17,Census
Total Population,LK,12,North Western,Kurunegala,Ambanpola,19964,2001-07-17,Census
Total Population,LK,49,North Western,Kurunegala,Bamunakotuwa,20702,2001-07-17,Census
Total Population,LK,42,North Western,Kurunegala,Bingiriya,55763,2001-07-17,Census
Total Population,LK,9,North Western,Kurunegala,Ehetuwewa,23076,2001-07-17,Census
Total Population,LK,6,North Western,Kurunegala,Galgamuwa,47844,2001-07-17,Census
Total Population,LK,33,North Western,Kurunegala,Ganewatta,36812,2001-07-17,Census
Total Population,LK,3,North Western,Kurunegala,Giribawa,28093,2001-07-17,Census
Total Population,LK,30,North Western,Kurunegala,Ibbagamuwa,76344,2001-07-17,Census
Total Population,LK,39,North Western,Kurunegala,Kobeigane,32230,2001-07-17,Census
Total Population,LK,15,North Western,Kurunegala,Kotawehera,19273,2001-07-17,Census
Total Population,LK,69,North Western,Kurunegala,Kuliyapitiya East,46966,2001-07-17,Census
Total Population,LK,72,North Western,Kurunegala,Kuliyapitiya West,71483,2001-07-17,Census
Total Population,LK,54,North Western,Kurunegala,Kurunegala,88944,2001-07-17,Census
Total Population,LK,24,North Western,Kurunegala,Mahawa,50576,2001-07-17,Census
Total Population,LK,57,North Western,Kurunegala,Mallawapitiya,46575,2001-07-17,Census
Total Population,LK,51,North Western,Kurunegala,Maspotha,18850,2001-07-17,Census
Total Population,LK,60,North Western,Kurunegala,Mawathagama,56820,2001-07-17,Census
Total Population,LK,81,North Western,Kurunegala,Narammala,51244,2001-07-17,Census
Total Population,LK,21,North Western,Kurunegala,Nikaweratiya,36370,2001-07-17,Census
Total Population,LK,45,North Western,Kurunegala,Panduwasnuwara,69888,2001-07-17,Census
Total Population,LK,48,North Western,Kurunegala,Katupotha,27575,2001-07-17,Census
Total Population,LK,78,North Western,Kurunegala,Pannala,114438,2001-07-17,Census
Total Population,LK,87,North Western,Kurunegala,Polgahawela,58762,2001-07-17,Census
Total Population,LK,27,North Western,Kurunegala,Polpithigama,67263,2001-07-17,Census
Total Population,LK,18,North Western,Kurunegala,Rasnayakapura,18814,2001-07-17,Census
Total Population,LK,63,North Western,Kurunegala,Rideegama,80473,2001-07-17,Census
Total Population,LK,75,North Western,Kurunegala,Udubaddawa,48800,2001-07-17,Census
Total Population,LK,36,North Western,Kurunegala,Wariyapola,56880,2001-07-17,Census
Total Population,LK,66,North Western,Kurunegala,Weerambugedara,30311,2001-07-17,Census
Total Population,LK,62,North Western,Puttalam,,709677,2001-07-17,Census
Total Population,LK,24,North Western,Puttalam,Anamaduwa,33302,2001-07-17,Census
Total Population,LK,30,North Western,Puttalam,Arachchikattuwa,38092,2001-07-17,Census
Total Population,LK,33,North Western,Puttalam,Chilaw,59890,2001-07-17,Census
Total Population,LK,48,North Western,Puttalam,Dankotuwa,59386,2001-07-17,Census
Total Population,LK,3,North Western,Puttalam,Kalpitiya,81780,2001-07-17,Census
Total Population,LK,9,North Western,Puttalam,Karuwalagaswewa,20225,2001-07-17,Census
Total Population,LK,36,North Western,Puttalam,Madampe,43522,2001-07-17,Census
Total Population,LK,21,North Western,Puttalam,Mahakumbukkadawala,16905,2001-07-17,Census
Total Population,LK,39,North Western,Puttalam,Mahawewa,48861,2001-07-17,Census
Total Population,LK,18,North Western,Puttalam,Mundalama,56294,2001-07-17,Census
Total Population,LK,42,North Western,Puttalam,Nattandiya,57686,2001-07-17,Census
Total Population,LK,12,North Western,Puttalam,Nawagattegama,12956,2001-07-17,Census
Total Population,LK,27,North Western,Puttalam,Pallama,22410,2001-07-17,Census
Total Population,LK,15,North Western,Puttalam,Puttalam,71091,2001-07-17,Census
Total Population,LK,6,North Western,Puttalam,Vanathavilluwa,16460,2001-07-17,Census
Total Population,LK,45,North Western,Puttalam,Wennappuwa,70817,2001-07-17,Census
Total Population,LK,7,North Central,,,1104677,2001-07-17,Census
Total Population,LK,71,North Central,Anuradhapura,,745693,2001-07-17,Census
Total Population,LK,27,North Central,Anuradhapura,Galenbidunuwawe,40888,2001-07-17,Census
Total Population,LK,63,North Central,Anuradhapura,Galnewa,30344,2001-07-17,Census
Total Population,LK,24,North Central,Anuradhapura,Horowpothana,29642,2001-07-17,Census
Total Population,LK,60,North Central,Anuradhapura,Ipalogama,32933,2001-07-17,Census
Total Population,LK,21,North Central,Anuradhapura,Kahatagasdigiliya,33572,2001-07-17,Census
Total Population,LK,6,North Central,Anuradhapura,Kebithigollewa,19457,2001-07-17,Census
Total Population,LK,54,North Central,Anuradhapura,Kekirawa,52107,2001-07-17,Census
Total Population,LK,12,North Central,Anuradhapura,Maha Vilachchiya,18557,2001-07-17,Census
Total Population,LK,9,North Central,Anuradhapura,Medawachchiya,40469,2001-07-17,Census
Total Population,LK,30,North Central,Anuradhapura,Mihintale,26786,2001-07-17,Census
Total Population,LK,36,North Central,Anuradhapura,Nachchadoowa,21772,2001-07-17,Census
Total Population,LK,39,North Central,Anuradhapura,Nochchiyagama,41601,2001-07-17,Census
Total Population,LK,15,North Central,Anuradhapura,Nuwaragam Palatha Central,53665,2001-07-17,Census
Total Population,LK,33,North Central,Anuradhapura,Nuwaragam Palatha East,65671,2001-07-17,Census
Total Population,LK,3,North Central,Anuradhapura,Padaviya,21146,2001-07-17,Census
Total Population,LK,66,North Central,Anuradhapura,Palagala,29837,2001-07-17,Census
Total Population,LK,57,North Central,Anuradhapura,Palugaswewa,14635,2001-07-17,Census
Total Population,LK,42,North Central,Anuradhapura,Rajanganaya,30186,2001-07-17,Census
Total Population,LK,18,North Central,Anuradhapura,Rambewa,31604,2001-07-17,Census
Total Population,LK,48,North Central,Anuradhapura,Thalawa,50919,2001-07-17,Census
Total Population,LK,45,North Central,Anuradhapura,Thambuttegama,36524,2001-07-17,Census
Total Population,LK,51,North Central,Anuradhapura,Thirappane,23378,2001-07-17,Census
Total Population,LK,72,North Central,Polonnaruwa,,358984,2001-07-17,Census
Total Population,LK,12,North Central,Polonnaruwa,Dimbulagala,63349,2001-07-17,Census
Total Population,LK,18,North Central,Polonnaruwa,Elahera,39908,2001-07-17,Census
Total Population,LK,3,North Central,Polonnaruwa,Hingurakgoda,60869,2001-07-17,Census
Total Population,LK,9,North Central,Polonnaruwa,Lankapura,33676,2001-07-17,Census
Total Population,LK,6,North Central,Polonnaruwa,Medirigiriya,57899,2001-07-17,Census
Total Population,LK,15,North Central,Polonnaruwa,Thamankaduwa,74224,2001-07-17,Census
Total Population,LK,10,North Central,Polonnaruwa,Welikanda,29059,2001-07-17,Census
Total Population,LK,8,Uva,,,1177358,2001-07-17,Census
Total Population,LK,81,Uva,Badulla,,779983,2001-07-17,Census
Total Population,LK,21,Uva,Badulla,Badulla,70230,2001-07-17,Census
Total Population,LK,33,Uva,Badulla,Bandarawela,60269,2001-07-17,Census
Total Population,LK,36,Uva,Badulla,Ella,42894,2001-07-17,Census
Total Population,LK,42,Uva,Badulla,Haldummulla,38223,2001-07-17,Census
Total Population,LK,24,Uva,Badulla,Hali Ela,87476,2001-07-17,Census
Total Population,LK,39,Uva,Badulla,Haputhale,50735,2001-07-17,Census
Total Population,LK,12,Uva,Badulla,Kandaketiya,22494,2001-07-17,Census
Total Population,LK,19,Uva,Badulla,Lunugala,33079,2001-07-17,Census
Total Population,LK,3,Uva,Badulla,Mahiyanganaya,67301,2001-07-17,Census
Total Population,LK,9,Uva,Badulla,Meegahakivula,18650,2001-07-17,Census
Total Population,LK,18,Uva,Badulla,Passara,49190,2001-07-17,Census
Total Population,LK,6,Uva,Badulla,Rideemaliyadda,45759,2001-07-17,Census
Total Population,LK,15,Uva,Badulla,Soranathota,22760,2001-07-17,Census
Total Population,LK,27,Uva,Badulla,Uva Paranagama,76524,2001-07-17,Census
Total Population,LK,30,Uva,Badulla,Welimada,94399,2001-07-17,Census
Total Population,LK,82,Uva,Moneragala,,397375,2001-07-17,Census
Total Population,LK,18,Uva,Moneragala,Badalkumbura,36784,2001-07-17,Census
Total Population,LK,3,Uva,Moneragala,Bibila,35490,2001-07-17,Census
Total Population,LK,24,Uva,Moneragala,Buttala,47324,2001-07-17,Census
Total Population,LK,27,Uva,Moneragala,Katharagama,16297,2001-07-17,Census
Total Population,LK,6,Uva,Moneragala,Madulla,28358,2001-07-17,Census
Total Population,LK,9,Uva,Moneragala,Medagama,32467,2001-07-17,Census
Total Population,LK,15,Uva,Moneragala,Moneragala,42457,2001-07-17,Census
Total Population,LK,33,Uva,Moneragala,Sewanagala,36820,2001-07-17,Census
Total Population,LK,12,Uva,Moneragala,Siyambalanduwa,47438,2001-07-17,Census
Total Population,LK,30,Uva,Moneragala,Thanamalwila,23172,2001-07-17,Census
Total Population,LK,21,Uva,Moneragala,Wellawaya,50768,2001-07-17,Census
Total Population,LK,9,Sabaragamuwa,,,1801331,2001-07-17,Census
Total Population,LK,91,Sabaragamuwa,Ratnapura,,1015807,2001-07-17,Census
Total Population,LK,30,Sabaragamuwa,Ratnapura,Ayagama,28637,2001-07-17,Census
Total Population,LK,18,Sabaragamuwa,Ratnapura,Balangoda,77303,2001-07-17,Census
Total Population,LK,3,Sabaragamuwa,Ratnapura,Eheliyagoda,63870,2001-07-17,Census
Total Population,LK,27,Sabaragamuwa,Ratnapura,Elapatha,36322,2001-07-17,Census
Total Population,LK,48,Sabaragamuwa,Ratnapura,Embilipitiya,119563,2001-07-17,Census
Total Population,LK,42,Sabaragamuwa,Ratnapura,Godakawela,69123,2001-07-17,Census
Total Population,LK,15,Sabaragamuwa,Ratnapura,Imbulpe,55546,2001-07-17,Census
