Template,Section,Section Position,SubSection,SubSection Position,SubSubSection,SubSubSection Position,Question,Question Position,Type,Options,Required,Code,Totals,Grid,Show Hidden,Tooltip
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),113,number,,,,,"['G44',11,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,114,number,,,,,"['G44',11,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,115,text,,,,,"['G44',11,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,116,boolean,,,,,"['G44',11,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,117,boolean,,,,,"['G44',11,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,118,boolean,,,,,"['G44',11,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,119,boolean,,,,,"['G44',11,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,120,boolean,,,,,"['G44',11,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,121,boolean,,,,,"['G44',11,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,122,boolean,,,,,"['G44',11,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Others,123,boolean,,,,,"['G44',12,1]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,When provided (in days since event),124,number,,,,,"['G44',12,2]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Qty,125,number,,,,,"['G44',12,3]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Unit,126,text,,,,,"['G44',12,4]",,
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Govt,127,boolean,,,,,"['G44',12,5]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,NNGO,128,boolean,,,,,"['G44',12,6]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,INGO,129,boolean,,,,,"['G44',12,7]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,PHL Red Cross,130,boolean,,,,,"['G44',12,8]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Church,131,boolean,,,,,"['G44',12,9]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Private Entities,132,boolean,,,,,"['G44',12,10]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Other,133,boolean,,,,,"['G44',12,11]",,Source
Rapid Assessment,4. Relief Effort/Assistance,4,a),1,"ii. If yes, Kind of assistance provided",1,Specify Others assistance,134,text,,,4411,,,,
Rapid Assessment,4. Relief Effort/Assistance,4,b),2,,,i.Is there any group which is not receiving any assistance?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,4. Relief Effort/Assistance,4,b),2,,,"ii.If yes, what groups (indigenous, elderly, vulnerable, GIDAs, etc)?",2,text,,,,,,,
Rapid Assessment,"5. Shelter (if number only, will need # total houses pre-event for %)",5,a) Number or Percentage of destroyed houses (requires complete reconstruction and demolished),1,,,#,1,number,,,,,,,
Rapid Assessment,"5. Shelter (if number only, will need # total houses pre-event for %)",5,a) Number or Percentage of destroyed houses (requires complete reconstruction and demolished),1,,,%,2,number,,,,,,,
Rapid Assessment,"5. Shelter (if number only, will need # total houses pre-event for %)",5,"b) Number or Percentage of severely damaged houses (Walls, roof and column collapsed, hanging wall, etc.)",2,,,#,1,number,,,,,,,
Rapid Assessment,"5. Shelter (if number only, will need # total houses pre-event for %)",5,"b) Number or Percentage of severely damaged houses (Walls, roof and column collapsed, hanging wall, etc.)",2,,,%,2,number,,,,,,,
Rapid Assessment,"5. Shelter (if number only, will need # total houses pre-event for %)",5,c) Number or Percentage of partially damaged houses,3,,,#,1,number,,,,,,,
Rapid Assessment,"5. Shelter (if number only, will need # total houses pre-event for %)",5,c) Number or Percentage of partially damaged houses,3,,,%,2,number,,,,,,,
Rapid Assessment,6. Food Security,6,a),1,,,Do people have access to food sources in the area?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,b) What are the main sources of food in the area since the event?,2,,,Household food stocks,1,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,b) What are the main sources of food in the area since the event?,2,,,Household garden/farm,2,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,b) What are the main sources of food in the area since the event?,2,,,Local Market,3,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,b) What are the main sources of food in the area since the event?,2,,,Humanitarian aid from government,4,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,b) What are the main sources of food in the area since the event?,2,,,Humanitarian aid from NGOs,5,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,b) What are the main sources of food in the area since the event?,2,,,Others,6,text,,,,,,,
Rapid Assessment,6. Food Security,6,c),3,,,How long are the available food stocks expected to last? (personal or government stocks),1,options,"['Less than a week', '1 week', '2 weeks', '1 month or more']",,,,,,
Rapid Assessment,6. Food Security,6,d),4,,,Do people still have access to the local market?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,"e) If the market is not functional, what are the reasons why people no longer have access to the local market?",5,,,No money to buy foods,1,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,"e) If the market is not functional, what are the reasons why people no longer have access to the local market?",5,,,Prices of commodities have increased,2,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,"e) If the market is not functional, what are the reasons why people no longer have access to the local market?",5,,,No available supplies of commodities,3,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,"e) If the market is not functional, what are the reasons why people no longer have access to the local market?",5,,,Market was destroyed/physically inaccessible,4,options,"['Yes','No']",,,,,,
Rapid Assessment,6. Food Security,6,"e) If the market is not functional, what are the reasons why people no longer have access to the local market?",5,,,"Others, specify",5,text,,,,,,,
Rapid Assessment,7. Water Supply,7,a),1,,,"i. Do all affected households have access to enough clean water for washing, drinking and cooking?",1,options,"['Yes','No']",,,,,,
Rapid Assessment,7. Water Supply,7,a),1,,,"ii. If not, what proportion does not?",2,options,"['0-24%', '25-49%', '50-74%', '75-100%']",,,,,,
Rapid Assessment,7. Water Supply,7,b),2,,,i. What is the primary water source (protected or safe),1,options,"['Open Well', 'Bore hole/Hand pump', 'Stream/river', 'Storage/collection container', 'Piped water system', 'Other']",,,,,,
Rapid Assessment,7. Water Supply,7,b),2,,,"If other, specify",2,text,,,,,,,
Rapid Assessment,7. Water Supply,7,b),2,,,ii. What condition is this water source?,3,options,"['Working', 'Damaged (Repair required for minimum supply)', 'Contaminated (or at risk of contamination)', 'Destroyed', 'Water Turbid', 'Other']",,,,,,
Rapid Assessment,7. Water Supply,7,c),3,,,"i. If there is an alternate water source, what is it?",1,options,"['Open Well', 'Bore hole/Hand pump', 'Stream/river', 'Storage/collection container', 'Piped water system', 'Others', 'No alternate water source']",,,,,,
Rapid Assessment,7. Water Supply,7,c),3,,,ii. What condition is this water source?,3,options,"['Working', 'Damaged (Repair required for minimum supply)', 'Contaminated (or at risk of contamination)', 'Destroyed', 'Water Turbid', 'Other']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,a),1,,,i. Do all affected household have access to functioning latrines?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,a),1,,,"ii. If not, what proportion does have access to functioning latrines?",2,options,"['0-24%', '25-49%', '50-74%', '75-100%']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,a),1,,,iii. What is the main reason for not having access to functioning latrines?,3,options,"['Many latrines destroyed/damaged', 'Few latrines in community pre-event', 'Other']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,a),1,,,"If other, specify",4,text,,,,,,,
Rapid Assessment,8. Sanitary Facilities,8,b) What personal hygiene and sanitation supplies are needed?,2,,,Body Soap,1,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,b) What personal hygiene and sanitation supplies are needed?,2,,,Toothpaste/brush,2,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,b) What personal hygiene and sanitation supplies are needed?,2,,,Sanitary cloth/napkins,2,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,b) What personal hygiene and sanitation supplies are needed?,2,,,Laundry soap,2,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,b) What personal hygiene and sanitation supplies are needed?,2,,,Trash bins,3,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,b) What personal hygiene and sanitation supplies are needed?,2,,,Others,4,text,,,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,c),1,Approximately how many people are using each latrine,1,options,"['1-10', '11-20', '>20']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,d),2,Are facilities segregated by gender (women/men)?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,e),3,Are the facilities appropriate for children?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) i. What provisions are available at the evacuation centers? (check if present),4,Water,1,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) i. What provisions are available at the evacuation centers? (check if present),4,Latrines,2,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) i. What provisions are available at the evacuation centers? (check if present),4,Washing area (sanitation),3,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) i. What provisions are available at the evacuation centers? (check if present),4,Laundry area,4,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) i. What provisions are available at the evacuation centers? (check if present),4,"Secure sleeping area (dry, well ventilated)",5,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) ii. Are the provisions/resources sufficient for the number of people there? (check if yes),5,Water,1,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) ii. Are the provisions/resources sufficient for the number of people there? (check if yes),5,Latrines,2,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) ii. Are the provisions/resources sufficient for the number of people there? (check if yes),5,Washing area (sanitation),3,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) ii. Are the provisions/resources sufficient for the number of people there? (check if yes),5,Laundry area,4,options,"['Yes','No']",,,,,,
Rapid Assessment,8. Sanitary Facilities,8,For evacuation centres/community shelters only,3,f) ii. Are the provisions/resources sufficient for the number of people there? (check if yes),5,"Secure sleeping area (dry, well ventilated)",5,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,a) What health facilities are there in the area?,1,,,BHS,1,options,"['Open and functioning', 'Damaged but functioning', 'Damaged not functioning', 'Completely destroyed']",,,,,,
Rapid Assessment,9. Health,9,a) What health facilities are there in the area?,1,,,RHU with doctor,2,options,"['Open and functioning', 'Damaged but functioning', 'Damaged not functioning', 'Completely destroyed']",,,,,,
Rapid Assessment,9. Health,9,a) What health facilities are there in the area?,1,,,RHU without doctor,3,options,"['Open and functioning', 'Damaged but functioning', 'Damaged not functioning', 'Completely destroyed']",,,,,,
Rapid Assessment,9. Health,9,a) What health facilities are there in the area?,1,,,Hospital,4,options,"['Open and functioning', 'Damaged but functioning', 'Damaged not functioning', 'Completely destroyed']",,,,,,
Rapid Assessment,9. Health,9,a) What health facilities are there in the area?,1,,,Other,5,options,"['Open and functioning', 'Damaged but functioning', 'Damaged not functioning', 'Completely destroyed']",,,,,,
Rapid Assessment,9. Health,9,a) What health facilities are there in the area?,1,,,Add name and location for each,6,text,,,,,,,
Rapid Assessment,9. Health,9,b) What health assistance is being provided?,2,,,Local health clinic,1,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,b) What health assistance is being provided?,2,,,Schedule,2,text,,,,,,,Location/time/date of visits
Rapid Assessment,9. Health,9,b) What health assistance is being provided?,2,,,Medical mission,3,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,b) What health assistance is being provided?,2,,,Schedule,4,text,,,,,,,Location/time/date of visits
Rapid Assessment,9. Health,9,b) What health assistance is being provided?,2,,,Other,5,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,b) What health assistance is being provided?,2,,,Schedule,6,text,,,,,,,Location/time/date of visits
Rapid Assessment,9. Health,9,b) What health assistance is being provided?,2,,,None,7,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,Diarrhea,1,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,Vomiting,2,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,Cough/cold,3,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,Trauma/injury,4,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,Skin Infection,5,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,Dehydration,6,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,Others,7,options,"['Yes','No']",,,,,,
Rapid Assessment,9. Health,9,c) Have increased levels of the following conditions been noticed since the event?,3,,,specify,8,text,,,,,,,
Rapid Assessment,9. Health,9,d),4,,,"Is the availability of medical assistance and supplies, relative to the population in need?",1,options,"['Adequate', 'Basic', 'Inadequate']",,,,,,
Rapid Assessment,9. Health,9,e),5,i),1,Have any local health programmes (led by DoH) been disrupted as a consequence of the disaster event?,1,options,"['Yes','No']",,,,,,"e.g. vaccination, etc"
Rapid Assessment,9. Health,9,e),5,ii),2,"If so, what?",1,text,,,,,,,
Rapid Assessment,Nutrition,10,,,,,Have infant milk products (e.g. milk formulas) and/or baby bottles/teats been distributed since the emergency/disaster?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,Nutrition,10,,,,,"If yes, by whom?",2,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,a),1,i.,1,Have there been reported cases of separated/unaccompanied children (including orphans)?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,Protection/Child Protection,11,a),1,ii. If yes how many?,2,Girls,1,number,,,,,,,
Rapid Assessment,Protection/Child Protection,11,a),1,ii. If yes how many?,2,Boys,2,number,,,,,,,
Rapid Assessment,Protection/Child Protection,11,a),1,iii.,3,Is there any referral system to support these children?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,Protection/Child Protection,11,a),1,iv.,4,"If yes, by whom?",1,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,a),1,v.,5,"If no, what activities are being done to help them, if any?",1,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,b),2,i.,1,Has there been any information (confirmed and unconfirmed) on cases of Gender-Based Violence against children/youth and women?,1,options,"['Yes','No']",,,,,,"e.g. rape, human trafficking, forced prostitution, intimate partner violence/domestic violence, sexual harassment, sexual abuse, verbal or psychosocial or economic abuse, physical abuse"
Rapid Assessment,Protection/Child Protection,11,b),2,ii. If yes how many?,2,Girls,1,number,,,,,,,
Rapid Assessment,Protection/Child Protection,11,b),2,ii. If yes how many?,2,Boys,2,number,,,,,,,
Rapid Assessment,Protection/Child Protection,11,b),2,ii. If yes how many?,2,Women,3,number,,,,,,,
Rapid Assessment,Protection/Child Protection,11,b),2,iii.,3,Is there any referral system to support these children and women?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,Protection/Child Protection,11,b),2,iv.,4,"If yes, by whom?",1,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,b),2,v.,5,"If no, what activities are being done to help them, if any?",1,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,c),3,i.,1,"Has there been any information (confirmed and unconfirmed) on cases of child abuse, labour or trafficking?",1,options,"['Yes','No']",,,,,,
Rapid Assessment,Protection/Child Protection,11,c),3,ii. If yes how many?,2,Girls,1,number,,,,,,,
Rapid Assessment,Protection/Child Protection,11,c),3,ii. If yes how many?,2,Boys,2,number,,,,,,,
Rapid Assessment,Protection/Child Protection,11,c),3,iii.,3,Is there any referral system to support these children?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,Protection/Child Protection,11,c),3,iv.,4,"If yes, by whom?",1,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,c),3,v.,5,"If no, what activities are being done to help them, if any?",1,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,d),4,i.,1,Have some children shown extreme behaviour changes that is worrying parents and caregivers?,1,options,"['Yes','No']",,,,,,"for example not eating, not speaking, not sleeping, wetting the bed"
Rapid Assessment,Protection/Child Protection,11,d),4,ii.,2,Are these widespread or isolated?,2,options,"['Widespread', 'Isolated']",,,,,,
Rapid Assessment,Protection/Child Protection,11,d),4,iii.,3,"What kind of support and coping mechanisms are available to help them and their carers and community resource people, if any?",3,text,,,,,,,
Rapid Assessment,Protection/Child Protection,11,e),5,i.,1,"Have any adults shown extreme behaviour changes that could be disruptive forthe community, especially children?",1,options,"['Yes','No']",,,,,,"for example violent behavior, substance misuse, stealing, hateful speech"
Rapid Assessment,Protection/Child Protection,11,e),5,ii.,2,Are these widespread or isolated?,2,options,"['Widespread', 'Isolated']",,,,,,
Rapid Assessment,Protection/Child Protection,11,e),5,iii.,3,"What kind of support and coping mechanisms are available to help them or the community, if any?",3,text,,,,,,,
Rapid Assessment,10. Emergency Education,12,a) What is the condition of education facilities in the area?,1,,,Day Care Centre,1,options,"['Functional, classes running', 'Damaged, but some classes running', 'Damaged, no classes', 'Totally destroyed']",,,,,,
Rapid Assessment,10. Emergency Education,12,a) What is the condition of education facilities in the area?,1,,,Basic Education,2,options,"['Functional, classes running', 'Damaged, but some classes running', 'Damaged, no classes', 'Totally destroyed']",,,,,,
Rapid Assessment,10. Emergency Education,12,a) What is the condition of education facilities in the area?,1,,,Secondary School,3,options,"['Functional, classes running', 'Damaged, but some classes running', 'Damaged, no classes', 'Totally destroyed']",,,,,,
Rapid Assessment,10. Emergency Education,12,a) What is the condition of education facilities in the area?,1,,,Other,4,options,"['Functional, classes running', 'Damaged, but some classes running', 'Damaged, no classes', 'Totally destroyed']",,,,,,
Rapid Assessment,10. Emergency Education,12,b) What proportion of children/teaching personnel were affected by the disaster and resulting suspension of classes?,2,,,Pre-school children,1,options,"['0%', '25%', '50%', '75%', '100%']",,,,,,
Rapid Assessment,10. Emergency Education,12,b) What proportion of children/teaching personnel were affected by the disaster and resulting suspension of classes?,2,,,School­children,2,options,"['0%', '25%', '50%', '75%', '100%']",,,,,,
Rapid Assessment,10. Emergency Education,12,b) What proportion of children/teaching personnel were affected by the disaster and resulting suspension of classes?,2,,,Day care workers,3,options,"['0%', '25%', '50%', '75%', '100%']",,,,,,
Rapid Assessment,10. Emergency Education,12,b) What proportion of children/teaching personnel were affected by the disaster and resulting suspension of classes?,2,,,Teachers,4,options,"['0%', '25%', '50%', '75%', '100%']",,,,,,
Rapid Assessment,10. Emergency Education,12,c),3,,,"If school is closed, when will classes resume?",1,options,"['In less than a week', 'after more than week', 'Awaiting news from DepEd']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Identify location for classes,1,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Repair of damaged buildings,2,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Replacing educational materials,3,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Replacing children’s school supplies,4,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Replacing teaching supplies/kits,5,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Integrate affected children to other schools,6,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Water & sanitation at learning sites,7,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,Others,8,options,"['Yes','No']",,,,,,
Rapid Assessment,10. Emergency Education,12,d) What are the most urgent educational needs right now in the area,4,,,specify,9,text,,,,,,,
Rapid Assessment,11. Emergency Telecoms,13,a),1,,,Have electricity services to the area been disrupted?,1,options,"['Yes', 'No', 'Not applicable as no electricity service before event']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,b),2,i. Is there mobile phone and 3G/HSDPA/EDGE/GPRS signal from the Telecoms company?,1,Smart,1,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,b),2,i. Is there mobile phone and 3G/HSDPA/EDGE/GPRS signal from the Telecoms company?,1,Smart Bro,2,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,b),2,i. Is there mobile phone and 3G/HSDPA/EDGE/GPRS signal from the Telecoms company?,1,Globe,3,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,b),2,i. Is there mobile phone and 3G/HSDPA/EDGE/GPRS signal from the Telecoms company?,1,Globe Tattoo,4,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,b),2,i. Is there mobile phone and 3G/HSDPA/EDGE/GPRS signal from the Telecoms company?,1,Sun,5,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,b),2,i. Is there mobile phone and 3G/HSDPA/EDGE/GPRS signal from the Telecoms company?,1,Sun Broadband,6,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,b),2,ii.,2,"If the primary mobile phone company signal is not working, when is it expected to be restored?",1,text,,,,,,,time/day/week
Rapid Assessment,11. Emergency Telecoms,13,b),2,iii.,3,Are people able to recharge their mobile phones in the community?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,c),3,i.,1,Is the landline telephone working in the area?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,c),3,ii.,2,"If not, expected time/day/week to be restored?",2,text,,,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,Barangay captain or other officials,1,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,Municipality officials,2,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,Radio,3,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,Newspaper,4,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,TV,5,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,School,6,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,"Neighbours, community",7,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,d) What are the main information sources people are using since the disaster event to find out about the response?,4,,,Others,8,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,e),5,i.,1,Do people generally trust these news sources?,1,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,e),5,ii.,2,"If no, what information sources do they trust?",2,text,,,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,General situation,1,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,Situation at home,2,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,Information on family members,3,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,What aid is coming,4,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,Weather forecast,5,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,Health advice,6,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,Security information,7,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,Other,8,options,"['Yes','No']",,,,,,
Rapid Assessment,11. Emergency Telecoms,13,f) What are the main information needs for the affected people?,6,,,specify,9,text,,,,,,,
Rapid Assessment,12. Access,14,a),1,i. Accessibility by road,1,Motorbike only,1,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,i. Accessibility by road,1,Car/minibus,2,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,i. Accessibility by road,1,4WD only,3,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,i. Accessibility by road,1,6 Wheeler Truck,4,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,i. Accessibility by road,1,10 Wheeler Truck,5,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,i. Accessibility by road,1,No road access,6,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,ii. Accessibility by water,2,Passenger boat (small bangka),1,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,ii. Accessibility by water,2,Cargo boat (big bangka),2,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,a),1,ii. Accessibility by water,2,Water access not applicable,3,options,"['Yes','No']",,,,,,
Rapid Assessment,12. Access,14,b),2,Travel time to affected area from nearest SC office,1,i. Office,1,text,,,,,,,
Rapid Assessment,12. Access,14,b),2,Travel time to affected area from nearest SC office,1,ii. Distance,2,text,,,,,,,
Rapid Assessment,12. Access,14,b),2,Travel time to affected area from nearest SC office,1,iii. Time,3,text,,,,,,,
