"Template","Series","Organisation","STD-L0","STD-L1","STD-L2","STD-L3","STD-Lon","STD-Lat","24H-2","24H-5","STD-DATE","STD-TIME","24H-1","24H-3","STD-WHO","24H-4","24H-6","24H-7","24H-8","24H-12","24H-13","24H-14","24H-15","24H-18","24H-26","24H-27","24H-28","24H-34","24H-35","24H-36","24H-19","24H-20","24H-21","24H-22","24H-23","24H-24","24H-25","24H-37","24H-38","24H-39","24H-40","24H-41","24H-42","24H-43","24H-44","24H-45","24H-46","24H-47","24H-48","24H-29","24H-30","24H-31","24H-32","24H-33","24H-9","24H-10","24H-11","24H-16","24H-17"
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Padimau",124.36115,-9.20463,"No",,"19/01/12",,"Tropical Storm Bulegila",190,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Oebau",124.36357,-9.20082,"No",,"19/01/12",,"Tropical Storm Bulegila",190,,,137,1,,835,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Sanane",124.36404,-9.20777,"No",,"19/01/12",,"Tropical Storm Bulegila",180,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Seklole",124.36574,-9.20495,"No",,"19/01/12",,"Tropical Storm Bulegila",220,,,96,7,,227,,,,,,,,,,,,,,,,,,,149,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Santaroja",124.37016,-9.20505,"Yes",,"19/01/12",,"Tropical Storm Bulegila",90,,,35,,,,,,,"Air",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Misi",124.37076,-9.19963,"No",,"19/01/12",,"Tropical Storm Bulegila",110,,,50,0,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,9,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Fulolo",124.33783,-9.21277,"Yes",,"19/01/12",,"Tropical Storm Bulegila",170,,,6,0,0,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Masin",124.34306,-9.21111,"Yes",,"19/01/12",,"Tropical Storm Bulegila",60,,,38,4,0,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Nunbai",124.35285,-9.20939,"Yes",,"19/01/12",,"Tropical Storm Bulegila",150,,,69,,,30,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,4,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Oetulu",124.36568,-9.21248,"Yes",,"19/01/12",,"Tropical Storm Bulegila",260,,,0,,,115,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,2,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Semoro",124.33371,-9.22087,"Yes",,"19/01/12",,"Tropical Storm Bulegila",160,,,13,0,0,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Taolen",124.40032,-9.27681,"Yes",,"19/01/12",,"Tropical Storm Bulegila",320,,,60,0,0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,52,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Kinat",124.41551,-9.27657,"Yes",,"19/01/12",,"Tropical Storm Bulegila",150,,,51,0,0,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,31,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Bussi",124.42085,-9.2769,"No",,"19/01/12",,"Tropical Storm Bulegila",250,,,56,,,2352,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,55,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Oemasin",124.45732,-9.29678,"Yes",,"19/01/12",,"Tropical Storm Bulegila",90,,,0,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Laukfoan",124.44013,-9.3031,"No",,"19/01/12",,"Tropical Storm Bulegila",370,,,291,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Santacrus",124.37774,-9.20075,"No",,"19/01/12",,"Tropical Storm Bulegila",280,,,131,5,0,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","COSTA","Pante Macasar",124.36839,-9.20282,"Yes",,"19/01/12",,"Tropical Storm Bulegila",210,,,163,3,,30,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,3,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Jumati",124.32263,-9.2521,"Yes",,"19/01/12",,"Tropical Storm Bulegila",510,,,0,0,0,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Biseo",124.32649,-9.25821,"Yes",,"19/01/12",,"Tropical Storm Bulegila",370,,,71,0,0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,52,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Nopai",124.34861,-9.25694,"Yes",,"19/01/12",,"Tropical Storm Bulegila",180,,,122,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","Yes","No",,,,27,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Noafafo",124.35458,-9.25637,"Yes",,"19/01/12",,"Tropical Storm Bulegila",160,,,52,0,0,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Sabela",124.32986,-9.26044,"No",,"19/01/12",,"Tropical Storm Bulegila",380,,,0,,,684,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Nunenau",124.33314,-9.26275,"Yes",,"19/01/12",,"Tropical Storm Bulegila",180,,,144,56,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","Yes","water source contaminated",,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Fatnuni",124.33757,-9.26652,"Yes",,"19/01/12",,"Tropical Storm Bulegila",130,,,56,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Menoah",124.35139,-9.26111,"No",,"19/01/12",,"Tropical Storm Bulegila",680,,,0,,,833,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,12,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Noeninen",124.35278,-9.26667,"Yes",,"19/01/12",,"Tropical Storm Bulegila",240,,,179,0,0,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,6,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Faiteno",124.35699,-9.26361,"Yes",,"19/01/12",,"Tropical Storm Bulegila",220,,,20,0,0,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,1,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Kiumina",124.35811,-9.26616,"Yes",,"19/01/12",,"Tropical Storm Bulegila",320,,,206,8,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Nunuhenu",124.34642,-9.27364,"Yes",,"19/01/12",,"Tropical Storm Bulegila",140,,,55,0,0,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Fautmet",124.3565,-9.26748,"No",,"19/01/12",,"Tropical Storm Bulegila",80,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Patikase",124.32969,-9.28704,"Yes",,"19/01/12",,"Tropical Storm Bulegila",60,,,31,21,,,,,,"Air,boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Oapjumama",124.33511,-9.28388,"No",,"19/01/12",,"Tropical Storm Bulegila",160,,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Sonomnasi",124.32566,-9.3085,"Yes",,"19/01/12",,"Tropical Storm Bulegila",30,,,19,,,,,,,"boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,5,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Neofmalo",124.29398,-9.34515,"No",,"19/01/12",,"Tropical Storm Bulegila",800,,,289,3,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","CUNHA","Maunaben",124.29784,-9.35183,"No",,"19/01/12",,"Tropical Storm Bulegila",80,,,24,4,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,5,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Fatusene",124.34293,-9.23754,"No",,"19/01/12",,"Tropical Storm Bulegila",530,,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Nijamtasa",124.34708,-9.2416,"No",,"19/01/12",,"Tropical Storm Bulegila",460,,,266,,,5577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Kanete",124.35212,-9.23709,"No",,"19/01/12",,"Tropical Storm Bulegila",110,,,67,1,,136,,,,,,,,,,,,,,,,,,,50,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,28,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Oepuah",124.35626,-9.23909,"Yes",,"19/01/12",,"Tropical Storm Bulegila",250,,,172,,,0,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","Yes","No","No",,,,12,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Roti",124.31646,-9.24582,"Yes",,"19/01/12",,"Tropical Storm Bulegila",200,,,67,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,2,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Matanome",124.31938,-9.24987,"No",,"19/01/12",,"Tropical Storm Bulegila",40,,,16,0,,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Padiae",124.34547,-9.24618,"No",,"19/01/12",,"Tropical Storm Bulegila",110,,,29,0,,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,5,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Tumepat",124.34994,-9.24793,"Yes",,"19/01/12",,"Tropical Storm Bulegila",210,,,108,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","Yes","water source contaminated",,,6,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","LALINE","Aimetahun",126.20417,-8.84444,"Yes",,"19/01/12",,"Tropical Storm Bulegila",310,,,124,65,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","LALINE","Fatucado",126.20229,-8.84267,"No",,"19/01/12",,"Tropical Storm Bulegila",180,,,65,1,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Yes",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","LALINE","Mauama",126.20352,-8.84119,"Yes",,"19/01/12",,"Tropical Storm Bulegila",450,,,27,,,0,,,,,,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","LALINE","Microde",126.20183,-8.83997,"No",,"19/01/12",,"Tropical Storm Bulegila",340,,,250,54,,,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","LALINE","Santontonio",126.20485,-8.83906,"Yes",,"19/01/12",,"Tropical Storm Bulegila",100,,,1,,,,,,,"Air,boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,1,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","LALINE","Aidaklaran",126.20776,-8.83449,"No",,"19/01/12",,"Tropical Storm Bulegila",230,,,119,23,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","UMA TOLU","Fahilain",126.22322,-8.89461,"Yes",,"19/01/12",,"Tropical Storm Bulegila",120,,,28,,,,,,,"Boat",,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","Yes","No",,,,0,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","UMA TOLU","Talioan",126.22154,-8.89291,"No",,"19/01/12",,"Tropical Storm Bulegila",80,,,46,0,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,12,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","UMA TOLU","Datametan",126.225,-8.89306,"Yes",,"19/01/12",,"Tropical Storm Bulegila",260,,,10,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","UMA TOLU","Umatolu",126.22183,-8.89143,"Yes",,"19/01/12",,"Tropical Storm Bulegila",510,,,197,8,0,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,22,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","UMA TOLU","Aisucunuc",126.225,-8.89028,"Yes",,"19/01/12",,"Tropical Storm Bulegila",60,,,32,,,,,,,"Air, boat",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","VIQUEQUE","UMA TOLU","Clarecmaruc",126.22015,-8.88263,"No",,"19/01/12",,"Tropical Storm Bulegila",30,,,0,0,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,9,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Oepoko",124.35078,-9.24436,"Yes",,"19/01/12",,"Tropical Storm Bulegila",260,,,96,0,,,,,,"boat ",,,,,,,,,,,,,,,,,,,,,"No",,,,"Rural","No","No","Yes","Yes","Outbreak of Yaws reported",,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Benoko",124.34691,-9.25498,"Yes",,"19/01/12",,"Tropical Storm Bulegila",780,,,649,34,,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,2,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Paliuk",124.34839,-9.25312,"No",,"19/01/12",,"Tropical Storm Bulegila",70,,,41,3,,357,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Oelila",124.3512,-9.25007,"No",,"19/01/12",,"Tropical Storm Bulegila",540,,,458,24,,600,,,,,,,,,,,,,,,,,,,"all",,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Kiutunis",124.35199,-9.25222,"Yes",,"19/01/12",,"Tropical Storm Bulegila",330,,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LALISUC","Manunfena",124.34153,-9.23979,"No",,"19/01/12",,"Tropical Storm Bulegila",150,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Don't Know",,,,"Rural","No","No","No","No",,,,2,,
"First 24 Hours","Tropical Storm (Timor Leste)","Timor-Leste Red Cross Society","Timor-Leste","OECUSSE","LIFAU","Kolam Cina",124.31447,-9.20418,"No",,"19/01/12",,"Tropical Storm Bulegila",60,,,29,0,,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,16,,
