"Template","Series","Organisation","24H-BI-1","24H-BI-2","STD-DATE","STD-L0","STD-L1","STD-L3","24H-BI-3","24H-BI-4","24H-H-1","24H-H-2","24H-H-3","24H-H-4","24H-H-5","24H-H-6","24H-H-7","24H-I-1","24H-I-10","24H-I-11","24H-I-12","24H-I-13","24H-I-14","24H-I-15","24H-I-2","24H-I-3","24H-I-4","24H-I-5","24H-I-6","24H-I-7","24H-I-8","24H-I-9","24H-L-1","24H-L-2","24H-L-3","24H-L-4","24H-L-5","24H-L-6","24H-L-7","24H-Re-1","24H-Re-2","24H-Re-3","24H-Re-4","24H-Re-5","24H-Ri-1","24H-Ri-2","24H-Ri-3","24H-Ri-4","24H-Ri-5","24H-S-1","24H-S-2","24H-S-3","24H-S-4","24H-S-5","24H-S-6","24H-S-7","24H-S-8","24H-S-9"
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Afore Govt. Station",,,119,23,,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Afore Rural LLG","Sila",,,69,,,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,100,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Afore Rural LLG","Sakarina",,,9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,18,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Dea",,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,3,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Afore Rural LLG","Tabuane",,,244,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,13,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",08/11/05,"Papua New Guinea","Afore Rural LLG","Siribu",,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Gora",,,31,,,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,56,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Gorabuna",,,0,,,600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"all",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Tahama",,,291,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Umbawara",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Kokoro",,,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Afore Rural LLG","Kuai",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Itokama",,,266,,,5577,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Afore Rural LLG","Aiari*",,,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Afore Rural LLG","Sinua*",,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Koira",,,76,"nil",,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,7,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Afore Rural LLG","Moro (Urodi)",,,97,4,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,9,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",08/11/05,"Papua New Guinea","Afore Rural LLG","Umauma*",,,24,4,,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,5,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Urumbai (Uriobo)",,,29,"nil",,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,5,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Noura",,,29,"nil",,92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,16,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Oure",,,0,"nil",,45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,9,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Dibau",,,63,"nil",,95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,22,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Kasirawa No. 2",,,16,"nil",,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Afore Rural LLG","Bibira No. 2",,,45,"nil",,256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,20,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Fonotaime (Yauri)",,,0,"nil",,124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,2,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",06/11/05,"Papua New Guinea","Afore Rural LLG","Bibira No. 1",,,50,"nil",,108,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,9,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Afore Rural LLG","Domara",,,0,"nil",,266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,23,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Safia*",,,47,1,,4038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,60,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",07/11/05,"Papua New Guinea","Afore Rural LLG","Obea",,,113,34,,505,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,4,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",08/11/05,"Papua New Guinea","Afore Rural LLG","Silididi",,,46,"nil",,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,12,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Bare",,,49,"nil",,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,8,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","No","Cyclone Guba",05/11/05,"Papua New Guinea","Afore Rural LLG","Ubo",,,11,"nil",,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,17,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Popondetta Urban LLG","Gewetto",,,10,,,229,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Popondetta Urban LLG","Kopurahambo (Kope)",,,154,,,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Popondetta Urban LLG","Soputa",,,37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Popondetta Urban LLG","Inonda",,,9,"nil",,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,5,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Popondetta Urban LLG","Haruro",,,0,,,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Popondetta Urban LLG","Puhemo",,,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,5,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Popondetta Urban LLG","Huvivi",,,210,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Popondetta Urban LLG","East Embogo Blocks",,,649,34,,1236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,2,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Kokoda Rural LLG","Asimba",,,40,0,0,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"some",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",08/11/05,"Papua New Guinea","Kokoda Rural LLG","Kovelo",,,6,0,0,815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"some",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Amada",,,52,0,0,882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"some",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Kokoda Pltn Portion",,,55,0,0,625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"nil",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Kamondo",,,13,0,0,1680,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"nil",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Abuari",,,38,4,0,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"nil",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Alola",,,42,0,0,309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,"few",,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Kokoda Rural LLG","Hojavahambo",,,60,0,0,3000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,52,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Ilimo",,,71,0,0,9000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,52,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Kokoda Rural LLG","Papaki",,,0,0,0,900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Kokoda Rural LLG","Hamara",,,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Rural",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Ombisusu",,,197,8,0,547,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,22,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Asisi",,,20,0,0,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,1,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Sirorata",,,179,0,0,236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,6,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Kokoda Rural LLG","Asafa*",,,206,8,0,1000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Emo 1",,,51,0,0,168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,31,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",06/11/05,"Papua New Guinea","Kokoda Rural LLG","Emo 2",,,0,0,0,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,10,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",07/11/05,"Papua New Guinea","Kokoda Rural LLG","Tetebedi",,,136,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Peri-Urban",,,,,,,,,,,,,,
"24 Hour B","Cyclone Guba (Oro Province)","Papua New Guinea Red Cross Society","Yes","Cyclone Guba",05/11/05,"Papua New Guinea","Kokoda Rural LLG","Kokoda Station",,,53,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"Urban",,,,,,,,,,,,,,
