Name,Country,L1,L2,L3,L4
Lango MSS,BT,Paro,Lamgong,Jagarthang,Jagarthangmaed
Utpal Academy,BT,Paro,Lamgong,Jagarthang,
Utpal Junior HS,BT,Paro,Lamgong,Jagarthang,
Karma Leksheyling,BT,Paro,Tsento,,
Gunitsawa PS,BT,Paro,Tsento,,
Ramchetsekha PS,BT,Paro,Tsento,Mitshig_Shana,
Drukgyel LSS,BT,Paro,Tsento,,
Wangsel Institute,BT,Paro,Tsento,,
Drukgyel CS,BT,Paro,Tsento,,
Baging,BT,Monggar,Drametse,Ba-Ging_Shadang,Baging
Balam,BT,Monggar,Balam,Balam,Upper Balam
Bumpazor,BT,Monggar,Drepung,Drepoong,Labtsa Zor
Daksa,BT,Monggar,Gongdue,Daagsa_Kumazong,Daksa
Ganglapong,BT,Monggar,Tsamang,Ganglapong Toed,Ganglapong Toed
Jurmey,BT,Monggar,Jurmey,Bilam_Dangkila,Bilam
Konbar,BT,Monggar,Mongar,Konbar_Tagchu,Konbar
Kalapang,BT,Monggar,Saleng,Kalapang_Risa,Kalapang
Narang,BT,Monggar,Narang,Na-Rang,Narang
Ngatshang,BT,Monggar,Ngatshang,Ngatshang,
Pangthang,BT,Monggar,Gongdue,Damkhar_Weringla,Pangthang
Ridaza,BT,Monggar,Mongar,Phosorong,
Silambi,BT,Monggar,Silambi,Silambi,Silambi
Soenakhar,BT,Monggar,Shermung,Soenakhar,
Thangrong,BT,Monggar,Thangrong,Bauchhoeling_Panglen,
Thridangbi,BT,Monggar,Saleng,Thridangbi,
Tsakaling,BT,Monggar,Tsakaling,Nyartsi_Tsakaling,
Tsamang,BT,Monggar,Tsamang,Drangmaling_ Nang-gor,
Yudari,BT,Monggar,Kengkhar,Kyidpari_Yudari,
Yangbari,BT,Monggar,Gongdue,Pikari_Yangbari,Yangbari
Zunglen,BT,Monggar,Drepung,Zunglen,Zunglen
Bakla,BT,Monggar,Gongdue,Baagla_Dengkaling,Bakla
Banjar,BT,Monggar,Tsamang,Banjar,
Broksar,BT,Monggar,Saleng,Drogsar,Drogsar
Chaskhar,BT,Monggar,Chaskhar,,
Jaibab,BT,Monggar,Mongar,Wengkhar_Yagpoogang,Jaibab
Lingkhar,BT,Monggar,Thangrong,Lingkhar,Lingkhar
Muhung,BT,Monggar,Shermung,Muhung,Muhung
Resa,BT,Monggar,Saleng,Kalapang_Risa,Resa
Saling,BT,Monggar,Saleng,Saling,Saling
Sangkama,BT,Monggar,Jurmey,Ngamphu_Sangkama,Sangkama
Tsenzabi,BT,Monggar,Saleng,Tsenzabi_Masangdaza,
Woop,BT,Monggar,Drepung,Drepoong,Woop pek
Yaragla,BT,Monggar,Jurmey,Koknala_Ya-Ragla,Ya-Rakla
Sengor,BT,Monggar,Saleng,Seng-Gor,Seng-Gor
Waichur,BT,Monggar,Drametse,Bikhar_Thoongdari,Waichur
Serzhong,BT,Monggar,Shermung,Serzhong,Serzhong
Chali,BT,Monggar,Chhali,Chulabi,Chulabi
Lingmithang,BT,Monggar,Saleng,,
Nagor,BT,Monggar,Silambi,Nagor,Nagor Trong
Kengkhar,BT,Monggar,Kengkhar,,
Mongar,BT,Monggar,Mongar,Phosorong,
Mongar,BT,Monggar,Mongar,Phosorong,
Gyalpoizhing,BT,Monggar,Mongar,Gyalpoizhing_Wangling,Gyelpozhing
Chaskhar,BT,Monggar,Balam,,
Drametse,BT,Monggar,Drametse,Drametse_Shaphangma,Drametse
Kidekhar,BT,Monggar,Mongar,Kidekhar,
Yadi,BT,Monggar,Ngatshang,Yadi_Yekhar,Town
Sherab Reldi,BT,Monggar,Mongar,Phosorong,Yagang
