Name,Type,Country,L1,L2,L3,L4
Shukdra Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Kharsa -Thangbi,Shukdak
Thangbi Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Kharsa -Thangbi,Thangbi
Tag Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Kharsa -Thangbi,Kharsa
Goling /Dungkhor Lhakhang,Cultural Site,BT,Bumthang,Chhoekhor,Kharsa -Thangbi,Goling
Ngyan rel Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Nangar
Nangar Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Nangar
Nimalung Monastry Dratshang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Yamthrag
Pangtoe Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Pangteygoenpa
Genyen Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Zungngae
Trakar Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Trakar
Dorten Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Yamthrag
Nangney Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Nangye
Choeten Nyingpo Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Yamthrag
Shak Lhakhang,Cultural Site,BT,Bumthang,Chhume,Zungngae,Trakar
Urook Lhakhang,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,Uru
Chuchi Lhakhang,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,Gyaltsa
Buli Dratshang,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,Buli
Namdrucholing,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,Urudrangbi
Samtenling Lhakhang,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,Samtenling
Chodrak,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,Choda
Zambala,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,
Jangchub choling Shedra,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,
Tharpaling monastry or dratshang,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,
Dungtse/Dungska Lhakhang,Cultural Site,BT,Bumthang,Chhume,Gyaltsa,
Thromed Lhakhang,Cultural Site,BT,Bumthang,Chhume,Phurjoen,Thrometh
Choedeypang Lhakhang,Cultural Site,BT,Bumthang,Chhume,Phurjoen,Chedeypang
Ungsang Lhakhang,Cultural Site,BT,Bumthang,Chhume,Phurjoen,Ungsang
Namphur Lhakhang,Cultural Site,BT,Bumthang,Chhume,Phurjoen,Phurjoen
Tashicholing /Phurjoen Lhakhang,Cultural Site,BT,Bumthang,Chhume,Phurjoen,Phurjoen
Tharpaling,Cultural Site,BT,Bumthang,Chhume,Choongphel,Tharpaling
Zhuri,Cultural Site,BT,Bumthang,Chhume,Choongphel,Zhurey
Kakaling/Terzoed Lhakhang,Cultural Site,BT,Bumthang,Chhume,Choongphel,Terzoed
Lhendup Choling Lhakhang,Cultural Site,BT,Bumthang,Chhume,Domkhar,Domkhar
Barling/Zhicha Lhakhang,Cultural Site,BT,Bumthang,Chhume,Domkhar,Zincha
Tharnang Goenpa,Cultural Site,BT,Bumthang,Tang,Tadingang,Tandigang
Tandinggang Lhakhang,Cultural Site,BT,Bumthang,Tang,Tadingang,Tandigang
Thowadrak Lhakhang,Cultural Site,BT,Bumthang,Tang,Khangrab,
Langmalung Lhakhang,Cultural Site,BT,Bumthang,Tang,Khangrab,Chhutoe
Namkha Lhakhang,Cultural Site,BT,Bumthang,Tang,Khangrab,Namkha
Khangrab Poenpoi Lhakhang,Cultural Site,BT,Bumthang,Tang,Khangrab,Khangrab
Utshe Lhakhang,Cultural Site,BT,Bumthang,Tang,Khangrab,Khangrab
Ani Lhakhang,Cultural Site,BT,Bumthang,Tang,Khangrab,Gambling
UgyenCholing,Cultural Site,BT,Bumthang,Tang,Khangrab,Ugyenchholing
Bumthang Phog,Cultural Site,BT,Bumthang,Tang,Kidzom Nyimalung,Sakarmeth
Bai Phog,Cultural Site,BT,Bumthang,Tang,Kidzom Nyimalung,
Chogyam,Cultural Site,BT,Bumthang,Tang,Kidzom Nyimalung,Chojam
Thramoling,Cultural Site,BT,Bumthang,Tang,Kidzom Nyimalung,Sakarmeth
Taag Rimochen,Cultural Site,BT,Bumthang,Tang,Dazur,Rimochen
Bjoke Lhakhang,Cultural Site,BT,Bumthang,Tang,Dazur,Jok
Ningchen Lhakhang,Cultural Site,BT,Bumthang,Tang,Dazur,Pangshing
Jemshong,Cultural Site,BT,Bumthang,Tang,Dazur,Jamshong
Samtenling,Cultural Site,BT,Bumthang,Tang,Bezur Kuenzangdrag,Phomdrong
Pema Shedup Choki Gatsheling,Cultural Site,BT,Bumthang,Tang,Bezur Kuenzangdrag,Bezur
Thre Lhakhang,Cultural Site,BT,Bumthang,Tang,Bezur Kuenzangdrag,Bezur
Kuenzangdrak Lhakhang,Cultural Site,BT,Bumthang,Tang,Bezur Kuenzangdrag,Kuenzangdrang
Dechenling,Cultural Site,BT,Bumthang,Tang,Bezur Kuenzangdrag,Kuenzangdrang
Dorjitse Lhakhang,Cultural Site,BT,Bumthang,Tang,Bezur Kuenzangdrag,Phomdrong
Pangkhar Lhakhang (Old),Cultural Site,BT,Bumthang,Ura,Beteng-Pangkhar-Somthrang,Pangkhar
Pangkhar Lhakhang (New),Cultural Site,BT,Bumthang,Ura,Beteng-Pangkhar-Somthrang,Pangkhar
Gaden Lhakhang,Cultural Site,BT,Bumthang,Ura,Beteng-Pangkhar-Somthrang,
Chungthang Goenpa Lhakhang,Cultural Site,BT,Bumthang,Ura,Beteng-Pangkhar-Somthrang,
Somthrang Lhakhang,Cultural Site,BT,Bumthang,Ura,Beteng-Pangkhar-Somthrang,Somthrang
Shamzur Lhakhang,Cultural Site,BT,Bumthang,Ura,Singkhar,Shingkhar
Dorgri Rinchen Jungnye Lhakhang,Cultural Site,BT,Bumthang,Ura,Singkhar,
Shingkhar Lhakhang,Cultural Site,BT,Bumthang,Ura,Singkhar,Shingkhar
Wangthang Lhakhang,Cultural Site,BT,Bumthang,Ura,Ura-Dozhi,
Ura-Doshi Lhakhang,Cultural Site,BT,Bumthang,Ura,Ura-Dozhi,
Tashi Ghaden Lhakhang,Cultural Site,BT,Bumthang,Ura,Ura-Dozhi,
Shingnyer Lhakhang,Cultural Site,BT,Bumthang,Ura,Shing-Nyer,
Dechenling Lhakhang,Cultural Site,BT,Bumthang,Ura,Tangsibi,Tansibi
Gorchiling Lhakhang,Cultural Site,BT,Bumthang,Ura,Tangsibi,Tansibi
Tashiling,Cultural Site,BT,Bumthang,Ura,Tangsibi,Tansibi
Jakar Dratshang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),,
Jakar Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Chamkhar,Jakar Village
Dungkhar Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Chamkhar,Jakar Village
Wangdichholing Palace,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Dekiling,Wangduecholing
Wangdichholing Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Dekiling,Wangduecholing
Shey Dratshang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Dekiling,Wangduecholing
Kharchu Dratshang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Jalikhar,Gongkhar
Gongkhar Gompa/Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Jalikhar,Gongkhar
Gaylong Ma Pema Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Jalikhar,Gongkhar
Dungkhar Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Jalikhar,Gongkhar
Jakar Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Chamkhar,Chamkhar
Dungkor Lhakhang,Cultural Site,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Chamkhar,Chamkhar
Barsha Lhakhang,Cultural Site,BT,Gasa,Goenkhame,Khailoo,
Khailo Lhakhang,Cultural Site,BT,Gasa,Goenkhame,Khailoo,Khailoo
Tshechudra,Cultural Site,BT,Gasa,Goenkhame,,
sipjigoenpa,Cultural Site,BT,Gasa,Goenkhame,Damji,
choedigoenpa,Cultural Site,BT,Gasa,Goenkhame,Zomi-Gayza,
Zamsel Goenpa,Cultural Site,BT,Gasa,Goenkhatoe,Remi,
Gasa Tashi thomoen Dzong,Cultural Site,BT,Gasa,Goenkhatoe,Choley,Phulakha
Yongdzo lhakhang,Cultural Site,BT,Gasa,Laya,Tokor,Toko
Amchu Tashi Lhakhang,Cultural Site,BT,Gasa,Laya,Chongra,Lubcha
Lungo nTsulakhang,Cultural Site,BT,Gasa,Laya,Lungoo,Lungo
Dungoen Lhakhang,Cultural Site,BT,Gasa,Laya,Lungoo,Lungo
Lungo Dratshang Jangchup choling,Cultural Site,BT,Gasa,Laya,Lungoo,Lungo
laya donga shadrup choling,Cultural Site,BT,Gasa,Laya,Pazhi,
Pazhi lhakhang,Cultural Site,BT,Gasa,Laya,Pazhi,
Tshozhab Lhakhang,Cultural Site,BT,Gasa,Lunana,Tshodzong,Tshodzong
zuridra Lhakhang,Cultural Site,BT,Gasa,Lunana,Lhedi,
lendroe Lhangkhag,Cultural Site,BT,Gasa,Lunana,Tshodzong,
Toenchoe Dorji Khandro Lhakhang,Cultural Site,BT,Gasa,Lunana,Tenchey- Thangza,Tenchey
Pelden Lhamoi Lhakhang,Cultural Site,BT,Gasa,Lunana,Tenchey- Thangza,Tenchey
Thangza Lhakhang,Cultural Site,BT,Gasa,Lunana,Tenchey- Thangza,Thangza
Honhtsho Tashigang Goenpa,Cultural Site,BT,Thimphu,Chang,Lhoongtsho_Tashigang,Lhoongtsho
Phendeykha Samdup Lhakhang,Cultural Site,BT,Thimphu,Chang,Lhoongtsho_Tashigang,Lhoongtsho
Rama Lhakhang,Cultural Site,BT,Thimphu,Chang,Ramtoktok_Tsangrina,Rama
Yoselpang Lhakhang,Cultural Site,BT,Thimphu,Chang,Yoeselpang,Yoeselpang
Chamgang Lhakhang,Cultural Site,BT,Thimphu,Dagala,Chamgang Toed,Chamgang Toed
Chizhi Samtencholling,Cultural Site,BT,Thimphu,Genye,Chizhi,
Zamtog Lhakhang,Cultural Site,BT,Thimphu,Genye,Tsho-chekha_Zamtog,Zamtog
Zangleykha Lhakhang,Cultural Site,BT,Thimphu,Genye,Zang-legkha,Zangleykha
Geney Lhakhang,Cultural Site,BT,Thimphu,Genye,Ge-nyenkha,Genekha
Wangbama Karmachen Lhakhang,Cultural Site,BT,Thimphu,Genye,Wangbama,Bama
Laximi Narayan Mandhir,Cultural Site,BT,Sarpang,Chhudzom,Lhayul,Lhayul(Mougaon)
Shiva Mandhir,Cultural Site,BT,Sarpang,Chhuzagang,Thongjabi-Yueling,Yueling
Laximi Narayan Mandhir,Cultural Site,BT,Sarpang,Dekiling,Chhokhorling,Chhokhorling(Toribari)
shivalaya mandhir,Cultural Site,BT,Sarpang,Hiley,Menchhulam,Menchhulam(Kharpani)
Radha Krishan,Cultural Site,BT,Sarpang,Gelephu,Pelrithang Khatoed,
Laximi Narayan Mandhir,Cultural Site,BT,Sarpang,Jigmichhoeling,Khatoed,Jungchhurgang(Saudalay)
Radha Krishna,Cultural Site,BT,Sarpang,Jigmichhoeling,Gongtsekha,Gongtsekha (Gongdara)
shivalaya mandhir,Cultural Site,BT,Sarpang,Samtenling,Samtengang,Samtenling (Bhur)
Gewphu Lhakhang,Cultural Site,BT,Thimphu,Lingzhi,Chakphu,Ghewphu
Hindhu Mandhir,Cultural Site,BT,Sarpang,Shompangkha,Koencholing,Kencholing(Kharpani)
Hindhu Mandhir,Cultural Site,BT,Sarpang,Shompangkha,Gomchola,Gomchola Ka(Chaar)
Jhomolhari Lhakhang,Cultural Site,BT,Thimphu,Soe,Jomphu,Jomphu
Shivalaya mandhir,Cultural Site,BT,Sarpang,Gelephu,Pelrithang Khatoed,Pelrithang(Lodrai)
Pema Yoeling Tsulakhang,Cultural Site,BT,Sarpang,Gelephu,Pelrithang Khatoed,Pelrithang
DoNga Kinzang Choling Goenpa,Cultural Site,BT,Sarpang,Sherzhong,Sershong,Sershong
Pema Yoeseling Choedey,Cultural Site,BT,Sarpang,Shompangkha,Koencholing,Kenchoeling/Kharpanitar
Thegcho Khandu Ynagtse Goenpa,Cultural Site,BT,Sarpang,Gelephu,Lekithang,Lekithang(Lakitar)
Dujom Khando Yangtse Goenpa,Cultural Site,BT,Sarpang,Umling,Dangling,Dangling
Sershong,Cultural Site,BT,Sarpang,Sherzhong,Sershong,Sershong
Namgay Choeling,Cultural Site,BT,Sarpang,Chhuzagang,Nimaling-Shawapong,Shawapong/Daragoan
Lungta Tharchin,Cultural Site,BT,Sarpang,Dekiling,Dekiling,Darbithang(Sukhatar)
Sang Nga Yoesel choeling,Cultural Site,BT,Sarpang,Hiley,Sangkha,Sangkha(Rateypani)
Yoesel Choling,Cultural Site,BT,Sarpang,Hiley,Gakiling,Gakiling (Hilley)
Jigmecholing Lhakhang,Cultural Site,BT,Sarpang,Jigmichhoeling,Khatoed,Khatoe
Chungshing Lhakhang,Cultural Site,BT,Sarpang,Jigmichhoeling,Khamaed,Chunshing
Reti Lhakhang,Cultural Site,BT,Sarpang,Jigmichhoeling,Gongduegang,Riti(Reti)/ Zompagang
Samden lhudneupcholing,Cultural Site,BT,Sarpang,Jigmichhoeling,Samkhar,Shingkharthang (Samkhara)
Dechenpelri Edi,Cultural Site,BT,Sarpang,Samtenling,Dechenpelri,Dechenpelri(Jaruwa)
Namdrol choling Goenpa,Cultural Site,BT,Sarpang,Senge,Yarpheling,Sahariphu(Balatung)
Tarethang lhakhang,Cultural Site,BT,Sarpang,Taraythang,Yoezergang,Oedzergang (Rangadara)
Umling lhakhang,Cultural Site,BT,Sarpang,Umling,Rijug,Lingar
Sherubcholing Anim Dratshang,Cultural Site,BT,Sarpang,Chhuzagang,Thongjabi-Yueling,Yueling/Danabari
Gelephu Rabdey,Cultural Site,BT,Sarpang,Gelephu,Pemathang,Pemathang(Somitar)
Tharpaling,Cultural Site,BT,Sarpang,Gelephu,Pemathang,Pemathang(Somitar)
Nimalung,Cultural Site,BT,Sarpang,Gelephu,Pemathang,Pemathang(Somitar)
Thugten Ku lhakhang,Cultural Site,BT,Sarpang,Gelephu,Lekithang,Lekithang(Lakitar)
Jigmecholing Rabdey,Cultural Site,BT,Sarpang,Jigmichhoeling,Khatoed,Khatoe
Pema lhundrup chokhorling,Cultural Site,BT,Sarpang,Sherzhong,Pemayoeling,Pemayoeling
Phulhari Nyekhang,Cultural Site,BT,Sarpang,Samtenling,Dechenpelri,Dechenpelri(Jaruwa)
Zabgdo pelri,Cultural Site,BT,Sarpang,Shompangkha,Shompangkha,Shompangkha(Sarpangtar)
Dorithasa Thongji,Cultural Site,BT,Haa,Gakiling,Dorithasa_Kowkha_Yangtse,Dorithasa
Gangri ma,Cultural Site,BT,Haa,,,Gangringmo
Rangtse Tashi Choeling,Cultural Site,BT,Haa,,,Rangtse
Jamdue Goenpa,Cultural Site,BT,Haa,Bji,Choompa_Jamgoen,Jamgoen
Yangthang Zabden Choeling,Cultural Site,BT,Haa,Bji,Yangthang,Jangtoed
Tenchong Samten Choeling,Cultural Site,BT,Haa,Bji,Tsenka_Taloong,Tsenkagoenpa
Yangthangpa Tshuk Lhakhang,Cultural Site,BT,Haa,Bji,Yangthang,Jangtoed
Thukten Choeling,Cultural Site,BT,Haa,Bji,Gensa_Tokey,Gensa
Tshegay Tshuklhakhang,Cultural Site,BT,Haa,Bji,Tsenka_Taloong,Tsenka
Gensa Lhakhang,Cultural Site,BT,Haa,Bji,Gensa_Tokey,Gensa
Geychhu Lhakhang,Cultural Site,BT,Haa,Bji,Chenpa_Geychukha,Geychhukha
Choompa Lhakhang,Cultural Site,BT,Haa,Bji,Choompa_Jamgoen,Choompa
Tshen Tshen Goenpa,Cultural Site,BT,Haa,Bji,Yangthang,Tshekha
Long Long Lhakhang,Cultural Site,BT,Haa,Bji,Tsenka_Taloong,Tsenka
Dragna Tashi Dingkha,Cultural Site,BT,Haa,Katsho,Dragding_Karjena,Dragding
Kartsho Goenpa,Cultural Site,BT,Haa,Katsho,,
Lunhkha Ugyen peljor,Cultural Site,BT,Haa,Katsho,,
Bali Lhakhang,Cultural Site,BT,Haa,Katsho,Bali_Mombitshokha,Bali
Jungnedra Lhakhang,Cultural Site,BT,Haa,Katsho,Kargoen_Hatam,Jungnedra
Wangtsa Lhakhang,Cultural Site,BT,Haa,Katsho,Wangtsa,Wangtsa
Namgay Ling Dzong,Cultural Site,BT,Haa,Katsho,,
Tagchhu Goenpa,Cultural Site,BT,Haa,Uesu,Kipri_Tagchhu,Tagchhu
LungtsoKha Choekhorling,Cultural Site,BT,Haa,Uesu,Kipri_Tagchhu,Kipri
Pajekha Lhakhang,Cultural Site,BT,Haa,Uesu,Pajekha_Sangkiri,Pajekha
Lhakhang Karpo,Cultural Site,BT,Haa,Uesu,Betso_Doomchhog,Doomchhog
Lhakhang Nakpo,Cultural Site,BT,Haa,Uesu,Kipri_Tagchhu,Kipri
Haa Goenpa,Cultural Site,BT,Haa,Uesu,,
Goensakha Lhakhang,Cultural Site,BT,Haa,Uesu,Tshaphel_Tsiloongkha,Goensakha
Sangkiri Lhakhang,Cultural Site,BT,Haa,Uesu,Pajekha_Sangkiri,Sangkiri
Shelkar Drak,Cultural Site,BT,Haa,Uesu,Kipri_Tagchhu,Kipri
Wangchuk Lo Dzong,Cultural Site,BT,Haa,Uesu,Betso_Doomchhog,
Dorikha Lam Dorji,Cultural Site,BT,Haa,Sama,Dorikha_Langjogang,Dorikha
Shari Lhakhang,Cultural Site,BT,Haa,Sama,Shar-ri,Shar-ri
Chuzarkha Lhakhang,Cultural Site,BT,Haa,Sama,,
Dorikha Lhakhang,Cultural Site,BT,Haa,Sama,Dorikha_Langjogang,Dorikha
Pudunang Lhakhang,Cultural Site,BT,Haa,Sama,Pudunang,Pudunang
Shari Drolay Lhakhang,Cultural Site,BT,Haa,Sama,Shar-ri,Shar-ri
Balam Lhakhang,Cultural Site,BT,Haa,Sama,Balamnang,Balamnang
Anakha Tashi Choeling,Cultural Site,BT,Haa,Sombey,Anakha_Shepji,Anakha
Terbay Goenpa,Cultural Site,BT,Haa,,,
Sidra Goenpa Tashigang,Cultural Site,BT,Haa,,,Tashigang
Shama Jangchub Ling,Cultural Site,BT,Haa,,,Shama
Phuntsho Dargay Choeling,Cultural Site,BT,Haa,,,Mochhu
Chimi Lhakhang,Cultural Site,BT,Punakha,Bapisa,Sopsokha-Yuwa-Zhikha,Yuwakha
Gamakha Lhakhang,Cultural Site,BT,Punakha,Bapisa,Gamakha-Septokha,Gamkha
Tshokorna Lhakhang,Cultural Site,BT,Punakha,Bapisa,Tshokorna,Tshokorna
Sewla Lhakhang,Cultural Site,BT,Punakha,Chhubu,Jangwakha Sewla,Sewla
Ngyoedrupchu Lobdra,Cultural Site,BT,Punakha,Chhubu,Ngoedrupchu,Ngoedrupchu
Jiligang,Cultural Site,BT,Punakha,Chhubu,Bumteykha-Tempakha,Tempakha
Khenchendra,Cultural Site,BT,Punakha,Chhubu,Ngoedrupchu,Ngoedrupchu
Namgye Tse,Cultural Site,BT,Punakha,Chhubu,Jangwakha Sewla,Sewla
Tshogo Ngye Lhakhang,Cultural Site,BT,Punakha,Chhubu,Jangwakha Sewla,Sewla
Jangwakha Lhakhang,Cultural Site,BT,Punakha,Chhubu,Jangwakha Sewla,Jangwakha
Bumteykha Lhakhang,Cultural Site,BT,Punakha,Chhubu,Bumteykha-Tempakha,Bumteykha
Bali Lhakhang,Cultural Site,BT,Punakha,Chhubu,Bali,Bali
Khamsum Yueley Namgyel Chorten,Cultural Site,BT,Punakha,Chhubu,Yebesa,Yebesa
Sonagassa Drupthop Lhakhang,Cultural Site,BT,Punakha,Chhubu,Yebesa,Yebesa
Goendrap Lhakhang,Cultural Site,BT,Punakha,Chhubu,Yebesa,Punagom
Jimithang Lhakhang,Cultural Site,BT,Punakha,Dzoma,Jimithang,Jimithang
Lhundrup Choling Lhakhang,Cultural Site,BT,Punakha,Dzoma,Dzomisa Mendagang,Mendagang
Tshoda Lamai Nye,Cultural Site,BT,Punakha,Dzoma,Tana Eusa,Eusakha
Jasha Goenpa,Cultural Site,BT,Punakha,Dzoma,Khilikha Loongkha,Jasha Goenpa
Chhoetenningpo Lhakhang,Cultural Site,BT,Punakha,Kabjisa,Choetenningpo-Yusakha,Chhoetenningpo
Thudrup Lhakhang,Cultural Site,BT,Punakha,Kabjisa,Choetenningpo-Yusakha,Yusakha
Kinzang Yoesel Choling,Cultural Site,BT,Punakha,Kabjisa,Choetenningpo-Yusakha,Chhoetenningpo
Tongzhugna Lhakhang,Cultural Site,BT,Punakha,Kabjisa,Hyeloog-Tongzhuna,Tongzhuna
Sirigang Lhakhang,Cultural Site,BT,Punakha,Kabjisa,Sirigang-Wakhudamchi,Sirigang
wakhuna Lhakhang,Cultural Site,BT,Punakha,Kabjisa,Sirigang-Wakhudamchi,Wakhuna Damchi
Talo Dzong,Cultural Site,BT,Punakha,Talo,Talo,Janwanang
Nobgang Lhakhang,Cultural Site,BT,Punakha,Talo,Nobgang,
Laptsakha Lhakhang,Cultural Site,BT,Punakha,Talo,Laptsakha,
Dongkokha,Cultural Site,BT,Punakha,Talo,Nobgang,Dongkokha
Pangkarpo,Cultural Site,BT,Punakha,Talo,Talo,
Dompala Lhakhang,Cultural Site,BT,Punakha,Lingmukha,Dompala,Dompala
Goensho Keypailing,Cultural Site,BT,Punakha,Lingmukha,Dompala,Dompala
Lingbukha Lhakhang,Cultural Site,BT,Punakha,Lingmukha,Lingmukha,
Takcho Goenpa,Cultural Site,BT,Punakha,Lingmukha,Lingmukha,Lingmu Gom
Tasho Goenpa,Cultural Site,BT,Punakha,Lingmukha,Napchey,
Umtoekha Lhakhang,Cultural Site,BT,Punakha,Lingmukha,Umtoedkha,Umtoedkha
Nalanda Lhakhang,Cultural Site,BT,Punakha,Toepisa,Damkhey - Rinakha,
Drakaropo,Cultural Site,BT,Punakha,Toepisa,Bichekha-Yuel Hamo,
Yami Goenpa,Cultural Site,BT,Punakha,Toepisa,Bichekha-Yuel Hamo,
Thinleygang Lhakhang,Cultural Site,BT,Punakha,Toepisa,Lemjeykha-Thinleygang,
Menchuna Lhakhang,Cultural Site,BT,Punakha,Toepisa,Dochula-Menchuna,
Tashi Choling Lhakhang,Cultural Site,BT,Punakha,Toepisa,Dochula-Menchuna,
Lemjeykha Lhakhang,Cultural Site,BT,Punakha,Toepisa,Lemjeykha-Thinleygang,
Serto Lhakhang,Cultural Site,BT,Punakha,Toepisa,Damkhey - Rinakha,
Chandana Lhakhang,Cultural Site,BT,Punakha,Toepisa,Damkhey - Rinakha,
Mendrelgang Lhakhang,Cultural Site,BT,Punakha,Toepisa,Lemjeykha-Thinleygang,
Goemsa Lhakhang,Cultural Site,BT,Punakha,Toepisa,Lemjeykha-Thinleygang,
Jachung Karmo Anim Dratshang,Cultural Site,BT,Punakha,Guma,Bayminag-Phulingsum-wangwakha,Phulingsum
Gubu Goenpa Lhakhang,Cultural Site,BT,Punakha,Guma,Bayminag-Phulingsum-wangwakha,Phulingsum
LakhuLhakhang,Cultural Site,BT,Punakha,Guma,Lakhu,Lakhu
Do Jagar Lam Lhakhang,Cultural Site,BT,Punakha,Guma,Dochukha- Dzomlingthang-Ritsa,Dochukha
Yangchen Lhakhang,Cultural Site,BT,Punakha,Guma,Dochukha- Dzomlingthang-Ritsa,Dochukha
Waleygang Lhakhang,Cultural Site,BT,Punakha,Guma,Changyul-Lungsigang-Tashijong,Thara
Wolakha Lhakhang,Cultural Site,BT,Punakha,Guma,Guma -Wolakha,Wolakha
Sangchen Dorji Lundrup,Cultural Site,BT,Punakha,Guma,Guma -Wolakha,Wolakha
Khuruthang Lhakhang,Cultural Site,BT,Punakha,Guma,Guma -Wolakha,Khuru
Bazaguru Dungdrup Lhakhang,Cultural Site,BT,Punakha,Guma,Guma -Wolakha,Khuru
Lekshey Jungney Shedra,Cultural Site,BT,Punakha,Guma,Guma -Wolakha,
Phuchu Dumra Lobdra,Cultural Site,BT,Punakha,Guma,Guma -Wolakha,
Goen Tshephu,Cultural Site,BT,Punakha,Goenshari,Yorbu,
Nangsi Goenpa,Cultural Site,BT,Punakha,Goenshari,Draagchukha,
Zhelngosa Lhakhang,Cultural Site,BT,Punakha,Goenshari,,
Datong Goenpa Lhakhang,Cultural Site,BT,Punakha,Shengabjimi,Datong,
Nepa Goenpa,Cultural Site,BT,Punakha,Shengabjimi,Dongkokha,
Thugten Shedrupling Dratshang,Cultural Site,BT,Sarpang,Dekiling,Jigmeling,Dolongang(Gairegoan)
Ngoedruptse Dzong,Cultural Site,BT,Chhukha,Bjachho,,
Dokhachu Goenpa,Cultural Site,BT,Chhukha,Chapchha,,
Thatdrak,Cultural Site,BT,Chhukha,Chapchha,Lang Nyelsa,
Tshamdrag Goenpa,Cultural Site,BT,Chhukha,Chapchha,Tshamdrag,Tsamdrag
Pagga Goenpa,Cultural Site,BT,Chhukha,Chapchha,Pagga,
Shelma Goenpa,Cultural Site,BT,Chhukha,Chapchha,Gangkha_Shel-Yuel,Sheyuel
Shelmagangkha Lhakhang,Cultural Site,BT,Chhukha,Chapchha,Gangkha_Shel-Yuel,Sheyuel
Rimtakha Lhakhang,Cultural Site,BT,Chhukha,Chapchha,Dokharchhu_Rimtekha,Rimtekha
Langyelkha Lhakhang,Cultural Site,BT,Chhukha,Chapchha,Lang Nyelsa,
Buna Dargay Choeling Lhakhang,Cultural Site,BT,Chhukha,Chapchha,Bunakha,Bunakha
Dungkhor Lhakhang,Cultural Site,BT,Chhukha,Bjachho,Bjabchhog,Bjagcchog
Bjabchog Lhakhang,Cultural Site,BT,Chhukha,Bjachho,Bjabchhog,Bjagcchog
Mebisa Lhakhang,Cultural Site,BT,Chhukha,Bjachho,Mebisa,Mebisa
Chhukha Zangdopelri,Cultural Site,BT,Chhukha,Bjachho,Wangkha,Wangkha
Tsimakha Lhakhang,Cultural Site,BT,Chhukha,Bjachho,Tsimalakha_Tsimasham,
Wangkha Lhakhang,Cultural Site,BT,Chhukha,Bjachho,Wangkha,Wangkha
Dunggoenpa Lhakhang,Cultural Site,BT,Chhukha,Dungna,,
Geling Goenpa,Cultural Site,BT,Chhukha,Geling,,
Daapbur Goenpa,Cultural Site,BT,Chhukha,Geling,,
Kamji Lhakhang,Cultural Site,BT,Chhukha,Geling,,
Zhushidingkha Lhakhang,Cultural Site,BT,Chhukha,Samphelling,,
Pagsamkha Zangdopelri,Cultural Site,BT,Chhukha,Samphelling,,
Metakha Phunthsopelri Lhakhang,Cultural Site,BT,Chhukha,Metap,Uekha,Yuekha
Loggchina Lhkahang,Cultural Site,BT,Chhukha,Logchina,,
Dungbinee Lhakhang,Cultural Site,BT,Chhukha,Logchina,,
Chimuna Lhakhang,Cultural Site,BT,Chhukha,Logchina,,
Darla Tashi Choeling Lhakhang,Cultural Site,BT,Chhukha,Dala,,
Zhemgang Dechen Yangtse,Cultural Site,BT,Zhemgang,Trong,Zhemgang Thromde,Trong
Trong Lhakhang,Cultural Site,BT,Zhemgang,Trong,Zhemgang Thromde,Trong
Phungmithang Dratsang,Cultural Site,BT,Zhemgang,Shingkhar,Nyimshong_Thajong,Nyimshong
Kibulungtshen Lhakhang,Cultural Site,BT,Zhemgang,Trong,Dangkhar_Trong,Doongbi
