Template,Name,Date,Country,L1,L2,L3,L4
Detailed Damage Assessment,Structural Fire,11-Jul-2020,BT,Chhukha,Darla,Gamanang_Kalzang-ri,
Detailed Damage Assessment,Landslide,07-Jul-2020,BT,Chhukha,Bjachho,Tsimalakha_Tsimasham,Tsimasham
Detailed Damage Assessment,Structural Fire,31-Jul-2020,BT,Chhukha,Loggchina,Dzedokha,Dzedokha
Detailed Damage Assessment,Structural Fire,26-Oct-2020,BT,Chhukha,Samphelling,Khenpaithang_Sonamthang,Sonamthang
Detailed Damage Assessment,Tropical Storm,09-Dec-2020,BT,Yangtse,Ramjar,Khalapangthang_Tsang-Rong,Gonpa
Detailed Damage Assessment,Windstorm,25-Dec-2020,BT,Paro,Tsento,Nyechhu_Shar-ri,Nyechhu
Detailed Damage Assessment,Windstorm,25-Dec-2020,BT,Paro,Lamgong,Jagarthang,Sergang
Detailed Damage Assessment,Windstorm,25-Dec-2020,BT,Paro,Nagya,Bueltikha_Jagoen,Bueltikha
Detailed Damage Assessment,Windstorm,25-Dec-2020,BT,Paro,Doteng,Aa-tsho_Phunoob,Aa-tsho
Detailed Damage Assessment,Windstorm,25-Dec-2020,BT,Paro,Doteng,Joogar_Pachhu,
Detailed Damage Assessment,Forest Fire,17-Jan-2021,BT,Monggar,Ngatshang,Yadi_Yekhar,Nyamed
Detailed Damage Assessment,Forest Fire,,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Kashingtsawa
Detailed Damage Assessment,Forest Fire,,BT,Bumthang,Dzongkhag Thromde (Chamkhar),,
Detailed Damage Assessment,Structural Fire,06-Jan-2021,BT,Samdrup Jongkhar Thromde,Samdrup Gatshel,,
Detailed Damage Assessment,Windstorm,,BT,Trongsa,Drakteng,,
Detailed Damage Assessment,Earthquake,01-Oct-2020,BT,Trongsa,Nubi,Bjee-Semjee,Bjeepam
Detailed Damage Assessment,Structural Fire,18-Feb-2021,BT,Thimphu Thromde,,,
Detailed Damage Assessment,Disease Outbreak,06-Mar-2021,BT,Tsirang,Kilkhorthang,,
Detailed Damage Assessment,Structural Fire,01-Mar-2021,BT,Chhukha,Bongo,Bongo_Phasooma,Phasooma
Detailed Damage Assessment,Structural Fire,06-Mar-2021,BT,Chhukha,Doongna,Chhulakha_Mangdokha,Mangdokha
Detailed Damage Assessment,Structural Fire,21-Feb-2021,BT,Chhukha,Doongna,Babana_Papaling,Babana
Detailed Damage Assessment,Windstorm,06-Mar-2021,BT,Chhukha,Getana,Janamo_Phootsha,Phoosa
Detailed Damage Assessment,Structural Fire,02-Feb-2021,BT,Pemagatshel,Nanong,Raling,Barphu
Detailed Damage Assessment,Forest Fire,22-Mar-2021,BT,Pemagatshel,Shumar,Chongmashing Dagor,Dagor
Detailed Damage Assessment,Structural Fire,13-Feb-2021,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Jalikhar,Jalikhar
Detailed Damage Assessment,Forest Fire,13-Feb-2021,BT,Bumthang,Dzongkhag Thromde (Chamkhar),,
Detailed Damage Assessment,Structural Fire,30-Mar-2021,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Chamkhar,Chamkhar
Detailed Damage Assessment,Windstorm,05-Apr-2021,BT,Dagana,Tseza,Tsangleykha,Tsangleykha
Detailed Damage Assessment,Windstorm,,BT,Monggar,Balam,Balam,
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Balam,Balam,Lower Balam
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Drametse,Drametse_Shaphangma,Shaphangma
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Shermuhung,Soenakhar,
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Shermuhung,Serzhong,
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Shermuhung,Jabgang,
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Thangrong,Lingkhar,Lingkhar
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Kengkhar,Phosothong_singchongri,Shingchongri
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Ngatshang,Nyingala_Phanasi,Phanas
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Ngatshang,Thoomdari,Thumbari
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Ngatshang,Thoomdari,Tagor
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Na-Rang,Thrinangphu,Gutshaphu
Detailed Damage Assessment,Windstorm,04-Apr-2021,BT,Monggar,Kengkhar,Phosothong_singchongri,
Detailed Damage Assessment,Windstorm,05-Apr-2021,BT,Monggar,Kengkhar,Dogtang_Mooroong,Korshangri
Detailed Damage Assessment,Forest Fire,03-Apr-2021,BT,Monggar,Na-Rang,Dongshom,Phaphung
Detailed Damage Assessment,Earthquake,08-Apr-2021,BT,Bumthang,Dzongkhag Thromde (Chamkhar),Jalikhar,Gongkhar
Detailed Damage Assessment,Earthquake,08-Apr-2021,BT,Bumthang,Chhoekhor,Kharsa -Thangbi,Kharsa
Detailed Damage Assessment,Earthquake,08-Apr-2021,BT,Bumthang,Chhoekhor,Dawathang-Dorjibi-Kashingtsawa,Dawathang
Detailed Damage Assessment,Windstorm,05-Apr-2021,BT,Sarpang,Gelephu,Lekithang,Lekithang(Lakitar)
Detailed Damage Assessment,Windstorm,05-Apr-2021,BT,Sarpang,Gelephu,Dzomlingthang,Dzomlingthang(Mainator)
Detailed Damage Assessment,Windstorm,05-Apr-2021,BT,Sarpang,Gelephu,Dzomlingthang,Dzomlingthang(Mainator)
Detailed Damage Assessment,Windstorm,28-Mar-2021,BT,Punakha,Lingbukha,Gumkarmo,Tsikuna
Detailed Damage Assessment,Windstorm,10-Feb-2021,BT,Punakha,Goenshari,Goomgang,Ngyetshokha
Detailed Damage Assessment,Windstorm,26-Mar-2021,BT,Punakha,Bapisa,Sopsokha-Yuwa-Zhikha,Yuwakha
Detailed Damage Assessment,Windstorm,14-Apr-2021,BT,Monggar,Drametse,Zangkhar,
Detailed Damage Assessment,Windstorm,14-Apr-2021,BT,Monggar,Saling,Saling,
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Bauchhoeling_Panglen,Baucholing
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Bauchhoeling_Panglen,Raynangkhoi
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Changshing,Changshing Goenpa
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Changshing,Changshing Goenpa
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Bauchhoeling_Panglen,Baucholing
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Bauchhoeling_Panglen,Baucholing
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Changshing,Changshing Goenpa
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Thangrong,Changshing,Changshing Goenpa
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Shermuhung,Muhung,Muhung
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Shermuhung,Muhung,Muhung
Detailed Damage Assessment,Windstorm,23-Apr-2021,BT,Monggar,Chhaling,,
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Saling,Kalapang_Risa,Resa
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Drepoong,Zunglen,
Detailed Damage Assessment,Windstorm,22-Apr-2021,BT,Monggar,Drepoong,Drepoong,
Detailed Damage Assessment,Windstorm,23-Apr-2021,BT,Monggar,Thangrong,Atola,Tongkangla
Detailed Damage Assessment,Windstorm,,BT,Bumthang,Chumey,Zungngae,Yamthrag
Detailed Damage Assessment,Forest Fire,23-Apr-2021,BT,Monggar,Kengkhar,Dogtang_Mooroong,Romangla
Detailed Damage Assessment,Structural Fire,24-Apr-2021,BT,Monggar,Chaskhar,Kharnang_Kheshingra,
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Dagana,Laja,Thasa,Thasa A
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Dagana,Goshi,Baleygang,Middle Balaygang
Detailed Damage Assessment,Earthquake,,BT,Dagana,Khibesa,Thomgang,Thomgang
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Laja,Balung,Balung
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Laja,Thasa,Thasa A
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Tseza,Tsangleykha,Tsangleykha
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Dagana,Tseza,Tashigang,Tashigang
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Tseza,Peling,Tongsho
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Tseza,Peling,Peling
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Dagana,Drujegang,Budipang-pangna,Budipang
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Dagana,Khibesa,Akhochen,Akochen
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Dagana,Khibesa,Pogtog,Gumla
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Dagana,Khibesa,Pakser,Pakser
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Dagana,Khibesa,Thomgang,Thomgang
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Drujegang,Thangna,
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Drujegang,Ambithang-Pangserpo,
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Drujegang,Pangserpo,
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Dagana,Drujegang,Budipang-pangna,Budipang
Detailed Damage Assessment,Earthquake,29-Apr-2021,BT,Dagana,Drujegang,Pangna-patala,Patala
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Pemagatshel,Shumar,Bartsheri,Bartsheri
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Pemagatshel,Shumar,Bartsheri,Kherigonpa / Khoraypam
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Pemagatshel,Shumar,Nangkhor,Maan
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Pemagatshel,Shumar,Khotakpa Yalang,Denchi
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Pemagatshel,Shumar,Khotakpa Yalang,Khotakpa
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Pemagatshel,Shumar,Nangkhor,Shumar
Detailed Damage Assessment,Earthquake,28-Apr-2021,BT,Pemagatshel,Shumar,Goengpong Shali,Shali
Detailed Damage Assessment,Earthquake,10-May-2021,BT,Haa,Uesu,Tshaphel_Tsiloongkha,Tsiloongkha
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Monggar,Mongar,Phosorong,
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Monggar,Tsamang,Banjar,Banjair
Detailed Damage Assessment,Structural Fire,17-May-2021,BT,Monggar,Mongar,Phosorong,
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Monggar,Tsamang,Banjar,Banjair
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Monggar,Chhaling,Chaling,
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Monggar,Tsakaling,,
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Monggar,Jurmed,,
Detailed Damage Assessment,Windstorm,29-Apr-2021,BT,Monggar,Drepoong,Drepoong,
Detailed Damage Assessment,Structural Fire,03-Jun-2021,BT,Bumthang,Chumey,Gyaltsa,Choda
Detailed Damage Assessment,Heavy Rainfall,08-Jun-2021,BT,Pemagatshel,Khar,Khar_ Yagyur,Khar
Detailed Damage Assessment,Landslide,15-Jul-2021,BT,Punakha,Talo,Talo,Janwanang
Detailed Damage Assessment,Heavy Rainfall,28-Jul-2021,BT,Monggar,Mongar,,
