Organisation,KV:cap_oid,Acronym,Type,Country,Website,Twitter,Comments
Meteorological Service of New Zealand Limited,2.49.0.0.554.0,,Government,NZ,www.worldweather.org/046/m046.htm,,"Met - It is the Minister of Transport who, under the Meteorological Services Act 1990 (as amended in 1992), is responsible for ensuring the provision of meteorological warnings and forecasts for New Zealand and the collection of data to support these services. Furthermore, the Minister is required to designate an organization that shall provide the authorised warning service in New Zealand.  alerts.metservice.com/cap/rss"
Meteorological Services Singapore,2.49.0.0.702.0,,Government,SG,www.worldweather.org/081/c00234.htm,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Env,Transport,Infra,CBRNE,Other -  "
Météorologie de Guinée Bissau,2.49.0.0.624.0,,Government,GW,www.worldweather.org/064/c00346.htm,,"Met,Fire,Env - "
"MeteoSwiss, Bundesamt für Meteorologie und Klimatologie",2.49.0.0.756.0,,Government,CH,www.meteoswiss.admin.ch/,,Met - Federal Law of Meteorology.Federal Ordinance of Meteorology. Federal Alerting Ordinance
Ministère de la Sécurité publique du Québec,2.49.0.0.124.3,,Government,CA,,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Env,Transport,Infra,CBRNE,Other - The minister of public safety Quebec is responsible of civil protection for the province of Québec under the first paragraph of article 62 of the civil protection Act (Loi sur la sécurité civile L.R.Q c. S-2.3) The minister can, under paragraph 4 of article 67 of this Act, propose, coordinate or carry out activities or work designed to eliminate or reduce disaster risks, mitigate the consequences of a disaster and facilitate emergency response and recovery operations. rss.naad-adna.pelmorex.com/"
Ministère des Ressources en Eau,2.49.0.0.562.1,,Government,NE,,,Met - 
Ministere of the health of the Guinea-Bissau,2.49.0.0.624.4,,Government,GW,,, - 
Ministry of Civil Defence & Emergency Management,2.49.0.0.554.2,,Government,NZ,,,"Geo,Met,Safety,Infra, - New Zealand Civil Defence Emergency Act 2002 New Zealand National Civil Defence Emergency Management Plan 2015: MCDEM has national responsibility for (a) dissemination of national warnings, and (b) arrangements for identification, assessment and management of hazards and risks.  www.civildefence.govt.nz/"
Ministry of Defence Meteorological Department,2.49.0.0.760.0,,Government,SY,www.worldweather.org/099/m099.htm,,Met - 
Ministry of Health,2.49.0.0.554.3,,Government,NZ, ,,"Health,Env,CBRNE - The New Zealand Ministry of Health is designated as the lead agency at the national level for infectious human disease and radiation incidents under the National Civil Defence Emergency Management Plan Order (2015)."
"Ministry of Interior - Department of firefighters, public rescue and civil defense",2.49.0.0.380.2,,Government,IT,,,"Geo,Met,Safety,Rescue,Fire,Env,Transport,Infra,CBRNE,,, - Legislative Decree 30 luglio 1999, n.300 Riforma dell'organizzazione del Governo, a norma dell'articolo 11 della legge 15 marzo 1997, n.59"
Ministry of Transport,2.49.0.0.430.0,,Government,LR,,, - 
Ministry of Water and Irrigation,2.49.0.0.404.1,,Government,KE,,,Met - 
Ministry of Water Department,2.49.0.0.454.1,,Government,MW,,,Met - 
Ministry of Water Resources,2.49.0.0.156.1,,Government,CN,,,Met - 
Ministry of Water Resources and Meteorology,2.49.0.0.116.1,,Government,KH,,,Met - 
Mission Permanente de la Principauté de Monaco,2.49.0.0.492.0,,Government,MC,,,Geo - No act of parliament establishing the Meteorological Service as of year 1999.
Moldova State Hydrometeorological Service,,,Government,MD,www.worldweather.org/108/m108.htm,,"Met,Env,CBRNE,Other, - "
Morocco Direction de la Météorologie Nationale,,,Government,MA,www.worldweather.org/045/m045.htm,,Met - 
Mozambique Instituto Nacional de Meteorologia,2.49.0.0.508.0,,Government,MZ,www.worldweather.org/033/m033.htm,,"Geo,Met,Health,Env,CBRNE - "
Myanmar Department of Meteorology and Hydrology,,,Government,MM,www.dmh.gov.mm,,"Geo,Met, - "
Namibia Meteorological Service,2.49.0.0.516.0,,Government,NA,,, - 
"National Agency For Meteorology, Hydrology and Environment Monitoring",2.49.0.0.496.0,,Government,MN,www.worldweather.org/119/m119.htm,,"Geo,Met,Fire - "
National Centre for Aeronautical Meteorology and Climatology,2.49.0.0.380.3,,Government,IT,www.meteoam.it/,,"Met - Ordinary Law n.225, 24th february 1992, art. 6; DPR n.90, 15th march 2010, art.99"
National Disaster Warning Center,2.49.0.0.764.1,NDWC,Government,TH,,,"Geo,Safety, - According to authorization of ministerial regulation of divided the government, Ministry of Information and Communication Technology 2008 ,who supported the authorities of The Administration Act 2009 by codified as amended of The Prime Minister's Office Regulation with the National Disaster Warning System , National Disaster Warning Center (NDWC) is responsible for warning and disseminating natural disaster information and messages to the public and agencies concerned rapidly, accurately and thoroughly, so as to mitigate and evade the loss arising from disaster, moreover announcing the fact to stop the spreading of disaster rumors via media to terminate public’s fright, confusion or anxiety."
National Emergency Operation Centre,,,Government,CH,www.naz.ch,,"CBRNE - Federal NBCN Operations Ordinance, Federal Alerting Ordinance"
National Environment Agency,2.49.0.0.702.1,,Government,SG,,,Met - 
National Institute of Hydrology and Water Management,2.49.0.0.642.1,,Government,RO,,,Met - 
National Institute of Meteorology,2.49.0.0.788.0,,Government,TN,www.worldweather.org/123/c00243.htm,,"Geo,Met,Fire,Env, - "
National Institute of Meteorology and Hydrology,2.49.0.0.100.0,,Government,BG,www.worldweather.org/103/m103.htm,,Met - 
National Unit for Disaster Risk Management,,NGRD,Government,CO,http://portal.gestiondelriesgo.gov.co/,,
Nationale Alarmzentrale,,,Government,CH,www.naz.ch,,"CBRNE - Federal NBCN Operations Ordinance, Federal Alerting Ordinance"
Natural Resources Canada,2.49.0.0.124.1,,Government,CA,www.earthquakescanada.nrcan.gc.ca/index-eng.php,,"Geo,CBRNE,Other - Department of Natural Resources Act (1994) and supporting the Emergency Management Act (2007). In addition to the Forecasts URL below, the following site is also provided www.spaceweather.gc.ca/index-en.php."
New Caledonia Météo France,2.49.0.0.231.0,,Government,NC,www.worldweather.org/140/m140.htm,,"Met - Météo-France is the advisor of the Government of New Caledonia for the monitoring the atmosphere and the upper part of the ocean, for the safety of people and property. In this framework, it issues to authorities and general public of new Caledonia weather awareness maps, called “Vigilance with related safety recommendations elaborated by the authorities. “Vigilance covers three hazards: strong wind, heavy rainfall-thunderstorm and strong waves. There are four levels of Vigilance awareness: red in case of very severe weather, orange, yellow, and green if no particular vigilance is required. In connection with those levels of awareness, the New Caledonian authorities trigger alerts and take safety actions. More over Alerte cyclonique warnings are triggered in case of danger of tropical cyclone, those Alerte cyclonique are decided by the New Caledonian civil security authorities (in liaise with the meteorological advice of Meteo-France). Note: From 01/01/2014 the civil security of the government of New Calédonia is the authority in charge of all categories of hazards, the state authority staying in charge of security matters."
New South Wales Rural Fire Service,,,Government,GB,,,
Nicaragua Dirección General de Meteorología,2.49.0.0.84.0,,Government,NI,www.worldweather.org/182/c00284.htm,,"Geo,Met, - "
Niger Direction de la Météorologie Nationale,2.49.0.0.705.1,,Government,NE,www.worldweather.org/074/c00327.htm,,"Met,Env, - "
Nigerian Meteorological Agency,2.49.0.0.566.0,,Government,NG,www.worldweather.org/075/m075.htm,,"Geo,Met,Fire,Health,Env,CBRNE - Decree in force as of 2001 allots the meteorological service the power as the sole Organisation for developing national policies and guidelines on Meteorology as well as the sole coordinator of meteorological activities in Nigeria."
Nile Waters Department,2.49.0.0.729.1,,Government,SD,,,Met - 
Niue Meteorological Service,2.49.0.0.570.0,,Government,NU,,, - 
NOAA Earthquake Warning Center,,NOAA-Earthquake,Government,US,,,Geo - 
NOAA National Weather Service,,NOAA-NWS,Government,US,www.worldweather.org/093/m093.htm,,"Geo,Met,Fire,Health,Env,CBRNE - The National Weather Service Organic Act of 1890, currently codified as amended in section 313 of title 15 of the federal statutory code (called the United States Code) authorizes the National Weather Service to issue and distribute warnings of environmental hazards. The authority is summarized as: The National Weather Service (NWS) provides weather, hydrologic, and climate forecasts and warnings for the United States, its territories, adjacent waters and ocean areas, for the protection of life and property and the enhancement of the national economy. NWS data and products form a national information database and infrastructure which can be used by other governmental agencies, the private sector, the public, and the global community. In addition, the National Weather Service supports the Emergency Alert System and provides, in coordination with the Federal Emergency Management Agency, public dissemination of critical pre-event and post-event information of all hazards, including natural disasters and terrorist events. The National Weather Service all-hazards support authority emanates primarily from the National Response Framework as authorized by The Homeland Security Act of 2002, codified predominantly as amended in sections 101 to 557 of title 6 of the United States Code, and The Robert T. Stafford Disaster Relief and Emergency Assistance Act, codified as amended sections 5121 to 5206 of title 42 of the United States Code. https://alerts.weather.gov/cap/us.php?x=0"
Norwegian Meteorological Institute,2.49.0.0.578.0,,Government,NO,www.worldweather.org/008/m008.htm,,"Geo,Met,Fire,Env,Transport,CBRNE - Appointed by Governmental authorities to be the National Meteorological Service of Norway."
Norwegian Water Resources and Energy Directorate,2.49.0.0.578.1,,Government,NO,,,"Geo,Met,Infra - "
Pacific Tsunami Warning Center,,PTWC,Government,US,,,
Pakistan Meteorological Department,2.49.0.0.586.0,,Government,PK,www.worldweather.org/047/m047.htm,,"Geo,Met,Env - "
Papua New Guinea Meteorological Service,2.49.0.0.598.0,,Government,PG,www.worldweather.org/077/m077.htm,,Met - 
Permanent Mission of Somalia,2.49.0.0.12.0,,Government,SO,,, - 
Peru Servicio Nacional de Meteorologia e Hidrologia,2.49.0.0.706.0,,Government,PE,www.worldweather.org/029/m029.htm,,"Geo,Met, - "
Philippine Atmospheric Geophysical and Astronomical Services Administration,2.49.0.0.608.0,PAGASA,Government,PH,www.worldweather.org/021/m021.htm,,"Met - As a matter of policy, the agency provides typhoon alerts and warnings which is provided to Disaster Risk Reduction Offices and the public through media and web portals and related warning institution. publicalert.pagasa.dost.gov.ph/feeds/"
Philippine Institute of Volcanology and Seismology,2.49.0.0.608.1,PHIVOLCS,Government,PH,,,Geo - 
Presidency of Meteorology and Environment,2.49.0.0.807.0,,Government,SA,www.worldweather.org/079/m079.htm,,"Met,Health,Env,CBRNE, - "
Qatar Civil Aviation Authority,2.49.0.0.70.1,,Government,QA,www.worldweather.org/116/c00221.htm,,"Geo,Met, - "
Republic Hydrometeorological Organization,2.49.0.0.688.0,,Government,MK,,,"Geo,Met, - "
Republic Hydrometeorological Service of Republic of Srpska,2.49.0.0.528.2,,Government,BA,www.rhmzrs.com/,,"Geo,Met,Env - Duties and responsibilities of RHMZ are defined by the Law of hydrological and meteorological activity, Official Gazette of the Republic of Srpska, no. 20/2000, the Law of seismological activity, Official Gazette of the Republic of Srpska, no. 20/1997, the Law of the air protection, Official Gazette of the Republic of Srpska, no. 124/2011. fhmzbih.gov.ba/latinica/xml/MeteoAlarmView/MAView_danas.php"
Republic Hydrometeorological Service of Serbia,,,Government,RS,www.worldweather.org/101/m101.htm,,Met - 
Rijkswaterstaat,,,Government,NL,www.waterberichtgeving.rws.nl/,,Met - Flooding warnings and Water quality and Water quantity (droughts) warnings
Romania National Meteorological Administration,2.49.0.0.70.1,,Government,RO,www.worldweather.org/183/c00200.htm,,"Geo,Met, - The National Meteorological Agency (NMA) is the single authoritative source for meteorological information disseminated to the governmental policy makers and emergency management bodies (under law 139/2000 and law 216/2004). Additionally NMA is the single authorized source for meteorological information disseminated by the media."
Royal Netherlands Meteorological Institute,2.49.0.0.528.0,,Government,NL,www.knmi.nl/nederland-nu/weer/waarschuwingen/,,"Geo,Met, - By law this Met Service is obliged to issue the official forecasts and warnings. This Met service also holds the national responsibility for all national seismic hazards (monitoring and risk assessments)"
Russian Federal Service for Hydrometeorology and Environmental Monitoring,2.49.0.0.643.0,,Government,RU,www.worldweather.org/107/m107.htm,,"Geo,Met,Fire,Health,Env,CBRNE - "
Rwanda Meteorological Service,2.49.0.0.646.0,,Government,RW,www.worldweather.org/127/c00254.htm,,"Geo,Met,Health,Env,CBRNE - "
Sahana Software Foundation,,Sahana,NGO,US,www.sahanafoundation.org/,,Testing and other requirements
Saint Lucia Meteorological Services,,,Government,LC,www.worldweather.org/164/m164.htm,,Met - 
Samoa Meteorology Division,2.49.0.0.882.0,,Government,WS,www.worldweather.org/184/c01230.htm,,"Geo,Met,Fire - "
Securite civile de la Nouvelle Caledonie,2.49.0.0.540.1,,Government,NC,,,"Geo,Met,Safety,Rescue,Fire,Health,Env,Transport,Infra,CBRNE,Other, - The Civil Security services of the Government of New Caledonia has the responsibility to prevent and manage natural and industrial hazards at sea, land or air - including transports activities."
Service Central d'Hydrométéorologie et d'Appui à la Prévision des Inondations,2.49.0.0.250.1,,Government,FR,,, - 
Service de la Météorologie,2.49.0.0.262.0,,Government,DJ,www.worldweather.org/126/c00250.htm,,Met - 
Service Météorologique,2.49.0.0.422.0,,Government,LB,www.worldweather.org/112/c00214.htm,,Met - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings
Service Météorologique National,2.49.0.0.204.0,,Government,BJ,www.worldweather.org/170/c00259.htm,,Met - 
Servicio de Hidrografía Naval - Ministerio de Defensa,2.49.0.0.32.2,,Government,AR,www.hidro.gov.ar,,"Met,Safety, - "
Servicio de Meteorologia de la Aviacion,2.49.0.0.862.0,,Government,VE,www.worldweather.org/082/m082.htm,,"Geo,Met, - "
Servicio Meteorologico Nacional de Mexico,2.49.0.0.418.0,CONAGUA,Government,MX,www.smn.cna.gob.mx,,Met - National Meteorological Service  https://correo1.conagua.gob.mx/feedsmn/feedalert.aspx
Servicio Nacional de Estudios Territoriales,2.49.0.0.222.0,,Government,SV,www.worldweather.org/174/m174.htm,,"Geo,Met,Fire - "
Seychelles National Meteorological Services,,,Government,SC,www.meteo.gov.sc,,"Geo,Met,Fire - An Act of Parliament enacted establishing the Meteorological Service as of year 2000."
Sierra Leone Meteorological Department,,,Government,SL,www.worldweather.org/125/c00246.htm,,Met - 
Slovak Hydrometeorological Institute,2.49.0.0.703.0,,Government,SK,www.shmu.sk,,"Met,Fire,Health,Env,CBRNE - Regulation no. 201/2009 of the Laws: Act on state hydrological and state meteorological service"
Slovenian Environment Agency,2.49.0.0.705.0,ARSO,Government,SI,www.arso.gov.si,,"Geo,Met,Env - Environment Protection Act (SI-Slovenia: 5/7-2004) -  Zakon o varstvu okolja (ZVO-1), Ur.l. RS, št. 41/2004 Meteorological Activities Act (SI-Slovenia: 12/5-2006) - Zakon o meteorološki dejavnosti (ZMetD), Ur.l. RS, št. 49/2006"
Slovenian National Hydrological Service,2.49.0.0.705.1,,Government,SI,www.hydro.si,,"Met - Environment Protection Act (SI-Slovenia: 5/7-2004) -  Zakon o varstvu okolja (ZVO-1), Ur.l. RS, št. 41/2004 Meteorological Activities Act (SI-Slovenia: 12/5-2006) - Zakon o meteorološki dejavnosti (ZMetD), Ur.l. RS, št. 49/2006  (ARSO/hydro.si - Slovenian Environment Agency/Hydrology and State of the Environment Office)"
Slovenian National Meteorological Service,2.49.0.0.705.2,,Government,SI,www.meteo.si,,"Met - Meteorological Activities Act (SI-Slovenia: 12/5-2006) - Zakon o meteorološki dejavnosti (ZMetD), Ur.l. RS, št. 49/2006 (ARSO/meteo.si - Slovenian Environment Agency/Meteorological Office)"
Slovenian National Seismological Service,2.49.0.0.705.3,,Government,SI,www.potresi.si/,,"Geo - Environment Protection Act (SI-Slovenia: 5/7-2004) -  Zakon o varstvu okolja (ZVO-1), Ur.l. RS, št. 41/2004  (ARSO - Slovenian Environment Agency/Seismology and Geology Office)"
Solomon Islands Meteorological Service,2.49.0.0.90.0,,Government,SB,www.worldweather.org/035/m035.htm,,Met - 
South African Weather Service,2.49.0.0.710.0,,Government,ZA,www.worldweather.org/083/m083.htm,,"Met,Fire, - In Act No. 8 of 200, under functions of the Weather service, 'Only the Weather Service may issue severe weather-related warnings over South Africa in order to ensure that there is single authoritative voice in this regard'."
South Sudan Weather Service,2.49.0.0.728.0,,Government,SS,,, - 
Sri Lanka Department of Meteorology,,,Government,LK,www.worldweather.org/084/m084.htm,,"Geo,Met, - "
State Hydrometeorological Administration,2.49.0.0.408.0,,Government,KP,www.worldweather.org/120/c00230.htm,,Met - 
Sudan Meteorological Authority,2.49.0.0.804.0,,Government,SD,www.worldweather.org/085/c00249.htm,,"Met,Env, - "
Suriname Meteorological Service,2.49.0.0.729.0,,Government,SR,,, - 
Suva Water Supplies,2.49.0.0.242.1,,Government,FI,www.worldweather.org/061/m061.htm,,"Geo,Met, - "
Swaziland Meteorological Services,2.49.0.0.748.0,,Government,SZ,www.worldweather.org/166/m166.htm,,"Met,Safety,Fire - "
Swedish Meteorological and Hydrological Institute,2.49.0.0.752.0,,Government,SE,www.worldweather.org/096/m096.htm,,"Met,Fire, - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings"
Swiss Seismological Service,2.49.0.0.756.2,,Government,CH,www.seismo.ethz.ch/,,"Geo – Federal Alerting Ordinance , Schweizerischer Erdbebendienst"
Taiwan National Center for Disaster Reduction,,,Government,TW,,,
Tanzania Meteorological Agency,2.49.0.0.834.0,,Government,TZ,www.worldweather.org/049/m049.htm,,"Geo,Met, - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings but another Act of parliament was being debated as of 1997, so the situation may have evolved tma.meteo.go.tz/cap/en/alerts/rss.xml"
Thai Meteorological Department,2.49.0.0.764.0,,Government,TH,www.worldweather.org/089/m089.htm,,"Geo,Met, - No act of parliament establishing the Meteorological Service as of year 1999."
The epedimologique Health Service of Guinea-Bissau,2.49.0.0.624.3,,Government,GW,,, - Ministere of Health of Guinea-Bissau
Togo Direction de la Météorologie Nationale,,,Government,TG,www.worldweather.org/091/c00260.htm,,Met - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings.
Tonga Meteorological Service,2.49.0.0.776.0,,Government,TO,,,"Geo,Met, - "
Trinidad and Tobago Meteorological Service,,,Government,TT,www.worldweather.org/027/m027.htm,,"Geo,Met, - No act of parliament establishing the Meteorological Service as of year 1999."
Turkish State Meteorological Service,2.49.0.0.792.0,,Government,TR,www.worldweather.org/014/m014.htm,,"Geo,Met,Fire - No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings."
Tuvalu Met Service,2.49.0.0.798.0,,Government,TV,,, - 
Uganda Department of Meteorology,,,Government,UG,www.worldweather.org/168/m168.htm,,"Geo,Met, - "
UK Met Office,,,Government,GB,www.metoffice.gov.uk/,,"Geo,Met,Safety,Security,Fire,Health,Env,Transport,Infra,CBRN,, -  "
Ukraine State Hydrometeorological Service,,,Government,UA,www.worldweather.org/092/c00207.htm,,"Geo,Met,Health,Env,CBRNE - "
United Arab Emirates Meteorological Department,,,Government,AE,www.worldweather.org/117/m117.htm,,"Geo,Met,Safety,Security,Rescue,Fire,Health,Env,Transport,Infra,Other, - "
United States Geological Survey,2.49.0.0.840.2,,Government,US, ,,Geo - earthquake.usgs.gov/earthquakes/feed/v1.0/summary/4.5_hour.atom
Uruguay Direccion Nacional de Meteorologia,,,Government,UY,www.worldweather.org/094/m094.htm,,Met - 
Uzhydromet,2.49.0.0.860.0,,Government,UZ,www.worldweather.org/032/m032.htm,,Met - Uzbekistan: Centre of Hydrometeorological Service
Vanuatu Meteorological Services,2.49.0.0.548.0,,Government,VU,www.meteo.gov.vu,,"Geo,Met, - "
Viet Nam Hydrometeorological Service,2.49.0.0.704.0,,Government,VN,www.worldweather.org/040/m040.htm,,Met - 
Wageningen University and Research Centre,2.49.0.0.528.1,,Government,NL,www.worldweather.org/037/m037.htm,,Met - 
West Coast and Alaska Tsunami Warning Center,2.49.0.0.705.3,WCATWC,Government,US, ,,Geo – wcatwc.arh.noaa.gov/events/xml/PAAQAtom.xml National Oceanic and Atmospheric Administration (NOAA) West Coast and Alaska Tsunami Warning Center
WSL Institute for Snow and Avalanche Research (SLF),2.49.0.0.756.3,SLF,Government,CH,www.slf.ch/,,"Met - Federal Ordinance on the Research Institutes in the ETH Domain. Federal Alerting Ordinance (, WSL-Institut für Schnee- und Lawinenforschung SLF)"
Yemen Meteorological Service,2.49.0.0.887.0,,Government,YE,,,"Geo,Met, - "
Zambia Meteorological Department,2.49.0.0.894.0,,Government,ZM,www.worldweather.org/130/m130.htm,,"Met - As of 2004, The Meteorological Service had a draft bill which included a clause that the Service is the only authority mandated to issue weather-related forecasts and warnings over Zambia."
Zimbabwe Meteorological Services Department,2.49.0.0.716.0,,Government,ZW,www.worldweather.org/040/m040.htm,,Met - A draft bill of 1998 allows for authorised private companies to undertake meteorological activities including weather forecast dissemination.
