"L1","Demographic","Unit","Date","Value","Country","Source","Source URL"
"Lelouma","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",33.46,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koubia","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",29.3,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Fria","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",56.21,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Gaoual","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",21.54,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Koundara","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",20.48,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dabola","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",24.18,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dinguiraye","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",21.93,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kissidougou","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",32.08,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Faranah Prefectures","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",14.13,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Conakry","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",3441.04,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boke Prefectures","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",40.91,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Boffa","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",38.4,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Guinee Forestiere","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",54.47,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Haute Guinee","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",19.9,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Moyenne Guinee","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",37.62,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Basse Guinee","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",46.64,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kankan Prefectures","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",18.47,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kerouane","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",35.58,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kouroussa","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",13.66,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Mandiana","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",19.14,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Siguiri","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",22.43,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Kindia Prefectures","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",46.76,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Coyah","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",278.81,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Dubreka","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",0,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Forecariah","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",84.79,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Telimele","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",27.62,"GN","Open Data for Africa","http://opendataforafrica.org/"
"Labe Prefectures","Population density (hbts/km2) - Total","hbts/km2","1/1/2009 12:00:00 AM",138.92,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Which: 0 year - Female","Persons","1/1/2009 12:00:00 AM",192649,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Which: 0 year - Male","Persons","1/1/2009 12:00:00 AM",198295,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Which: 0 year - Total","Persons","1/1/2009 12:00:00 AM",390944,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Which: 1 year - Female","Persons","1/1/2009 12:00:00 AM",176031,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Which: 1 year - Male","Persons","1/1/2009 12:00:00 AM",181709,"GN","Open Data for Africa","http://opendataforafrica.org/"
,"Which: 1 year - Total","Persons","1/1/2009 12:00:00 AM",357740,"GN","Open Data for Africa","http://opendataforafrica.org/"
