OID,Organisation,Country,Feed URL,Forecast URL,Authorization
2.49.0.0.616.0,Institute of Meteorology and Water Management,PL,,http://www.worldweather.org/009/m009.htm,
2.49.0.0.620.0,"Instituto Português do Mar e da Atmosfera, I.P.",PT,,http://www.worldweather.org/003/m003.htm,
2.49.0.0.634.0,Civil Aviation Authority,QA,,http://www.worldweather.org/116/c00221.htm,
2.49.0.0.642.0,National Meteorological Administration,RO,,http://www.worldweather.org/183/c00200.htm,The National Meteorological Agency (NMA) is the single authoritative source for meteorological information disseminated to the governmental policy makers and emergency management bodies (under law 139/2000 and law 216/2004). Additionally NMA is the single authorized source for meteorological information disseminated by the media.
2.49.0.0.642.1,National Institute of Hydrology and Water Management,RO,,,
2.49.0.0.643.0,Russian Federal Service for Hydrometeorology and Environmental Monitoring,RU,,http://www.worldweather.org/107/m107.htm,
2.49.0.0.646.0,Rwanda Meteorological Service,RW,,http://www.worldweather.org/127/c00254.htm,
2.49.0.0.662.0,Meteorological Services,LC,,http://www.worldweather.org/164/m164.htm,
2.49.0.0.882.0,Samoa Meteorology Division,WS,,http://www.worldweather.org/184/c01230.htm,
2.49.0.0.678.0,Institut National de Météorologie,ST,,,
2.49.0.0.682.0,Presidency of Meteorology and Environment,SA,,http://www.worldweather.org/079/m079.htm,
2.49.0.0.686.0,Direction de la Meteorologie Nationale,SN,,http://www.worldweather.org/048/c00244.htm,
2.49.0.0.686.1,Direction de l'Hydraulique Rurale et du Réseau Hydrographique National,SN,,,
2.49.0.0.688.0,Republic Hydrometeorological Service of Serbia,RS,,http://www.worldweather.org/101/m101.htm,
2.49.0.0.690.0,National Meteorological Services,SC,,http://www.meteo.gov.sc,An Act of Parliament enacted establishing the Meteorological Service as of year 2000.
2.49.0.0.694.0,Meteorological Department,SL,,http://www.worldweather.org/125/c00246.htm,
2.49.0.0.702.0,Meteorological Services Singapore,SG,,http://www.worldweather.org/081/c00234.htm,
2.49.0.0.702.1,National Environment Agency,SG,,,
2.49.0.0.703.0,Slovak Hydrometeorological Institute,SK,,www.shmu.sk,Regulation no. 201/2009 of the Laws: Act on state hydrological and state meteorological service
2.49.0.0.705.0,Slovenian Environment Agency - ARSO,SI,,http://www.arso.gov.si,"Environment Protection Act (SI-Slovenia: 5/7-2004) - """" Zakon o varstvu okolja (ZVO-1), Ur.l. RS, Å¡t. 41/2004"""" Meteorological Activities Act (SI-Slovenia: 12/5-2006) - """"Zakon o meteoroloÅ¡ki dejavnosti (ZMetD), Ur.l. RS, Å¡t. 49/2006"""""
2.49.0.0.705.1,National Meteorological Service (ARSO/meteo.si - Slovenian Environment Agency/Meteorological Office),SI,,http://www.meteo.si,"Meteorological Activities Act (SI-Slovenia: 12/5-2006) - """"Zakon o meteoroloÅ¡ki dejavnosti (ZMetD), Ur.l. RS, Å¡t. 49/2006"""""
2.49.0.0.705.10,Civil Protection and Disaster Relief Administration of the Republic of Slovenia - URSZR,SI,,http://www.sos112.si/,"Regulation on the Organisation and Operation of the Monitoring, Notification and Alarming System (Official Gazette of the Republic of Slovenia, 45/97)C"
2.49.0.0.705.2,National Hydrological Service (ARSO/hydro.si - Slovenian Environment Agency/Hydrology and State of the Environment Office),SI,,http://www.hydro.si,"Environment Protection Act (SI-Slovenia: 5/7-2004) - """" Zakon o varstvu okolja (ZVO-1), Ur.l. RS, Å¡t. 41/2004"""" Meteorological Activities Act (SI-Slovenia: 12/5-2006) - """"Zakon o meteoroloÅ¡ki dejavnosti (ZMetD), Ur.l. RS, Å¡t. 49/2006"""""
2.49.0.0.705.3,National Seismological Service (ARSO - Slovenian Environment Agency/Seismology and Geology Office),SI,,http://www.potresi.si/,"Environment Protection Act (SI-Slovenia: 5/7-2004) - """" Zakon o varstvu okolja (ZVO-1), Ur.l. RS, Å¡t. 41/2004"""""
2.49.0.0.90.0,Solomon Islands Meteorological Service,SB,,http://www.worldweather.org/035/m035.htm,
2.49.0.0.706.0,Permanent Mission of Somalia,SO,,,
2.49.0.0.710.0,South African Weather Service,ZA,,http://www.worldweather.org/083/m083.htm,"In Act No. 8 of 200, under functions of the Weather service, 'Only the Weather Service may issue severe weather-related warnings over South Africa in order to ensure that there is single authoritative voice in this regard'."
2.49.0.0.710.1,Department of Water Affairs and Forestry,ZA,,,
2.49.0.0.728.0,South Sudan Weather Service,SS,,,
2.49.0.0.724.0,Agencia Estatal de Meteorología,ES,,http://worldweather.wmo.int/083/m083.htm,"The Statute of the State Meteorological Agency of Spain (AEMET) provides a detailed description of the functions and duties to be performed. Specifically, it establishes that AEMET is the organisation responsible for ""the development, provision and dissemination of weather information and forecasts of general interest to citizens throughout the country, and issuing warnings and forecasts of weather phenomena that may affect the safety of persons and properties."""
2.49.0.0.144.0,Department of Meteorology,LK,,http://www.worldweather.org/084/m084.htm,
2.49.0.0.144.1,"Hydrology Division, Department of Irrigation",LK,,,
2.49.0.0.729.0,Sudan Meteorological Authority,SD,,http://www.worldweather.org/085/c00249.htm,
2.49.0.0.729.1,Nile Waters Department,SD,,,
2.49.0.0.740.0,Meteorological Service,SR,,,
2.49.0.0.748.0,Swaziland Meteorological Services,SZ,,http://www.worldweather.org/166/m166.htm,
2.49.0.0.752.0,Swedish Meteorological and Hydrological Institute,SE,,http://www.worldweather.org/096/m096.htm,No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings
2.49.0.0.756.0,"MeteoSwiss, Bundesamt für Meteorologie und Klimatologie",CH,,http://www.meteoswiss.admin.ch/,Federal Law of Meteorology.Federal Ordinance of Meteorology. Federal Alerting Ordinance
2.49.0.0.756.1,"Federal Office for the Environment, Bundesamt für Umwelt",CH,,http://www.bafu.admin.ch/,Federal Alerting Ordinance
2.49.0.0.756.2,"Swiss Seismological Service, Schweizerischer Erdbebendienst",CH,,http://www.seismo.ethz.ch/,ederal Alerting Ordinance
2.49.0.0.756.3,"WSL Institute for Snow and Avalanche Research SLF, WSL-Institut für Schnee- und Lawinenforschung SLF",CH,,http://www.slf.ch/,Federal Ordinance on the Research Institutes in the ETH Domain. Federal Alerting Ordinance
2.49.0.0.756.4,"Federal Office for Civil Protection,National Emergency Operation Centre,Nationale Alarmzentrale,Bundesamt für Bevölkerungsschutz",CH,,https://www.naz.ch,"Federal NBCN Operations Ordinance, Federal Alerting Ordinance"
2.49.0.0.760.0,Ministry of Defence Meteorological Department,SY,,http://www.worldweather.org/099/m099.htm,
2.49.0.0.762.0,Main Administration of Hydrometeorology and Monitoring of the Environment,TJ,,http://www.worldweather.org/110/m110.htm,
2.49.0.0.834.0,Tanzania Meteorological Agency,TZ,http://tma.meteo.go.tz/cap/en/alerts/rss.xml,http://www.worldweather.org/049/m049.htm,"No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings but another Act of parliament was being debated as of 1997, so the situation may have evolved"
2.49.0.0.764.0,Thai Meteorological Department,TH,,http://www.worldweather.org/089/m089.htm,No act of parliament establishing the Meteorological Service as of year 1999.
2.49.0.0.764.1,National Disaster Warning Center (NDWC),TH,,,"According to authorization of ministerial regulation of divided the government, Ministry of Information and Communication Technology 2008 ,who supported the authorities of The Administration Act 2009 by codified as amended of The Prime Minister's Office Regulation with the National Disaster Warning System , National Disaster Warning Center (NDWC) is responsible for warning and disseminating natural disaster information and messages to the public and agencies concerned rapidly, accurately and thoroughly, so as to mitigate and evade the loss arising from disaster, moreover announcing the fact to stop the spreading of disaster rumors via media to terminate publicâ€™s fright, confusion or anxiety."
2.49.0.0.626.0,Dirrecão Nacional Meteorologia e Geofisica,TL,,,
2.49.0.0.768.0,Direction de la Météorologie Nationale,TG,,http://www.worldweather.org/091/c00260.htm,No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings.
2.49.0.0.768.249007680,Direction Générale de la Météorologie Nationale,TG,,,dgmn
2.49.0.0.776.0,Tonga Meteorological Service,TO,,,
2.49.0.0.780.0,Meteorological Service,TT,,http://www.worldweather.org/027/m027.htm,No act of parliament establishing the Meteorological Service as of year 1999.
2.49.0.0.788.0,National Institute of Meteorology,TN,,http://www.worldweather.org/123/c00243.htm,
2.49.0.0.788.1,Direction Nationale de la Gestion des Ressources en Eau,TN,,,
2.49.0.0.792.0,Turkish State Meteorological Service,TR,,http://www.worldweather.org/014/m014.htm,No express provision for exclusive rights to the Met Service to issue forecasts and/or warnings.
2.49.0.0.795.0,Administration of Hydrometeorology,TM,,http://www.worldweather.org/111/c00212.htm,
2.49.0.0.796.0,Department of Disaster Management and Emergencies,TC,,,Geo Met Fire Health Env CBRNE
2.49.0.0.798.0,Tuvalu Met Service,TV,,,
2.49.0.0.800.0,Department of Meteorology,UG,,http://www.worldweather.org/168/m168.htm,
2.49.0.0.800.1,Directorate for Water Development,UG,,,
2.49.0.0.804.0,State Hydrometeorological Service,UA,,http://www.worldweather.org/092/c00207.htm,
2.49.0.0.784.0,Meteorological Department,AE,,http://www.worldweather.org/117/m117.htm,
2.49.0.0.826.0,Met Office,GB,,http://www.metoffice.gov.uk/,
2.49.0.0.826.1,Centre for Ecology and Hydrology,GB,,,
2.49.0.0.826.2,Caribbean Meteorological Organization,GB,,,
2.49.0.0.826.3,Bermuda Weather Service,GB,,http://www.weather.bm/,
2.49.0.0.840.0,"National Oceanic and Atmospheric Administration (NOAA), National Weather Service",US,https://alerts.weather.gov/cap/us.php?x=0,http://www.worldweather.org/093/m093.htm,"The National Weather Service Organic Act of 1890, currently codified as amended in section 313 of title 15 of the federal statutory code (called the United States Code) authorizes the National Weather Service to issue and distribute warnings of environmental hazards. The authority is summarized as: The National Weather Service (NWS) provides weather, hydrologic, and climate forecasts and warnings for the United States, its territories, adjacent waters and ocean areas, for the protection of life and property and the enhancement of the national economy. NWS data and products form a national information database and infrastructure which can be used by other governmental agencies, the private sector, the public, and the global community. In addition, the National Weather Service supports the Emergency Alert System and provides, in coordination with the Federal Emergency Management Agency, public dissemination of critical pre-event and post-event information of all hazards, including natural disasters and terrorist events. The National Weather Service all-hazards support authority emanates primarily from the National Response Framework as authorized by The Homeland Security Act of 2002, codified predominantly as amended in sections 101 to 557 of title 6 of the United States Code, and The Robert T. Stafford Disaster Relief and Emergency Assistance Act, codified as amended sections 5121 to 5206 of title 42 of the United States Code."
2.49.0.0.840.1,"National Oceanic and Atmospheric Administration (NOAA), National Tsunami Warning Center",US,http://wcatwc.arh.noaa.gov/events/xml/PAAQAtom.xml,,
2.49.0.0.840.2,"United States Geological Survey, Earthquakes",US,http://earthquake.usgs.gov/earthquakes/feed/v1.0/summary/4.5_hour.atom,,
2.49.0.0.840.3,"Environmental Protection Agency, Air Quality Alerts",US,http://feeds.enviroflash.info/cap/aggregate.xml,,
2.49.0.0.840.4,"Federal Emergency Management Agency, Integrated Public Alert and Warning System",US,,,
2.49.0.0.858.0,Direccion Nacional de Meteorologia,UY,,http://www.worldweather.org/094/m094.htm,
2.49.0.0.860.0,Uzhydromet,UZ,,http://www.worldweather.org/032/m032.htm,
2.49.0.0.548.0,Vanuatu Meteorological Services,VU,,http://www.meteo.gov.vu,
2.49.0.0.862.0,Servicio de Meteorologia de la Aviacion,VE,,http://www.worldweather.org/082/m082.htm,
2.49.0.0.862.1,Dirección de Meteorología e Hidrología - Ministerio del Ambiente,VE,,http://www.worldweather.org/135/m135.htm,
2.49.0.0.704.0,Hydrometeorological Service,VN,,http://www.worldweather.org/040/m040.htm,
2.49.0.0.92.0,Department of Disaster Management,VG,,,
2.49.0.0.887.0,Yemen Meteorological Service,YE,,,
2.49.0.0.894.0,Zambia Meteorological Department,ZM,,http://www.worldweather.org/130/m130.htm,"As of 2004, The Meteorological Service had a draft bill which included a clause that the Service is the only authority mandated to issue weather-related forecasts and warnings over Zambia."
2.49.0.0.716.0,Zimbabwe Meteorological Services Department,ZW,,http://www.worldweather.org/040/m040.htm,A draft bill of 1998 allows for authorised private companies to undertake meteorological activities including weather forecast dissemination.
