Lon,Lat,Name
28.6978219,41.0582956,"N 41° 03' 28""	E 28° 41' 51""",
29.2625,41.13,"N 41° 07' 48""	E 29° 15' 45""",
29.1005555556,41.1263888889,"N 41° 07' 35""	E 29° 06' 02""",
28.9780555556,41.0391666667,"N 41° 02' 21""	E 28° 58' 41""",
29.0366666667,41.115,"N 41° 06'  54""	E 29° 02' 12""",
29.0005555556,41.0541666667,"N 41° 03' 15""	E 29° 00' 02""",
29.0361217,41.0676347,Kolej Sk,
29.0405555556,41.0852777778,"N 41° 05' 07""	E 29° 02' 26""",
29.0338888889,41.0455555556,"N 41° 02' 44""	E 29° 02' 02""",
29.0075,41.0427777778,"N 41° 02' 34""	E 29° 00' 27""",
28.895,41.0777777778,"N 41° 04' 40""	E 28° 53' 42""",
28.8991666667,41.0758333333,"N 41° 04' 33""	E 28° 53' 57""",
28.8805555556,41.08,"N 41° 04' 48""	E 28° 52' 50""",
28.9083333333,41.0608333333,"N 41° 03' 39""	E 28° 54' 30""",
28.9052777778,41.0380555556,"N 41° 02' 17""	E 28° 54' 19""",
28.8980555556,41.0472222222,"N 41° 02' 50""	E 28° 53' 53""",
28.8863888889,41.0708333333,"N 41° 04' 15""	E 28° 53' 11""",
28.9066666667,41.0869444444,"N 41° 05' 13""	E 28° 54' 24""",
28.8930555556,41.0830555556,"N 41° 04' 59""	E 28° 53' 35""",
28.9005555556,41.0525,"N 41° 03' 09""	E 28° 54' 02""",
28.8086111111,40.9819444444,"N 40° 58' 55""	E 28° 48' 31""",
28.7905555556,40.9744444444,"N 40° 58' 28""	E 28° 47' 26""",
28.87,40.9836111111,"N 40° 59' 01""	E 28° 52' 12""",
28.8752777778,40.9708333333,"N 40° 58' 15""	E 28° 52' 31""",
28.8,40.9755555556,"N 40° 58' 32""	E 28° 48' 00""",
28.7941666667,40.9758333333,"N 40° 58' 33""	E 28° 47' 39""",
28.8352777778,40.9797222222,"N 40° 58' 47""	E 28° 50' 07""",
28.8541666667,41.0138888889,"N 41° 00' 50""	E 28° 51' 15""",
28.8322222222,40.9963888889,"N 40° 59' 47""	E 28° 49' 56""",
28.8419444444,41.0125,"N 41° 00' 45""	E 28° 50' 31""",
28.8158333333,41.0119444444,"N 41° 00' 43""	E 28° 48' 57""",
28.8761111111,41.0030555556,"N 41° 00' 11""	E 28° 52' 34""",
28.8783333333,41.0238888889,"N 41° 01' 26""	E 28° 52' 42""",
28.8780555556,41.025,"N 41° 01' 30""	E 28° 52'41""",
28.8613888889,41.0527777778,"N 41° 03' 10""	E 28° 51' 41""",
28.8463888889,41.0002777778,"N 41° 00' 01""	E 28° 50' 47""",
28.8672222222,41.005,"N 41° 00' 18""	E 28° 52' 02""",
28.8594444444,41.0391666667,"N 41° 02' 21""	E 28° 51' 34""",
28.8402777778,41.0525,"N 41° 03' 09""	E 28° 50' 25""",
28.8180555556,41.0333333333,"N 41° 02' 00""	E 28° 49' 05""",
28.82,41.0561111111,"N 41° 03' 22""	E 28° 49' 12""",
28.82,41.0588888889,"N 41° 03' 32""	E 28° 49' 12""",
28.8480555556,41.0252777778,"N 41° 01' 31""	E 28° 50' 53""",
28.8402777778,41.045,"N 41° 02' 42""	E 28° 50' 25""",
28.7213888889,40.9836111111,"N 40° 59' 01""	E 28° 43' 17""",
28.725,40.9877777778,"N 40° 59' 16""	E 28° 43' 30""",
28.7244444444,40.9827777778,"N 40° 58' 58""	E 28° 43' 28""",
28.7230555556,40.9808333333,"N 40° 58' 51""	E 28° 43' 23""",
29.1438888889,40.8508333333,"N 40° 51' 03""	E 29° 08' 38""",
29.0497222222,40.9063888889,"N 40° 54' 23""	E 29° 02' 59""",
29.055,40.9055555556,"N 40° 54' 20""	E 29° 03' 18""",
29.0461111111,40.9033333333,"N 40° 54' 12""	E 29° 02' 46""",
29.0633333333,40.8747222222,"N 40° 52' 29""	E 29° 03' 48""",
29.0630555556,40.8838888889,"N 40° 53' 02""	E 29° 03' 47""",
29.0954925,40.8844128,Adalar No:106,
29.1002777778,40.8730555556,"N 40° 52' 23""	E 29° 06' 01""",
29.0583333333,40.8819444444,"N 40° 52' 55""	E 29° 03' 30""",
29.0877777778,40.8719444444,"N 40° 52' 19""	E 29° 05' 16""",
29.1191666667,40.8486111111,"N 40° 50' 55""	E 29° 07' 09""",
29.1255555556,40.8566666667,"N 40° 51' 24""	E 29° 07' 32""",
29.1238888889,40.8444444444,"N 40° 50' 40""	E 29° 07' 26""",
29.125,40.8641666667,"N 40° 51' 51""	E 29° 07' 30""",
29.12,40.8580555556,"N 40° 51' 29""	E 29° 07' 12""",
29.1188888889,40.8566666667,"N 40° 51' 24""	E 29° 07' 08""",
29.0436111111,41.0280555556,"N 41° 01' 41""	E 29° 02' 37""",
29.0091666667,41.0677777778,"N 41° 04' 04""	E 29° 00' 33""",
28.795,40.9983333333,"N 40° 59' 54""	E 28° 47' 42""",
28.7486111111,40.9813888889,"N 40° 58' 53""	E 28° 44' 55""",
28.8847222222,40.9877777778,"N 40° 59' 16""	E 28° 53' 05""",
28.8852777778,40.9827777778,"N 40° 58' 58""	E 28° 53' 07""",
28.9155555556,40.9897222222,"N 40° 59' 23""	E 28° 54' 56""",
28.9088888889,41.0086111111,"N 41° 00' 31""	E 28° 54' 32""",
28.9186111111,40.9955555556,"N 40° 59' 44""	E 28° 55' 07""",
28.9077777778,40.9827777778,"N 40° 58' 58""	E 28° 54' 28""",
29.0366666667,41.0405555556,"N 41° 02' 26""	E 29° 02' 12""",
29.0647222222,41.0716666667,"N 41° 04' 18""	E 29° 03' 53""",
29.0536111111,41.0044444444,"N 41° 00'  16"" E 	29° 03'  13""",
