"L2","L2 KV:PSGC","L3","L3 KV:PSGC"
"Negros Occidental",64500000,"Enrique B. Magalona (Saravia)",64508000
"Siquijor",76100000,"Enrique Villanueva",76101000
"Agusan del Sur",160300000,"Esperanza",160303000
"Masbate",54100000,"Esperanza",54109000
"Sultan Kudarat",126500000,"Esperanza",126503000
"Iloilo",63000000,"Estancia",63019000
"Laguna",43400000,"Famy",43408000
"Romblon",175900000,"Ferrol",175916000
"Apayao",148100000,"Flora",148103000
"Pampanga",35400000,"Floridablanca",35406000
"Nueva Ecija",34900000,"Gabaldon (Bitulok & Sabani)",34907000
"Camarines Sur",51700000,"Gainza",51713000
"Ilocos Sur",12900000,"Galimuyod",12909000
"Northern Samar",84800000,"Gamay",84807000
"Isabela",23100000,"Gamu",23113000
"Lanao del Sur",153600000,"Ganassi",153609000
"Samar (Western Samar)",86000000,"Gandara",86007000
"Camarines Sur",51700000,"Garchitorena",51714000
"Bohol",71200000,"Garcia Hernandez",71222000
"Marinduque",174000000,"Gasan",174003000
"Cagayan",21500000,"Gattaran",21513000
"Cavite",42100000,"Gen. Mariano Alvarez",42123000
"Maguindanao",153800000,"Gen. S. K. Pendatun",153819000
"Cavite",42100000,"General Emilio Aguinaldo",42107000
"Quezon",45600000,"General Luna",45616000
"Surigao del Norte",166700000,"General Luna",166710000
"Eastern Samar",82600000,"General Macarthur",82607000
"Nueva Ecija",34900000,"General Mamerto Natividad",34909000
"Quezon",45600000,"General Nakar",45617000
"Nueva Ecija",34900000,"General Tinio (Papaya)",34910000
"Cavite",42100000,"General Trias",42108000
"Tarlac",36900000,"Gerona",36906000
"Surigao del Norte",166700000,"Gigaquit",166711000
"Catanduanes",52000000,"Gigmoto",52005000
"Cebu",72200000,"Ginatilan",72225000
"Eastern Samar",82600000,"Giporlos",82608000
"Misamis Oriental",104300000,"Gitagum",104309000
"Sarangani",128000000,"Glan",128002000
"Oriental Mindoro",175200000,"Gloria",175206000
"Camarines Sur",51700000,"Goa",51715000
"Zamboanga del Norte",97200000,"Godod",97225000
"Cagayan",21500000,"Gonzaga",21514000
"Davao Oriental",112500000,"Governor Generoso",112506000
"Ilocos Sur",12900000,"Gregorio Del Pilar (Concepcion)",12910000
"Pampanga",35400000,"Guagua",35407000
"Sorsogon",56200000,"Gubat",56208000
"Bulacan",31400000,"Guiguinto",31408000
"Nueva Ecija",34900000,"Guimba",34911000
"Iloilo",63000000,"Guimbal",63020000
"Quezon",45600000,"Guinayangan",45618000
"Bohol",71200000,"Guindulman",71223000
"Maguindanao",153800000,"Guindulungan",153825000
"Albay",50500000,"Guinobatan",50504000
"Camiguin",101800000,"Guinsiliban",101802000
"Zamboanga del Sur",97300000,"Guipos",97343000
"Eastern Samar",82600000,"Guiuan",82609000
"Quezon",45600000,"Gumaca",45619000
"Zamboanga del Norte",97200000,"Gutalac",97223000
"Basilan",150700000,"Hadji Mohammad Ajul",150710000
"Basilan",150700000,"Hadji Muhtamad",150712000
"Sulu",156600000,"Hadji Panglima Tahil (Marunggas)",156606000
"Davao del Sur",112400000,"Hagonoy",112404000
"Bulacan",31400000,"Hagonoy",31409000
"Antique",60600000,"Hamtic",60608000
"Bataan",30800000,"Hermosa",30805000
"Eastern Samar",82600000,"Hernani",82610000
"Leyte",83700000,"Hilongos",83719000
"Samar (Western Samar)",86000000,"Hinabangan",86008000
"Surigao del Sur",166800000,"Hinatuan",166809000
"Leyte",83700000,"Hindang",83720000
"Ifugao",142700000,"Hingyon",142709000
"Negros Occidental",64500000,"Hinigaran",64511000
"Negros Occidental",64500000,"Hinoba-An (Asia)",64512000
"Southern Leyte",86400000,"Hinunangan",86403000
"Southern Leyte",86400000,"Hinundayan",86404000
"Ifugao",142700000,"Hungduan",142702000
"Zambales",37100000,"Iba (capital)",37105000
"Batangas",41000000,"Ibaan",41010000
"Aklan",60400000,"Ibajay",60406000
"Iloilo",63000000,"Igbaras",63021000
"Cagayan",21500000,"Iguig",21515000
"Isabela",23100000,"Ilagan (capital)",23114000
"Negros Occidental",64500000,"Ilog",64513000
"Zamboanga Sibugay",98300000,"Imelda",98304000
"Bukidnon",101300000,"Impasug-Ong",101305000
"Cavite",42100000,"Imus",42109000
"Bohol",71200000,"Inabanga",71224000
"Sulu",156600000,"Indanan",156601000
"Cavite",42100000,"Indang",42110000
"Pangasinan",15500000,"Infanta",15520000
"Quezon",45600000,"Infanta",45620000
"Misamis Oriental",104300000,"Initao",104310000
"Leyte",83700000,"Inopacan",83721000
"Zamboanga Sibugay",98300000,"Ipil (capital)",98305000
"Sorsogon",56200000,"Irosin",56209000
"Leyte",83700000,"Isabel",83722000
"Negros Occidental",64500000,"Isabela",64514000
"Sultan Kudarat",126500000,"Isulan (capital)",126504000
"Batanes",20900000,"Itbayat",20902000
"Benguet",141100000,"Itogon",141106000
"Batanes",20900000,"Ivana",20903000
"Capiz",61900000,"Ivisan",61905000
"Agusan del Norte",160200000,"Jabonga",160205000
"Nueva Ecija",34900000,"Jaen",34912000
"Bohol",71200000,"Jagna",71225000
"Rizal",45800000,"Jala-Jala",45807000
"Capiz",61900000,"Jamindan",61906000
"Iloilo",63000000,"Janiuay",63023000
"Leyte",83700000,"Jaro",83723000
"Misamis Oriental",104300000,"Jasaan",104311000
"Leyte",83700000,"Javier (Bugho)",83724000
"Bohol",71200000,"Jetafe",71226000
"Samar (Western Samar)",86000000,"Jiabong",86009000
"Negros Oriental",74600000,"Jimalalud",74612000
"Misamis Occidental",104200000,"Jimenez",104207000
"Eastern Samar",82600000,"Jipapad",82611000
"Sulu",156600000,"Jolo (capital)",156602000
"Quezon",45600000,"Jomalig",45621000
"Isabela",23100000,"Jones",23115000
"Guimaras",67900000,"Jordan (capital)",67902000
"Davao del Sur",112400000,"Jose Abad Santos (Trinidad)",112405000
"Zamboanga del Norte",97200000,"Jose Dalman (Ponot)",97222000
"Camarines Norte",51600000,"Jose Panganiban",51605000
"Zamboanga del Sur",97300000,"Josefina",97337000
"Albay",50500000,"Jovellar",50505000
"Sorsogon",56200000,"Juban",56210000
"Leyte",83700000,"Julita",83725000
"Cotabato (North Cotabato)",124700000,"Kabacan",124703000
"Zamboanga Sibugay",98300000,"Kabasalan",98306000
"Benguet",141100000,"Kabayan",141107000
"Apayao",148100000,"Kabugao (capital)",148104000
"Shariff Kabunsuan",158400000,"Kabuntalan (Tumbao)",158405000
"Bukidnon",101300000,"Kadingilan",101306000
"Sultan Kudarat",126500000,"Kalamansig",126505000
"Zamboanga del Norte",97200000,"Kalawit",97227000
"Laguna",43400000,"Kalayaan",43409000
"Palawan",175300000,"Kalayaan",175321000
"Aklan",60400000,"Kalibo (capital)",60407000
"Bukidnon",101300000,"Kalilangan",101307000
"Sulu",156600000,"Kalingalan Caluang",156603000
"Leyte",83700000,"Kananga",83726000
"Lanao del Sur",153600000,"Kapai",153610000
"Davao del Norte",112300000,"Kapalong",112305000
"Benguet",141100000,"Kapangan",141108000
"Lanao del Sur",153600000,"Kapatagan",153639000
"Lanao del Norte",103500000,"Kapatagan",103505000
"Nueva Vizcaya",25000000,"Kasibu",25009000
"Zamboanga del Norte",97200000,"Katipunan",97203000
"Lanao del Norte",103500000,"Kauswagan",103507000
"Biliran",87800000,"Kawayan",87806000
"Cavite",42100000,"Kawit",42111000
"Nueva Vizcaya",25000000,"Kayapa",25010000
"Sarangani",128000000,"Kiamba",128003000
"Ifugao",142700000,"Kiangan",142703000
"Bukidnon",101300000,"Kibawe",101308000
"Davao del Sur",112400000,"Kiblawan",112406000
"Benguet",141100000,"Kibungan",141109000
"Misamis Oriental",104300000,"Kinoguitan",104312000
"Bukidnon",101300000,"Kitaotao",101309000
"Agusan del Norte",160200000,"Kitcharao",160206000
"Lanao del Norte",103500000,"Kolambugan",103508000
"Zamboanga del Sur",97300000,"Kumalarang",97311000
"Negros Occidental",64500000,"La Castellana",64517000
"Zamboanga del Norte",97200000,"La Libertad",97204000
"Negros Oriental",74600000,"La Libertad",74613000
"Abra",140100000,"La Paz",140108000
"Leyte",83700000,"La Paz",83728000
"Agusan del Sur",160300000,"La Paz",160304000
"Tarlac",36900000,"La Paz",36907000
"Benguet",141100000,"La Trinidad (capital)",141110000
"Compostela Valley",118200000,"Laak (San Vicente)",118202000
"Zamboanga del Sur",97300000,"Labangan",97312000
"Zamboanga del Norte",97200000,"Labason",97205000
"Camarines Norte",51600000,"Labo",51606000
"Pangasinan",15500000,"Labrador",15521000
"Abra",140100000,"Lacub",140109000
"Abra",140100000,"Lagangilang",140110000
"Ifugao",142700000,"Lagawe (capital)",142704000
"Abra",140100000,"Lagayan",140111000
"Misamis Oriental",104300000,"Lagonglong",104313000
"Camarines Sur",51700000,"Lagonoy",51717000
"Misamis Oriental",104300000,"Laguindingan",104314000
"South Cotabato",126300000,"Lake Sebu",126319000
"Zamboanga del Sur",97300000,"Lakewood",97333000
"Lanao del Norte",103500000,"Lala",103509000
"Cagayan",21500000,"Lal-Lo",21516000
"Sultan Kudarat",126500000,"Lambayong (Mariano Marcos)",126508000
"Iloilo",63000000,"Lambunao",63025000
"Ifugao",142700000,"Lamut",142705000
"Abra",140100000,"Langiden",140112000
"Tawi-Tawi",157000000,"Languyan",157009000
"Bukidnon",101300000,"Lantapan",101310000
"Basilan",150700000,"Lantawan",150703000
"Surigao del Sur",166800000,"Lanuza",166810000
"Pangasinan",15500000,"Laoac",15548000
"Northern Samar",84800000,"Laoang",84808000
"Northern Samar",84800000,"Lapinig",84809000
"Zamboanga del Sur",97300000,"Lapuyan",97313000
"Siquijor",76100000,"Larena",76102000
"Northern Samar",84800000,"Las Navas",84810000
"Agusan del Norte",160200000,"Las Nieves",160207000
"Cagayan",21500000,"Lasam",21517000
"Antique",60600000,"Laua-An",60609000
"Nueva Ecija",34900000,"Laur",34913000
"Batangas",41000000,"Laurel",41011000
"Northern Samar",84800000,"Lavezares",84811000
"Eastern Samar",82600000,"Lawaan",82612000
"Siquijor",76100000,"Lazi",76103000
"Sultan Kudarat",126500000,"Lebak",126506000
"Iloilo",63000000,"Leganes",63026000
"Batangas",41000000,"Lemery",41012000
"Iloilo",63000000,"Lemery",63027000
"Iloilo",63000000,"Leon",63028000
"Leyte",83700000,"Leyte",83729000
"Aklan",60400000,"Lezo",60408000
"Batangas",41000000,"Lian",41013000
"Surigao del Sur",166800000,"Lianga",166811000
"Aklan",60400000,"Libacao",60409000
"Southern Leyte",86400000,"Libagon",86405000
"Misamis Oriental",104300000,"Libertad",104315000
"Antique",60600000,"Libertad",60610000
"Dinagat Islands",168500000,"Libjo (Albor)",168504000
"Camarines Sur",51700000,"Libmanan",51718000
"Albay",50500000,"Libon",50507000
"Bukidnon",101300000,"Libona",101311000
"Cotabato (North Cotabato)",124700000,"Libungan",124705000
"Nueva Ecija",34900000,"Licab",34914000
"Abra",140100000,"Licuan-Baay (Licuan)",140113000
"Ilocos Sur",12900000,"Lidlidda",12911000
"Bohol",71200000,"Lila",71227000
"Laguna",43400000,"Liliw",43410000
"Southern Leyte",86400000,"Liloan",86406000
"Cebu",72200000,"Liloan",72227000
"Zamboanga del Norte",97200000,"Liloy",97206000
"Southern Leyte",86400000,"Limasawa",86419000
"Bataan",30800000,"Limay",30806000
"Lanao del Norte",103500000,"Linamon",103510000
"Palawan",175300000,"Linapacan",175313000
"Pangasinan",15500000,"Lingayen (capital)",15522000
"Surigao del Sur",166800000,"Lingig",166812000
"Nueva Ecija",34900000,"Llanera",34915000
"Eastern Samar",82600000,"Llorente",82613000
"Bohol",71200000,"Loay",71228000
"Batangas",41000000,"Lobo",41015000
"Bohol",71200000,"Loboc",71229000
"Occidental Mindoro",175100000,"Looc",175103000
"Romblon",175900000,"Looc",175907000
"Bohol",71200000,"Loon",71230000
"Northern Samar",84800000,"Lope De Vega",84824000
"Quezon",45600000,"Lopez",45622000
"Misamis Occidental",104200000,"Lopez Jaena",104208000
"Agusan del Sur",160300000,"Loreto",160305000
"Dinagat Islands",168500000,"Loreto",168505000
"Laguna",43400000,"Los Baños",43411000
"Abra",140100000,"Luba",140114000
"Occidental Mindoro",175100000,"Lubang",175104000
"Pampanga",35400000,"Lubao",35408000
"Kalinga",143200000,"Lubuagan",143206000
"Quezon",45600000,"Lucban",45623000
"Misamis Oriental",104300000,"Lugait",104316000
"Sulu",156600000,"Lugus",156617000
"Laguna",43400000,"Luisiana",43412000
"Lanao del Sur",153600000,"Lumba-Bayabao (Maguing)",153611000
"Lanao del Sur",153600000,"Lumbaca-Unayan",153641000
"Laguna",43400000,"Lumban",43413000
"Lanao del Sur",153600000,"Lumbatan",153612000
"Lanao del Sur",153600000,"Lumbayanague",153636000
"La Union",13300000,"Luna",13310000
"Isabela",23100000,"Luna",23116000
"Apayao",148100000,"Luna",148105000
"Nueva Ecija",34900000,"Lupao",34916000
"Camarines Sur",51700000,"Lupi",51719000
"Davao Oriental",112500000,"Lupon",112507000
"Sultan Kudarat",126500000,"Lutayan",126507000
"Sulu",156600000,"Luuk",156604000
"Sarangani",128000000,"Maasim",128004000
"Iloilo",63000000,"Maasin",63029000
"Capiz",61900000,"Ma-Ayon",61907000
"Pampanga",35400000,"Mabalacat",35409000
"Negros Oriental",74600000,"Mabinay",74614000
"Bohol",71200000,"Mabini",71231000
"Pangasinan",15500000,"Mabini",15523000
"Batangas",41000000,"Mabini",41016000
"Compostela Valley",118200000,"Mabini (Doña Alicia)",118203000
"Laguna",43400000,"Mabitac",43414000
"Zamboanga Sibugay",98300000,"Mabuhay",98307000
"Pampanga",35400000,"Macabebe",35410000
"Quezon",45600000,"Macalelon",45625000
"Leyte",83700000,"Macarthur",83730000
"Compostela Valley",118200000,"Maco",118204000
"Isabela",23100000,"Maconacon",23117000
"Southern Leyte",86400000,"Macrohon",86408000
"Aklan",60400000,"Madalag",60410000
"Lanao del Sur",153600000,"Madalum",153613000
"Lanao del Sur",153600000,"Madamba",153614000
"Quirino",25700000,"Maddela",25704000
"Surigao del Sur",166800000,"Madrid",166813000
"Cebu",72200000,"Madridejos",72228000
"Pampanga",35400000,"Magalang",35411000
"Cavite",42100000,"Magallanes",42112000
"Agusan del Norte",160200000,"Magallanes",160208000
"Sorsogon",56200000,"Magallanes",56211000
"Camarines Sur",51700000,"Magarao",51720000
"Laguna",43400000,"Magdalena",43415000
"Romblon",175900000,"Magdiwang",175908000
"Cotabato (North Cotabato)",124700000,"Magpet",124706000
"Occidental Mindoro",175100000,"Magsaysay",175105000
"Lanao del Norte",103500000,"Magsaysay",103511000
"Palawan",175300000,"Magsaysay",175314000
"Davao del Sur",112400000,"Magsaysay",112407000
"Misamis Oriental",104300000,"Magsaysay (Linugos)",104317000
"Ilocos Sur",12900000,"Magsingal",12912000
"Lanao del Sur",153600000,"Maguing",153634000
"Leyte",83700000,"Mahaplag",83731000
"Batanes",20900000,"Mahatao",20904000
"Zamboanga del Sur",97300000,"Mahayag",97315000
"Camiguin",101800000,"Mahinog",101803000
"Lanao del Norte",103500000,"Maigo",103512000
"Sulu",156600000,"Maimbung",156605000
"Surigao del Norte",166700000,"Mainit",166714000
"Sarangani",128000000,"Maitum",128005000
"Laguna",43400000,"Majayjay",43416000
"Aklan",60400000,"Makato",60411000
"Cotabato (North Cotabato)",124700000,"Makilala",124707000
"Lanao del Sur",153600000,"Malabang",153615000
"Cebu",72200000,"Malabuyoc",72229000
"Davao del Sur",112400000,"Malalag",112408000
"Zamboanga Sibugay",98300000,"Malangas",98308000
"Sarangani",128000000,"Malapatan",128006000
"Pangasinan",15500000,"Malasiqui",15524000
"Aklan",60400000,"Malay",60412000
"Abra",140100000,"Malibcong",140115000
"Albay",50500000,"Malilipot",50509000
"Surigao del Norte",166700000,"Malimono",166715000
"Aklan",60400000,"Malinao",60413000
"Albay",50500000,"Malinao",50510000
"Davao del Sur",112400000,"Malita",112409000
"Southern Leyte",86400000,"Malitbog",86409000
"Bukidnon",101300000,"Malitbog",101313000
"Isabela",23100000,"Mallig",23119000
"Sarangani",128000000,"Malungon",128007000
"Basilan",150700000,"Maluso",150704000
"Batangas",41000000,"Malvar",41017000
"Maguindanao",153800000,"Mamasapano",153820000
"Camiguin",101800000,"Mambajao (capital)",101804000
"Occidental Mindoro",175100000,"Mamburao (capital)",175106000
"Capiz",61900000,"Mambusao",61908000
"Abra",140100000,"Manabo",140116000
"Pangasinan",15500000,"Manaoag",15525000
"Negros Occidental",64500000,"Manapla",64518000
"Davao Oriental",112500000,"Manay",112508000
"Masbate",54100000,"Mandaon",54110000
"Pangasinan",15500000,"Mangaldan",15526000
"Pangasinan",15500000,"Mangatarem",15527000
"Maguindanao",153800000,"Mangudadatu",153832000
"Albay",50500000,"Manito",50511000
"Negros Oriental",74600000,"Manjuyod",74615000
"Benguet",141100000,"Mankayan",141111000
"Bukidnon",101300000,"Manolo Fortich",101314000
"Oriental Mindoro",175200000,"Mansalay",175207000
"Misamis Oriental",104300000,"Manticao",104318000
"Zamboanga del Norte",97200000,"Manukan",97207000
"Northern Samar",84800000,"Mapanas",84812000
"Pangasinan",15500000,"Mapandan",15528000
"Tawi-Tawi",157000000,"Mapun (Cagayan De Tawi-Tawi)",157003000
"Samar (Western Samar)",86000000,"Marabut",86010000
"Cavite",42100000,"Maragondon",42113000
"Compostela Valley",118200000,"Maragusan (San Mariano)",118205000
"Bukidnon",101300000,"Maramag",101315000
"Lanao del Sur",153600000,"Marantao",153616000
"Ilocos Norte",12800000,"Marcos",12813000
"Zamboanga del Sur",97300000,"Margosatubig",97317000
"Siquijor",76100000,"Maria",76104000
"Aurora",37700000,"Maria Aurora",37707000
"Bohol",71200000,"Maribojoc",71232000
"Surigao del Sur",166800000,"Marihatag",166814000
"Bulacan",31400000,"Marilao",31411000
"Biliran",87800000,"Maripipi",87807000
"Bataan",30800000,"Mariveles",30807000
"Lanao del Sur",153600000,"Marogong",153631000
"Pampanga",35400000,"Masantol",35412000
"Zambales",37100000,"Masinloc",37106000
"Lanao del Sur",153600000,"Masiu",153618000
"Eastern Samar",82600000,"Maslog",82614000
"Batangas",41000000,"Mataas Na Kahoy",41018000
"Leyte",83700000,"Matag-Ob",83733000
"Cotabato (North Cotabato)",124700000,"Matalam",124708000
"Leyte",83700000,"Matalom",83734000
"Davao del Sur",112400000,"Matanao",112410000
"Shariff Kabunsuan",158400000,"Matanog",158406000
"Sorsogon",56200000,"Matnog",56212000
"Samar (Western Samar)",86000000,"Matuguinao",86011000
"Lanao del Norte",103500000,"Matungao",103513000
"Quezon",45600000,"Mauban",45627000
"Compostela Valley",118200000,"Mawab",118206000
"Tarlac",36900000,"Mayantoc",36908000
"Eastern Samar",82600000,"Maydolong",82615000
"Leyte",83700000,"Mayorga",83735000
"Ifugao",142700000,"Mayoyao",142706000
"Cebu",72200000,"Medellin",72231000
"Misamis Oriental",104300000,"Medina",104319000
"Cavite",42100000,"Mendez (Mendez-Nuñez)",42114000
"Eastern Samar",82600000,"Mercedes",82616000
"Camarines Norte",51600000,"Mercedes",51607000
"Leyte",83700000,"Merida",83736000
"Pampanga",35400000,"Mexico",35413000
"Iloilo",63000000,"Miagao",63030000
"Zamboanga del Sur",97300000,"Midsalip",97318000
"Cotabato (North Cotabato)",124700000,"Midsayap",124709000
"Masbate",54100000,"Milagros",54112000
"Camarines Sur",51700000,"Milaor",51721000
"Iloilo",63000000,"Mina",63031000
"Camarines Sur",51700000,"Minalabac",51722000
"Pampanga",35400000,"Minalin",35414000
"Cebu",72200000,"Minglanilla",72232000
"Cotabato (North Cotabato)",124700000,"M'Lang",124710000
"Cebu",72200000,"Moalboal",72233000
"Masbate",54100000,"Mobo",54113000
"Marinduque",174000000,"Mogpog",174004000
"Negros Occidental",64500000,"Moises Padilla (Magallon)",64519000
"Zamboanga del Sur",97300000,"Molave",97319000
"Tarlac",36900000,"Moncada",36909000
"Northern Samar",84800000,"Mondragon",84813000
"Compostela Valley",118200000,"Monkayo",118207000
"Masbate",54100000,"Monreal",54114000
"Compostela Valley",118200000,"Montevista",118208000
"Rizal",45800000,"Morong",45809000
"Bataan",30800000,"Morong",30808000
"Samar (Western Samar)",86000000,"Motiong",86012000
"Quezon",45600000,"Mulanay",45628000
"Lanao del Sur",153600000,"Mulondo",153619000
"Lanao del Norte",103500000,"Munai",103514000
"Negros Occidental",64500000,"Murcia",64520000
"Zamboanga del Norte",97200000,"Mutia",97208000
"Misamis Oriental",104300000,"Naawan",104320000
"Aklan",60400000,"Nabas",60414000
"Camarines Sur",51700000,"Nabua",51723000
"Compostela Valley",118200000,"Nabunturan (capital)",118209000
"Zamboanga Sibugay",98300000,"Naga",98309000
"Ilocos Sur",12900000,"Nagbukel",12913000
"Laguna",43400000,"Nagcarlan",43417000
"Quirino",25700000,"Nagtipunan",25706000
"La Union",13300000,"Naguilian",13311000
"Isabela",23100000,"Naguilian",23120000
"Cavite",42100000,"Naic",42115000
"Nueva Ecija",34900000,"Nampicuan",34918000
"Palawan",175300000,"Narra",175315000
"Ilocos Sur",12900000,"Narvacan",12914000
"Agusan del Norte",160200000,"Nasipit",160209000
"Batangas",41000000,"Nasugbu",41019000
"Pangasinan",15500000,"Natividad",15529000
"Mountain Province",144400000,"Natonin",144405000
"Oriental Mindoro",175200000,"Naujan",175208000
"Biliran",87800000,"Naval (capital)",87808000
"Compostela Valley",118200000,"New Bataan",118210000
"Davao del Norte",112300000,"New Corella",112314000
"Iloilo",63000000,"New Lucena",63032000
"Aklan",60400000,"New Washington",60415000
"South Cotabato",126300000,"Norala",126311000
"Shariff Kabunsuan",158400000,"Northern Kabuntalan",158411000
"Bulacan",31400000,"Norzagaray",31413000
"Cavite",42100000,"Noveleta",42116000
"Ilocos Norte",12800000,"Nueva Era",12814000
"Guimaras",67900000,"Nueva Valencia",67903000
"Aklan",60400000,"Numancia",60416000
"Lanao del Norte",103500000,"Nunungan",103515000
"Albay",50500000,"Oas",50512000
"Bulacan",31400000,"Obando",31414000
"Camarines Sur",51700000,"Ocampo",51725000
"Romblon",175900000,"Odiongan",175909000
"Sulu",156600000,"Old Panamao",156607000
"Zamboanga Sibugay",98300000,"Olutanga",98310000
"Sulu",156600000,"Omar",156619000
"Misamis Oriental",104300000,"Opol",104321000
"Bataan",30800000,"Orani",30809000
"Eastern Samar",82600000,"Oras",82617000
"Bataan",30800000,"Orion",30810000
"Cebu",72200000,"Oslob",72235000
"Iloilo",63000000,"Oton",63034000
"Davao del Sur",112400000,"Padada",112411000
"Southern Leyte",86400000,"Padre Burgos",86410000
"Quezon",45600000,"Padre Burgos",45629000
"Batangas",41000000,"Padre Garcia",41020000
"Laguna",43400000,"Paete",43418000
"Maguindanao",153800000,"Pagagawan",153822000
"Maguindanao",153800000,"Pagalungan",153810000
"Lanao del Sur",153600000,"Pagayawan (Tatarikan)",153620000
"Quezon",45600000,"Pagbilao",45630000
"Maguindanao",153800000,"Paglat",153823000
"Samar (Western Samar)",86000000,"Pagsanghan",86026000
"Laguna",43400000,"Pagsanjan",43419000
"Ilocos Norte",12800000,"Pagudpud",12815000
"Laguna",43400000,"Pakil",43420000
"Isabela",23100000,"Palanan",23121000
"Masbate",54100000,"Palanas",54115000
"Northern Samar",84800000,"Palapag",84814000
"Zambales",37100000,"Palauig",37108000
"Sultan Kudarat",126500000,"Palimbang",126509000
"Leyte",83700000,"Palo",83739000
"Leyte",83700000,"Palompon",83740000
"Occidental Mindoro",175100000,"Paluan",175107000
"Northern Samar",84800000,"Pambujan",84815000
"Camarines Sur",51700000,"Pamplona",51726000
"Cagayan",21500000,"Pamplona",21518000
"Negros Oriental",74600000,"Pamplona",74616000
"Misamis Occidental",104200000,"Panaon",104211000
"Capiz",61900000,"Panay",61909000
"Maguindanao",153800000,"Pandag",153833000
"Sulu",156600000,"Pandami",156618000
"Antique",60600000,"Pandan",60611000
"Catanduanes",52000000,"Pandan",52006000
"Bulacan",31400000,"Pandi",31415000
"Catanduanes",52000000,"Panganiban (Payo)",52007000
"Bukidnon",101300000,"Pangantucan",101316000
"Laguna",43400000,"Pangil",43421000
"Bohol",71200000,"Panglao",71233000
"Sulu",156600000,"Panglima Estino (New Panamao)",156616000
"Tawi-Tawi",157000000,"Panglima Sugala (Balimbing) (capital)",157001000
"Sulu",156600000,"Pangutaran",156608000
"Tarlac",36900000,"Paniqui",36910000
"Capiz",61900000,"Panitan",61910000
"Nueva Ecija",34900000,"Pantabangan",34920000
"Lanao del Norte",103500000,"Pantao Ragat",103516000
"Lanao del Norte",103500000,"Pantar",103523000
"Compostela Valley",118200000,"Pantukan",118211000
"Quezon",45600000,"Panukulan",45631000
"Ilocos Norte",12800000,"Paoay",12816000
"Bulacan",31400000,"Paombong",31416000
"Camarines Norte",51600000,"Paracale",51608000
"Mountain Province",144400000,"Paracelis",144406000
"Samar (Western Samar)",86000000,"Paranas (Wright)",86022000
"Sulu",156600000,"Parang",156609000
"Shariff Kabunsuan",158400000,"Parang",158407000
"Camarines Sur",51700000,"Pasacao",51727000
"Kalinga",143200000,"Pasil",143208000
"Leyte",83700000,"Pastrana",83741000
"Ilocos Norte",12800000,"Pasuquin",12817000
"Sulu",156600000,"Pata",156610000
"NCR Fourth District",137600000,"Pateros",137606000
"Sulu",156600000,"Patikul",156611000
"Quezon",45600000,"Patnanungan",45632000
"Antique",60600000,"Patnongon",60612000
"Iloilo",63000000,"Pavia",63036000
"Zamboanga Sibugay",98300000,"Payao",98311000
"Cagayan",21500000,"Peñablanca",21519000
"Nueva Ecija",34900000,"Peñaranda",34921000
"Abra",140100000,"Peñarrubia",140117000
"Quezon",45600000,"Perez",45633000
"Lanao del Sur",153600000,"Piagapo",153621000
"Cagayan",21500000,"Piat",21520000
"Lanao del Sur",153600000,"Picong (Sultan Gumander)",153635000
"Ilocos Norte",12800000,"Piddig",12818000
"Abra",140100000,"Pidigan",140118000
"Cotabato (North Cotabato)",124700000,"Pigkawayan",124711000
"Cotabato (North Cotabato)",124700000,"Pikit",124712000
"Laguna",43400000,"Pila",43422000
"Capiz",61900000,"Pilar",61911000
"Surigao del Norte",166700000,"Pilar",166716000
"Bohol",71200000,"Pilar",71234000
"Cebu",72200000,"Pilar",72236000
"Abra",140100000,"Pilar",140119000
"Bataan",30800000,"Pilar",30811000
"Sorsogon",56200000,"Pilar",56213000
"Camarines Sur",51700000,"Pili (capital)",51728000
"Rizal",45800000,"Pililla",45810000
"Samar (Western Samar)",86000000,"Pinabacdao",86013000
"Oriental Mindoro",175200000,"Pinamalayan",175209000
"Cebu",72200000,"Pinamungahan",72237000
"Zamboanga del Norte",97200000,"Piñan (New Piñan)",97209000
"Ilocos Norte",12800000,"Pinili",12819000
"Southern Leyte",86400000,"Pintuyan",86411000
"Kalinga",143200000,"Pinukpuk",143209000
"Albay",50500000,"Pio Duran",50513000
"Masbate",54100000,"Pio V. Corpuz (Limbuhan)",54116000
"Quezon",45600000,"Pitogo",45634000
"Zamboanga del Sur",97300000,"Pitogo",97338000
"Masbate",54100000,"Placer",54117000
"Surigao del Norte",166700000,"Placer",166717000
"Bulacan",31400000,"Plaridel",31417000
"Quezon",45600000,"Plaridel",45635000
"Misamis Occidental",104200000,"Plaridel",104212000
"Oriental Mindoro",175200000,"Pola",175210000
"Zamboanga del Norte",97200000,"Polanco",97210000
"Albay",50500000,"Polangui",50514000
"Quezon",45600000,"Polillo",45636000
"South Cotabato",126300000,"Polomolok",126312000
"Negros Occidental",64500000,"Pontevedra",64521000
"Capiz",61900000,"Pontevedra",61912000
"Lanao del Sur",153600000,"Poona Bayabao (Gata)",153622000
"Lanao del Norte",103500000,"Poona Piagapo",103517000
"Pampanga",35400000,"Porac",35415000
"Cebu",72200000,"Poro",72238000
"Iloilo",63000000,"Pototan",63037000
"Pangasinan",15500000,"Pozzorubio",15530000
"Bohol",71200000,"Pres. Carlos P. Garcia (Pitogo)",71235000
