"Layer","Country","L1","L2","L3","Value"
"Sucos","TL","Viqueque","Viqueque","Caraubalo","0.124373"
"Sucos","TL","Viqueque","Viqueque","Luca","0.821946"
"Sucos","TL","Viqueque","Viqueque","Maluro","0.988889"
"Sucos","TL","Viqueque","Viqueque","Uai Mori","0.976744"
"Sucos","TL","Viqueque","Viqueque","Uma Quic","0.853147"
"Sucos","TL","Viqueque","Viqueque","Uma Uain Craic","0.184959"
"Sucos","TL","Viqueque","Viqueque","Uma Uain Leten","0.781250"
"Sucos","TL","Viqueque","Viqueque","Watu Dere","0.384384"
"Sucos","TL","Viqueque","Watulari","Afaloicai","0.917722"
"Sucos","TL","Viqueque","Watulari","Babulo","0.597727"
"Sucos","TL","Viqueque","Watulari","Macadique","0.045567"
"Sucos","TL","Viqueque","Watulari","Matahoi","0.712919"
"Sucos","TL","Viqueque","Watulari","Uaitame","0.081967"
"Sucos","TL","Viqueque","Watulari","Vessoru","0.950954"
