Name,Comments,Type,SubType,SubSubType,Address,Postcode,L3,L2,L1,Opening Times,Phone,Organisation,Website,KV:OBJECTID,KV:post_id,Lat,Lon
Glendora Mini-Bus,"The Agency Provides Employment Services, Health Services, Information and Referral, Recreational Programs, Services for Older Adults and Transportation For People of All Ages Who Live, Primarily in Glendora.",Transportation,Transit Systems,,410 Dalton St.,91741,Glendora,Los Angeles County,California,"Monday through Thursday, 10:00am to 8:00pm; Friday, 10:00am to 6:00pm and Saturday, 10:00am to 5:00pm.",,Glendora Mini-Bus,www.ci.glendora.ca.us/departments-services/parks-recreation-senior-services/transportation-glendora-mini-bus,4030,4105,34.13680685,-117.8607088
Healthlink Medi-Van,"The Agency Provides Transportation For People in Southern California. Services include Disabled Transportation and Senior Ride Programs. There are Age, Disability and Income Restrictions for Services.",Transportation,Transit Systems,,6053 W. Century Blvd.,90045,Los Angeles,Los Angeles County,California,"Monday through Thursday, 7:30am to 5:00pm; Friday, 7:30am to 4:00pm.",,Healthlink Medi-Van,www.hlmv.com,4081,4156,33.9461251,-118.3896682
Gardena Special Transit,"The Agency Provides Transportation Services for Adults, Age 60 and Older and for Disabled People of any Age who Reside in the Agency's Designated Service Area.",Transportation,Transit Systems,,15350 S. Van Ness Ave.,90247,Gardena,Los Angeles County,California,"Monday through Sunday, Daylight Hours",,Gardena Special Transit,www.ci.gardena.ca.us/government/Transportation,4084,4159,33.89145763,-118.3181602
Los Angeles County Metropolitan Transportation Authority - Administration,The Agency Provides Transportation Services for Residents of Los Angeles County.,Transportation,Transit Systems,,1 Gateway Plaza,90012,Los Angeles,Los Angeles County,California,,,LA Metro,www.metro.net,4085,4160,34.05642501,-118.232715
West Covina Transit Store,The Agency Provides Transportation Services for Residents of Los Angeles County. There are no Geographic Restrictions,Transportation,Transit Systems,,100 N. Barranca Ave.,91791,West Covina,Los Angeles County,California,,,Foothill Transit,www.foothilltransit.org,4086,4161,34.07311069,-117.8807266
Santa Monica's Big Blue Bus,"The Bus Line Provides Public Transportation for People in the City of Santa Monica, the West Los Angeles area, Downtown Los Angeles, the Los Angeles International Airport, and the Metro Green Line Station.",Transportation,Transit Systems,,1660 7th St.,90401,Santa Monica,Los Angeles County,California,,,Big Blue Bus,www.bigbluebus.com,4087,4162,34.01501611,-118.4874566
Norwalk Transit System,The Department Provides Public Transportation Services for People with Disabilities of all Ages. Geographic Restrictions apply for some services.,Transportation,Transit Systems,,12650 E. Imperial Hwy.,90650,Norwalk,Los Angeles County,California,,,Norwalk Transit System,www.ci.norwalk.ca.us,4201,4283,33.91680566,-118.0634789
Santa Clarita Transit,The Program Provides Transportation for Residents in the City of Santa Clarita.,Transportation,Transit Systems,,28250 Constellation Rd.,91355,Santa Clarita,Los Angeles County,California,,,Santa Clarita Transit,www.santa-clarita.com/cityhall/field/transit/,4247,4330,34.44971174,-118.577536
Burbank Transportation Service,The Program Provides Transportation for Seniors Age 60 and Older and for People of any Age who have Disabilities and Live in the City of Burbank. Local Transportation also includes Shuttle Services for Burbank Residents.,Transportation,Transit Systems,,275 E. Olive Ave.,91502,Burbank,Los Angeles County,California,"Monday through Friday, 8:00am to 4:30pm.",,Burbank Transportation Service,www.ci.burbank.ca.us,4249,4332,34.17347408,-118.3160934
Cityride Program - Eastside - Central - Area 2B,This is a Transportation Service for Residents of the City of Los Angeles.,Transportation,Transit Systems,,221 N. Figueroa St.,90012,Los Angeles,Los Angeles County,California,"Monday through Friday, 9:00am to 4:00pm.",,LADOT Transit Services - Cityride,www.ladottransit.com/other/cityride,4254,4338,34.05882048,-118.2509893
Los Angeles International Internet Exchange (LAIIX),,Communications,Internet Exchange Points,,626 Wilshire Blvd,90017,Los Angeles,Los Angeles County,California,,718-355-2500,Los Angeles International Internet Exchange (LAIIX),www.laiix.net,29649,30343,34.048153,-118.256361
Mae West,,Communications,Internet Exchange Points,,624 S Grand Ave,90017,Los Angeles,Los Angeles County,California,,213-627-0874,Mae West,www.mae.net/fac/mae-west.htm,29650,30344,34.049449,-118.254553
Switch and Data/PAIX,,Communications,Internet Exchange Points,,624 S Grand Ave,90017,Los Angeles,Los Angeles County,California,,815-207-7700,Switch and Data/PAIX,www.switchanddata.com,29651,30345,34.049449,-118.254553
Pacific Wave,,Communications,Internet Exchange Points,,624 S Grand Ave,90017,Los Angeles,Los Angeles County,California,,888-722-9283,Pacific Wave,www.pacificwave.net,29652,30346,34.049449,-118.254553
Pacific Wave,,Communications,Internet Exchange Points,,600 W 7th St,90017,Los Angeles,Los Angeles County,California,,888-722-9283,Pacific Wave,www.pacificwave.net,29653,30347,34.047341,-118.256716
Any2 Packet Exchange Los Angeles,,Communications,Internet Exchange Points,,624 S Grand Ave,90017,Los Angeles,Los Angeles County,California,,213-327-1223,Any2 Packet Exchange Los Angeles,www.onewilshire.com/meet_me_room/any2.htm,29654,30348,34.049449,-118.254553
United Online/Net Zero,,Communications,Internet Service Providers,,21301 Burbank Blvd,91367,Woodland Hills,Los Angeles County,California,,800-560-7429,United Online/Net Zero,www.netzero.net,29655,30349,34.173349,-118.594982
Agenda Media Services,,Communications,Internet Service Providers,,5445 Balboa Blvd,91316,Encino,Los Angeles County,California,,818-990-5343,Agenda Media Services,www.agenda.net,29656,30350,34.169353,-118.501122
Am6 Networks,,Communications,Internet Service Providers,,700 S Flower St,90017,Los Angeles,Los Angeles County,California,,877-743-3266,Am6 Networks,www.am6.net,29657,30351,34.048532,-118.258868
Antelecom,,Communications,Internet Service Providers,,104 E Ave,93535,Lancaster,Los Angeles County,California,,661-726-3516,Antelecom,www.antelecom.net,29658,30352,34.671637,-118.073284
Boingo Wireless,,Communications,Internet Service Providers,,1601 Cloverfield Blvd,90404,Santa Monica,Los Angeles County,California,,310-586-5180,Boingo Wireless,www.boingo.com,29659,30353,34.028343,-118.473665
San Pedro Bay,,Physical Features,Water,Bays,,,,Los Angeles County,California,,,,,62615,25097,33.7261304,-118.2550705
Angels Gate Lighthouse,,Physical Features,Water,Lighthouses,,,,Los Angeles County,California,,,,,62617,24279,33.7083531,-118.251737
Mormon Island,,Physical Features,Named Locations,Rocks,,,,Los Angeles County,California,,,,,62618,26431,33.7597406,-118.2642374
Smith Island,,Physical Features,Named Locations,Rocks,,,,Los Angeles County,California,,,,,62619,26433,33.7519627,-118.2770154
Polliwog Lake,This lake is part of Polliwog Park,Physical Features,Water,Lakes,1601 Manhattan Beach Blvd,90266,Manhattan Beach,Los Angeles County,California,,,City of Manhattan Beach,,63315,62370,33.88940562,-118.38551759
Mast-Up Dry Sailboat Storage,<p> The Mast-Up storage area is for trailerable sailboats up to 28 in length. It is next to the boat launch ramp. </p><p> Enter through the boat launch ramp from Fiji Way. </p>,Physical Features,Water,,13837 Fiji Way,90292,Marina del Rey,Los Angeles County,California,"Mast-Up storage and the boat launch ramp are open 24 hours a day, 7 days a week.",<p> Mast-Up Storage information: 310-305-9503 </p><p> Visitors Center: 310-305-9545 </p><p> Beaches and Harbors: 310-305-9503 </p>,LA County Department of Beaches and Harbors,marinadelrey.lacounty.gov,63381,65891,33.9770507,-118.44059944
Nicholas Canyon Beach,"<p>Facilities: Fishing, Picnic Tables, Handicapped Accessways, Restrooms, Showers, Surfing, Swimming</p><p>Food truck during summer months</p><p><a href=""http://fire.lacounty.gov"">Lifeguards </a> are on the beach during daylight hours.</p><p><a hre",Physical Features,Water,,33850 Pacific Coast Highway,90265,Malibu,Los Angeles County,California,"<p><a href=""http://file.lacounty.gov/dbh/cms1_150144.gif"">Parking Lot Map</a></p><p>Parking Fees: Winter $3.00 to $8.00; Summer $3.00 to $10.00</p>",<p>Beaches and Harbors: 310-305-9504</p><p>Northern Surf Report: 310-457-9701</p>,LA County Department of Beaches and Harbors,beaches.lacounty.gov,63384,63738,34.04341426,-118.91486227
Marina Beach (Mothers Beach),"Facilities: Swimming (no surf), Children's Playground, Picnic Tables, Windsurfing, Kayaking, Free Boat Launch for Hand-Carried Boats, Restaurants, Hotels, Restrooms, ShowersFood: Restaurants overlooking the beach and water, grocery storeHotel: Foghor",Physical Features,Water,,4101 Admiralty Way,90292,Marina del Rey,Los Angeles County,California,Open during daylight hours.,Visitors Center: 310-305-9545 <br>Beaches and Harbors: 310-305-9503 <br>Central Surf Report Information Only: 310-578-0478,LA County Department of Beaches and Harbors,marinadelrey.lacounty.gov,63388,63775,33.98184605,-118.4589672
Silver Canyon Landing,"<a href=""http://www.catalinachamber.com/""> Catalina Island information </a>",Physical Features,Water,,,,,Los Angeles County,California,,,,www.catalinachamber.com,63394,23894,33.3194738,-118.3936867
White Point Beach - Royal Palms,"Facilities: Tidepools, Swimming, Surfing, Diving, Picnic Tables, Children's Playground, Fishing, Waterside Promenade (Available for Event Rental), Restrooms, Showers,Aquarium: <a href=""http://www.cabrillomarineaquarium.org""> Cabrillo Marine Aquarium <",Physical Features,Water,,1799 Paseo Del Mar,90732,San Pedro,Los Angeles County,California,,Visitors Center: 310-305-9545 <br>Beaches and Harbors: 310-305-9503 </br> <br>Southern Surf Report Information Only: 310-399-8471 </br>,LA County Department of Beaches and Harbors,beaches.lacounty.gov,63397,1408,33.7165849,-118.31819415
Family Planning Associates Medical Group - Administration - Downey,The agency administers clinics which provide family planning services for women age 12 years and older who live in Los Angeles County.,Government,Government Offices,,3050 Airport Way,90806,Long Beach,Los Angeles County,California,,"After 5pm, Tuesday - Saturday Service/Intake (800) 821-1318, Service/Intake and Administration (562) 862-5121, FAX (562) 426-4227, Appointments Service/Intake (877) 883-7264",Family Planning Associates Medical Group,www.fpamg.net,151,695,33.810466,-118.157135
El Nido Family Centers - Administrative Office,The agency provides counseling services and family life education for youth and their families in Los Angeles.,Government,Government Offices,,10200 Sepulveda Blvd.,91345,Mission Hills,Los Angeles County,California,"Monday through Friday, 8:30am to 5:30pm.","Service/Intake and Administration (818) 830-3646, FAX (818) 891-6547",El Nido Family Centers,www.elnidofamilycenters.org,365,833,34.255482,-118.467233
Children's Hospital Los Angeles - High Risk Youth Program,The agency provides health services and homeless support services for youth age 12 to 24 in the Hollywood area.,Government,Government Offices,,5000 W Sunset Blvd,90027,Los Angeles,Los Angeles County,California,"Monday through Friday, 8:30am to 5:00pm. Clinic hours Tuesday and Thursday, 1:00pm to 5:30pm.","Administrative (323) 361-2390, Appointments Service/Intake (323) 653-1990, Medi-Cal, HMO and Patients under 21 Service/Intake (323) 337-1775",Children's Hospital Los Angeles,www.childrenshospitalla.org/site/c.ipINKTOAJsG/b.4452451/,588,947,34.09787921,-118.2984449
American Health Services - El Dorado Community Service Centers,"The agency provides health services, mental health services and substance abuse services for people of all ages who live in the Los Angeles County area.",Government,Government Offices,,26460 Summit Circle,91350,Santa Clarita,Los Angeles County,California,"Monday through Friday, 8:00am to 4:30pm.","Administrative (661) 254-6630, FAX (661) 254-6644, Suboxone Detox Services/Drug Testing Services Service/Intake (877) 557-7826",American Health Services,www.americanhealthservices.org,655,1000,34.41208,-118.508746
LA County Department of Mental Health - Administration,The department provides mental health services for people in Los Angeles County.,Government,Government Offices,,550 S Vermont Ave,90020,Los Angeles,Los Angeles County,California,"Monday through Friday, 7:30am to 6:30pm.","Medi-Cal Professionals Unit Service/Intake (213) 738-2466, Training Division Administrative (213) 251-6854, Access Line and PMRT After Hours/Weekends Service/Intake and Hotline (800) 854-7771, ACCESS Line and PMRT After Hours/Weekends TDD (562) 651-2549,",LA County Department of Mental Health,dmh.co.la.ca.us,1045,1236,34.06403022,-118.2914462
LA County Department of Public Health - Comprehensive Perinatal Services Program,The program provides health services for low-income pregnant women who are Medi-Cal recipients and live in Los Angeles County.,Government,Government Offices,,600 S Commonwealth Ave,90005,Los Angeles,Los Angeles County,California,,Administrative (213) 639-6419,"LA County Public Health - Maternal, Child, & Adolescent Health",www.publichealth.lacounty.gov/mch,1176,1340,34.0634825,-118.285451
Commission For Children & Family Main Office,Advises The Board of Supervisors In Areas of Child Welfare and Family Policy.,Government,County Offices,,500 W. Temple St.,90012,Los Angeles,Los Angeles County,California,"Monday through Friday, 9:00am to 5:00pm.",(213) 974-1558 (Primary),LA County Commission For Children and Families,lachildrenscommission.org,1258,1383,34.05715006,-118.2455071
Civil Service Commission Main Office,An Independent Administrative Appeals Body Established By The Los Angeles County Charter To Provide Impartial and Fair Application of The Los Angeles County Civil Service Rules.,Government,County Offices,,Kenneth Hahn Hall of Administration,90012,Los Angeles,Los Angeles County,California,"Monday through Friday, 9:00am to 5:00pm",(213) 974-2411 (Primary),LA County Civil Service Commission,civilservice.lacountycommissions.info,1259,1384,34.05715006,-118.2455071
Emergency Medical Services Agency,"Coordinates The County's Medical 9-1-1 System, Which Includes Fire Departments, Law Enforcement Agencies, Ambulance Companies, and Hospitals.",Government,County Offices,,5555 Ferguson Dr.,90022,City of Commerce,Los Angeles County,California,"Monday through Sunday, 24 hours per day.",(323) 890-7500 (Primary),LA County - Department of Health Services,ladhs.org/ems,1262,1388,34.01124817,-118.1532851
Housing Inspection Program Headquarters,"Inspects More Than 71,000 Licensed Housing Sites (Five Or More Units) and Responds To More Than 17,000 Complaints Per Year To Ensure That Residential Housing Is Safe, Sanitary and Fit For Human Habitation.",Government,County Offices,,Headquarters,91706,Baldwin Park,Los Angeles County,California,"Monday through Thursday, 8:00am to 5:00pm; Friday, 8:00am to 3:00pm.",(626) 430-5200 (Primary)<br>(888) 700-9995 (Hotline),LA County Public Health - Environmental Health,ph.lacounty.gov/eh,1279,1411,34.1030499,-117.974395
Taiwan Buddhist Tzu Chi Foundation - Buddhist Tzu-Chi Free Clinic - Alhambra,The foundation provides disaster services in the United States and internationally; and health services for low-income Los Angeles County residents.,Emergency Response,Emergency and Disaster Offices,,1000 S. Garfield Ave.,91801,Alhambra,Los Angeles County,California,,"Main Intake Service/Intake (626) 636-8700, FAX (626) 281-5303, Service/Intake (626) 281-3383",Tzu Chi Foundation,www.tzuchi.org,1070,1280,34.084516,-118.122637
LA County Department of Health Services - Olive View - UCLA Medical Center and Health Center Mental Health Services,"The unit provides disaster services and inpatient mental health services for adults in the Antelope, Santa Clarita and San Fernando Valleys.",Emergency Response,Emergency and Disaster Offices,,14445 Olive View Dr.,91342,Sylmar,Los Angeles County,California,"Monday through Sunday, 24 hours per day.","Administrative (818) 364-3001, Hospital Operator Information Only (818) 364-1555, Access Line and PMRT After Hours/Weekends Service/Intake (800) 854-7771, Psychiatric Service/Intake Service/Intake (800) 854-7771",LA County Department of Health Services,www.ladhs.org/wps/portal/valleycareHomePage,2080,2218,34.324379,-118.448374
LA County Office of Emergency Management,The agency provides disaster services for Los Angeles County.,Emergency Response,Emergency and Disaster Offices,,1275 N. Eastern Ave.,90063,Los Angeles,Los Angeles County,California,,"Emergency Survival Program - Alisa Williams Service/Intake (323) 980-2265, Preparedness Materials/English Service/Intake (213) 974-1166, Preparedness Materials/Spanish Service/Intake (213) 974-2217, Disaster Information Service/Intake and Hotline (800) 2",LA County Office of Emergency Management,lacoa.org/esp.htm,2540,2696,34.053534,-118.175588
LA County Sheriff - Emergency Operations Bureau,"The department provides correctional programs, disaster services, environmental services, holiday assistance, law enforcement services, substance abuse services and youth services for the unincorporated areas of Los Angeles County and contracting cities.",Emergency Response,Emergency and Disaster Offices,,1275 N. Eastern Ave.,90063,Los Angeles,Los Angeles County,California,,Emergency Operations Bureau Service/Intake (323) 980-2200,LA County Sheriff's Department,www.lasd.org,2653,2794,34.053534,-118.175588
City of Los Angeles Animal Services Department,The department provides animal services and volunteer opportunties for people who live in the city of Los Angeles.,Emergency Response,Emergency and Disaster Offices,,221 N. Figueroa St.,90012,Los Angeles,Los Angeles County,California,,"Management Office Administrative (213) 482-9558, Licensing Service/Intake (213) 482-9550, FAX (213) 482-9511, Volunteer Programs FAX (323) 224-2353, Information for Assistance Service/Intake (888) 452-7381, Volunteer Office Service/Intake (818) 374-5878",City of Los Angeles Animal Services Department,www.laanimalservices.com,2793,2924,34.058813,-118.250854
United Way of Greater Los Angeles - Antelope Valley Region,The agency is a community funding organization that administers services for non-profit organizations in Los Angeles County.,Emergency Response,Emergency and Disaster Offices,,42225 10th St W,93534,Lancaster,Los Angeles County,California,,Service/Intake and Administration (661) 874-4282,United Way of Greater Los Angeles,www.unitedwayla.org,2992,3097,34.64993244,-118.1483507
United Way of Greater Los Angeles,The agency is a community funding organization that administers services for non-profit organizations in Los Angeles County.,Emergency Response,Emergency and Disaster Offices,,1150 S Olive St,90015,Los Angeles,Los Angeles County,California,,"Auto Donations Service/Intake (800) 336-1868, Service/Intake (213) 808-6220, FAX (213) 808-6221, Service/Intake (213) 630-2100, Donor Services Service/Intake (866) 366-7335",United Way of Greater Los Angeles,www.unitedwayla.org,3063,3154,34.03962221,-118.2618133
LA County Emergency Medical Services Main Office,"Serves as the Lead Agency for the Emergency Medical Services System at the Local Level and is Responsible for Coordinating all System Participants, both Public and Private, to include Fire Departments and Law Enforcement as well as Ambulance Companies. EMS works with both the private and public sectors to bring paramedic coverage to our county's more than 10 million residents and visitors.",Emergency Response,Emergency and Disaster Offices,,5555 Ferguson Dr.,90022,City of Commerce,Los Angeles County,California,"Monday through Sunday, 24 hours per day.",(323) 890-7500 (Primary),LA County Emergency Medical Services,,3987,4057,34.01124817,-118.1532851
Pomona Emergency Operations Center,,Emergency Response,Emergency and Disaster Offices,,590 South Park Avenue,91766,Pomona,Los Angeles County,California,,909-620-2201,City of Pomona,,41407,42102,34.0541901,-117.7540105
Glendale Emergency Operations Information Center,,Emergency Response,Emergency and Disaster Offices,,613 East Broadway,91206,Glendale,Los Angeles County,California,,818-548-3301,City of Glendale,,41408,42103,34.1466261,-118.2482383
Los Angeles County District Attorney - Victim-Witness Assistance Program - El Monte,The program provides victims of crime support in Los Angeles County.,Public Safety,Crime Prevention and Support,,11234 Vly Blvd,91731,El Monte,Los Angeles County,California,,"FAX (626) 442-6543, Service/Intake (626) 575-5565",LA County District Attorney,da.co.la.ca.us/vwap,123,669,34.07138269,-118.0322191
Los Angeles County District Attorney - Victim-Witness Assistance Program - El Monte,The program provides victims of crime support in Los Angeles County.,Public Safety,Legal Services and Counseling,,11234 Vly Blvd,91731,El Monte,Los Angeles County,California,,"FAX (626) 442-6543, Service/Intake (626) 575-5565",LA County District Attorney,da.co.la.ca.us/vwap,124,669,34.07138269,-118.0322191
UCLA Medical Center - Santa Monica - Rape Treatment Center,The agency provides sexual assault services for people of all ages in Los Angeles.,Public Safety,Crime Prevention and Support,,1250 16th St.,90404,Santa Monica,Los Angeles County,California,,"24 hour service and intake Service/Intake and Hotline (310) 319-4000 Ext.0, Administration (310) 319-4503",UCLA Medical Center,www.911rape.org,127,672,34.027548,-118.486272
Los Angeles County District Attorney - Victim-Witness Assistance Program - Compton,The program provides victims of crime support in Los Angeles County.,Public Safety,Crime Prevention and Support,,200 W. Compton Blvd.,90220,Compton,Los Angeles County,California,,"FAX (310) 537-5675, Service/Intake (310) 603-7574, Service/Intake (310) 603-7579, Hardcore Gang Service/Intake (310) 603-7127",LA County District Attorney,da.co.la.ca.us/vwap,161,702,33.895835,-118.225402
Los Angeles County District Attorney - Victim-Witness Assistance Program - Compton,The program provides victims of crime support in Los Angeles County.,Public Safety,Legal Services and Counseling,,200 W. Compton Blvd.,90220,Compton,Los Angeles County,California,,"FAX (310) 537-5675, Service/Intake (310) 603-7574, Service/Intake (310) 603-7579, Hardcore Gang Service/Intake (310) 603-7127",LA County District Attorney,da.co.la.ca.us/vwap,162,702,33.895835,-118.225402
Los Angeles County District Attorney - Victim-Witness Assistance Program - Family Violence Division,The program provides victims of crime support in Los Angeles County.,Public Safety,Crime Prevention and Support,,210 W. Temple St.,90012,Los Angeles,Los Angeles County,California,,"Service/Intake (213) 974-9795, Service/Intake and Administration (213) 974-7499, Service/Intake (800) 380-3811, Family Violence Division Service/Intake (213) 974-9795, Service/Intake (213) 974-9795, FAX (213) 617-9720, Family Violence Division Servic",LA County District Attorney,da.co.la.ca.us/vwap,164,703,34.054911,-118.242858
Los Angeles County District Attorney - Victim-Witness Assistance Program - Family Violence Division,The program provides victims of crime support in Los Angeles County.,Public Safety,Legal Services and Counseling,,210 W. Temple St.,90012,Los Angeles,Los Angeles County,California,,"Service/Intake (213) 974-9795, Service/Intake and Administration (213) 974-7499, Service/Intake (800) 380-3811, Family Violence Division Service/Intake (213) 974-9795, Service/Intake (213) 974-9795, FAX (213) 617-9720, Family Violence Division Servic",LA County District Attorney,da.co.la.ca.us/vwap,165,703,34.054911,-118.242858
SHIELDS For Families Inc - Eden,"The agency provides child abuse services, domestic violence services, family preservation services, mental health services, residential substance abuse treatment, substance abuse services, vocational education services and youth services primarily for fa",Public Safety,Crime Prevention and Support,,2620 Industry Way,90262,Lynwood,Los Angeles County,California,,Service/Intake and Administration (323) 242-5000,SHIELDS for Families ,www.shieldsforfamilies.org,181,712,33.923299,-118.225448
San Gabriel / Pomona Regional Center,"The center provides services for people of all ages with developmental disabilities who live in the El Monte, Foothill and Pomona Health Districts of Los Angeles County.",Public Safety,Legal Services and Counseling,,761 Corporate Center Dr.,91768,Pomona,Los Angeles County,California,,Regional Center Service/Intake and Administration (909) 620-7722,San Gabriel/Pomona Regional Center,www.sgprc.org,195,722,34.064644,-117.800254
1736 Family Crisis Center - South Bay Community Service Center,"The agency provides case management, counseling services, domestic violence services, family support services for low income families, runaway services, emergency and transitional shelter for battered women and their children, shelter for runaway/homeles",Public Safety,Legal Services and Counseling,,21707 Hawthorne Blvd.,90503,Torrance,Los Angeles County,California,"Monday through Friday, 8:30am to 5:30pm. Evenings and Saturdays by appointment. The hotlines operate Monday through Sunday, 24 hours per day.","FAX (310) 543-9910, Community Service Center Service/Intake (310) 543-9900",1736 Family Crisis Center,www.1736fcc.org,261,787,33.831319,-118.35272
Impacto Leadership Challenge - Elementary School Component Site,"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.",Municipal Services,Community Services,,1300 Plaza Del Sol,90033,Los Angeles,Los Angeles County,California,"Monday through Friday, 1:30pm to 6:00pm.","Service/Intake (323) 881-0024, Impacto Elementary Component Service/Intake (323) 269-7552",Proyecto Pastoral,www.proyectopastoral.org,248,783,34.048544,-118.225636
Impacto Leadership Challenge - Junior/High School College Prep. Component Site,"The agency provides business services, child care, community services, homeless support services, shelter for homeless, volunteer opportunities and youth services to low-income people in the Spanish-speaking community of East Los Angeles.",Municipal Services,Community Services,,135 N. Mission Rd.,90033,Los Angeles,Los Angeles County,California,"Monday through Friday, 2:00pm to 7:00pm.","Service/Intake (323) 881-0024, Impacto After School Program Service/Intake (323) 881-0006",Proyecto Pastoral,www.proyectopastoral.org,253,784,34.048871,-118.227871
Koreatown Youth and Community Center,"The agency provides business services, child care, conservation, counseling services, housing services, and youth services to residents of Koreatown.",Municipal Services,Community Services,,3727 W. 6th St.,90020,Los Angeles,Los Angeles County,California,"Monday through Friday, 9:00am to 6:00pm","FAX (213) 927-0017, Service/Intake and Administration (213) 365-7400, Property Management Co. Administrative (213) 482-1600, Property Management Co. Service/Intake (213) 482-1600",Koreatown Youth & Community Center,www.kyccla.org,258,785,34.063702,-118.303529
City of Pasadena Department of Public Health,"The agency provides health services, HIV/AIDS services, substance abuse services, vital records, welfare-to-work support services and WIC services for people of all ages who live in the Pasadena area.",Municipal Services,Public Records,,1845 N. Fair Oaks Ave.,91103,Pasadena,Los Angeles County,California,"Monday through Friday, 7:30am to 5:30pm; the office is closed every other Friday.","Child Health Clinic Service/Intake (626) 744-6136, Tuberculosis Clinic Service/Intake (626) 744-6024, Vital Records Service/Intake (626) 744-6010, Mobile HIV testing unit Service/Intake (626) 744-6145, Healthy Kids Enrollment Service/Intake (626) 744-608",City of Pasadena,www.cityofpasadena.net/PublicHealth/,642,995,34.17768,-118.15122
Teri G. Muse Family Service Center,"The Baldwin Park Recreation and Community Services Department provides counseling services, emergency food, health services, personal goods, services for older adults, transportation and youth services for people who live in Baldwin Park including specia",Municipal Services,Community Services,,14305 Morgan St.,91706,Baldwin Park,Los Angeles County,California,"Monday through Thursday, 11:00am to 5:00pm.","Service/Intake and Administration (626) 813-5270, FAX (626) 851-3676",City of Baldwin Park Department of Recreation and Community Services,www.baldwinpark.com,776,1069,34.087951,-117.962508
Claremont Joslyn Senior Center,"The center provides advocacy, cooling center, health services, housing services, nutrition services, and services for older adults, age 55 and older, and for people who live in the City of Claremont.",Municipal Services,Community Services,,660 N. Mountain Ave.,91711,Claremont,Los Angeles County,California,"Monday through Friday, 8:00am to 5:00pm.","Senior HelpLine/Housing Info Service/Intake (909) 625-4600, Service/Intake (909) 399-5488, FAX (909) 621-7320",City of Claremont Senior Services,www.ci.claremont.ca.us,795,1072,34.10031,-117.728836
Claremont Joslyn Senior Center,"The center provides advocacy, cooling center, health services, housing services, nutrition services, and services for older adults, age 55 and older, and for people who live in the City of Claremont.",Municipal Services,Property and Tax,,660 N. Mountain Ave.,91711,Claremont,Los Angeles County,California,"Monday through Friday, 8:00am to 5:00pm.","Senior HelpLine/Housing Info Service/Intake (909) 625-4600, Service/Intake (909) 399-5488, FAX (909) 621-7320",City of Claremont Senior Services,www.ci.claremont.ca.us,796,1072,34.10031,-117.728836
Alicia Broadous-Duncan Multipurpose Center,The center provides emergency food and services for older adults age 55 and older who live in the northeast San Fernando Valley.,Municipal Services,Community Services,,11300 Glenoaks Blvd.,91331,Pacoima,Los Angeles County,California,"Monday through Friday, 8:00am to 4:00pm.","Service/Intake and Administration (818) 834-6100, FAX (818) 834-6108",San Fernando Valley Interfaith Council,www.vic-la.org,865,1105,34.275742,-118.413579
Alicia Broadous-Duncan Multipurpose Center,The center provides emergency food and services for older adults age 55 and older who live in the northeast San Fernando Valley.,Municipal Services,Property and Tax,,11300 Glenoaks Blvd.,91331,Pacoima,Los Angeles County,California,"Monday through Friday, 8:00am to 4:00pm.","Service/Intake and Administration (818) 834-6100, FAX (818) 834-6108",San Fernando Valley Interfaith Council,www.vic-la.org,867,1105,34.275742,-118.413579
Salvation Army Los Angeles Korean Corps,"The center provides information and referral, recreational programs and services for older adults in the downtown and Koreatown areas of Los Angeles.",Municipal Services,Community Services,,933 S Hoover St,90006,Los Angeles,Los Angeles County,California,"Monday through Friday, 9:00am to 5:00pm.","Service/Intake (213) 480-0714, Service/Intake (213) 480-6679, Service/Intake (213) 480-6690",Salvation Army,,933,1141,34.05447177,-118.2843834
Carson Refinery,,Private Industry,Agriculture and Food,Agriculture and Mineral Operations,,,,Los Angeles County,California,,,Carson Refinery,,4376,4460,33.808,-118.253
El Segundo Refinery,,Private Industry,Agriculture and Food,Agriculture and Mineral Operations,,,,Los Angeles County,California,,,El Segundo Refinery,,4377,4461,33.916,-118.419
Los Angeles Refinery,,Private Industry,Agriculture and Food,Agriculture and Mineral Operations,,,,Los Angeles County,California,,,Los Angeles Refinery,,4378,4462,33.78,-118.295
Torrance Refinery,,Private Industry,Agriculture and Food,Agriculture and Mineral Operations,,,,Los Angeles County,California,,,Torrance Refinery,,4379,4463,33.858,-118.336
Paramount Refinery,,Private Industry,Agriculture and Food,Agriculture and Mineral Operations,,,,Los Angeles County,California,,,Paramount Refinery,,4380,4464,33.9,-118.155
Shell Los Angeles Refinery,,Private Industry,Agriculture and Food,Agriculture and Mineral Operations,,,,Los Angeles County,California,,,Shell Los Angeles Refinery,,4381,4465,33.791,-118.238
Wilmington Refinery,,Private Industry,Agriculture and Food,Agriculture and Mineral Operations,,,,Los Angeles County,California,,,Wilmington Refinery,,4382,4466,33.782,-118.232
Alliance Bank,,Private Industry,Banking and Finance,Bank Main Offices,100 Corporate Pointe,90230,Culver City,Los Angeles County,California,,310-410-9281,Alliance Bank,,5692,5809,33.9883649,-118.381451
