Organisation,Branch,SubBranch,SubSubBranch,Type,Region,Country
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Itaosy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Soalandy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Soavina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Tanjombato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Atsimondrano,Tsiafahy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Alasora,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Ambohimalaza Miray,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Ambohimanambola,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Ambohimanga Rova,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Ambohimangakely,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Anjeva Gara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Ankadikely Ilafy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Ankadinandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Fiaferana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Manandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Masindray,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Sabotsy Namehana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Talata Volonondry,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Avaradrano,Viliahazo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Renivohitra,Antananarivo I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Renivohitra,Antananarivo II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Renivohitra,Antananarivo III,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Renivohitra,Antananarivo IV,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Renivohitra,Antananarivo V,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Antananarivo Renivohitra,Antananarivo VI,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Alarobia,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambanitsena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambatolaona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambatomanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambatomena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambohibao Sud,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambohibary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambohitrandriamanitra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambohitrolomahitsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambohitrony,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ambohitseheno,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ampaneva,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Anjepy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Anjoma Betoho,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ankazondandy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Antsahalalina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Manjakandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Mantasoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Merikanjaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Miadanandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Nandihizana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Ranovao,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Sadabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Sambaina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analamanga,Manjakandriana,Soavinandriana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Ambatoharanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Ambodimanga II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Ampasimbe Manantsatrana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Ampasina Maningory,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Antsiatsiaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Fenerive Est,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Mahambo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Mahanoro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Miorimivalana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Saranambana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Vohilengo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Fenerive Est,Vohipeno,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Ambatoharanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Ambodiampana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Ambodivoanio,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Andasibe I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Antanambaobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Antanambe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Antanananivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Imorona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Manambolosy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Mananara Avaratra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Sandrakatsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Saromaona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Tanibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Mananara Avaratra,Vanono,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Ambanizana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Ambinanitelo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Ambodimanga Rantabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Anandrivola,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Andranofotsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Androndrono,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Anjahana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Anjanazana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Ankofa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Ankofabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Antakotako,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Antsirabe Sahatany,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Mahalevona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Manambolo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Maroantsetra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Morafeno,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Rantabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Maroantsetra,Voloina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Sainte Marie,Sainte Marie,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Ambahoabe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Ambodiampana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Andapafito,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Antanifotsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Antenina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Fotsialanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Manompana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Soanierana Ivongo,Soanierana Ivongo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Ambatoharanana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Ambodimangavalo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Ambohibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Ampasimazava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Andasibe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Anjahambe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Maromitety,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Miarinarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Sahatavy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Analanjirofo,Vavatenina,Vavatenina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Ambanisarika,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Ambazoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Ambohimalaza,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Ambonaivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Ambondro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Ambovombe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Ampamata,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Analamary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Andalatanosy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Anjeky Ankilikira,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Antanimora Atsimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Erada,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Imanombo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Jafaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Maroalomainty,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Maroalopoty,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Marovato Befeno,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Sihanamaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Ambovombe-Androy,Tsimananada,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Ambahita,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Ambatosola,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Anivorano Mitsinjo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Anja Nord,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Ankaranabo Nord,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Antsakoamaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Bekitro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Belindo Mahasoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Beraketa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Besakoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Beteza,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Bevitiky,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Manakompy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Maroviro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Morafeno Bekily,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Tanandava,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Tsikolaky,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Tsirandrany,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Bekily,Vohimanga,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Beloha,Behabobo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Beloha,Beloha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Beloha,Kopoky,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Beloha,Marolinta,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Beloha,Tranoroa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Beloha,Tranovaho,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Anjampaly,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Antaritarika,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Betanty (Faux Cap),Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Imongy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Marovato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Nikoly,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Androy,Tsihombe,Tsihombe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Amboasary Atsimo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Behara,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Ebelo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Elonty,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Esira,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Ifotaka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Mahaly,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Manevy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Maromby,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Marotsiraka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Ranobe,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Sampona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Tanandava Sud,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Tomboarivo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Tranomaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Amboasary Atsimo,Tsivory,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Ambalasoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Ambatomivary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Analamary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Andriandampy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Beampombo I,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Beampombo II,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Bekorobo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Benato Toby,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Betroka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Iaborotra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Ianabinda,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Ianakafy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Isoanala,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Ivahona,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Jangany,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Mahabo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Mahasoa Est,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Name Unknown,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Nanarena Besakoa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Naninora,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Betroka,Sakamahily,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ambatoabo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ampasimena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ampasy Nahampoana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Analamary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Analapatsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Andranobory,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ankaramena,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ankariera,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Bevoay,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Emagnobo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Enakara-Haut,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Enaniliha,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Fenoevo-Efita,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Fort-Dauphin,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Iaboakoho,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ifarantsa,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Isaka-Ivondro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Mahatalaky,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Manambaro,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Manantenina,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Mandiso,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Mandromondromotra,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ranomafana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Ranopiso,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Sarisambo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Soanierana,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Anosy,Taolagnaro,Soavary,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Amborompotsy,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Ampanihy Ouest,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Androka,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Ankiliabo,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Ankilimivory,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Ankilizato,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Antaly,Red Cross / Red Crescent,Indian Ocean,MG
Malagasy Red Cross Society,Atsimo Andrefana,Ampanihy Ouest,Beahitse,Red Cross / Red Crescent,Indian Ocean,MG
